source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
af:province:balkh,AF,province,Balkh,,BAL,,1,,
af:province:bamyan,AF,province,Bamyan,,BAM,,1,,
af:province:badghis,AF,province,Badghis,,BDG,,1,,
af:province:badakhshan,AF,province,Badakhshan,,BDS,,1,,
af:province:baghlan,AF,province,Baghlan,,BGL,,1,,
af:province:daykundi,AF,province,Daykundi,,DAY,,1,,
af:province:farah,AF,province,Farah,,FRA,,1,,
af:province:faryab,AF,province,Faryab,,FYB,,1,,
af:province:ghazni,AF,province,Ghazni,,GHA,,1,,
af:province:ghor,AF,province,Ghor,,GHO,,1,,
af:province:helmand,AF,province,Helmand,,HEL,,1,,
af:province:herat,AF,province,Herat,,HER,,1,,
af:province:jowzjan,AF,province,Jowzjan,,JOW,,1,,
af:province:kabul,AF,province,Kabul,,KAB,,1,,
af:province:kandahar,AF,province,Kandahar,,KAN,,1,,
af:province:kapisa,AF,province,Kapisa,,KAP,,1,,
af:province:kunduz,AF,province,Kunduz,,KDZ,,1,,
af:province:khost,AF,province,Khost,,KHO,,1,,
af:province:kunar,AF,province,Kunar,,KNR,,1,,
af:province:laghman,AF,province,Laghman,,LAG,,1,,
af:province:logar,AF,province,Logar,,LOG,,1,,
af:province:nangarhar,AF,province,Nangarhar,,NAN,,1,,
af:province:nimruz,AF,province,Nimruz,,NIM,,1,,
af:province:nuristan,AF,province,Nuristan,,NUR,,1,,
af:province:panjshir,AF,province,Panjshir,,PAN,,1,,
af:province:parwan,AF,province,Parwan,,PAR,,1,,
af:province:paktia,AF,province,Paktia,,PIA,,1,,
af:province:paktika,AF,province,Paktika,,PKA,,1,,
af:province:samangan,AF,province,Samangan,,SAM,,1,,
af:province:sar-e-pol,AF,province,Sar-e Pol,,SAR,,1,,
af:province:takhar,AF,province,Takhar,,TAK,,1,,
af:province:uruzgan,AF,province,Uruzgan,,URU,,1,,
af:province:wardak,AF,province,Wardak,,WAR,,1,,
af:province:zabul,AF,province,Zabul,,ZAB,,1,,
