country_code,code
AL,1001
AL,1002
AL,1003
AL,1004
AL,1005
AL,1006
AL,1007
AL,1008
AL,1009
AL,1010
AL,1011
AL,1012
AL,1013
AL,1014
AL,1015
AL,1016
AL,1017
AL,1018
AL,1019
AL,1020
AL,1021
AL,1022
AL,1023
AL,1024
AL,1025
AL,1026
AL,1027
AL,1028
AL,1029
AL,1030
AL,1031
AL,1032
AL,1033
AL,1034
AL,1035
AL,1036
AL,1037
AL,1038
AL,1039
AL,1040
AL,1041
AL,1042
AL,1043
AL,1044
AL,1045
AL,1046
AL,1047
AL,1048
AL,1049
AL,1050
AL,1051
AL,1052
AL,1053
AL,1054
AL,1501
AL,1502
AL,1503
AL,1504
AL,1505
AL,1506
AL,1507
AL,1508
AL,1700
AL,1800
AL,2001
AL,2002
AL,2003
AL,2004
AL,2005
AL,2006
AL,2007
AL,2008
AL,2009
AL,2010
AL,2011
AL,2012
AL,2013
AL,2014
AL,2015
AL,2016
AL,2017
AL,2018
AL,2019
AL,2020
AL,2021
AL,2022
AL,2501
AL,2502
AL,2503
AL,2504
AL,2505
AL,2506
AL,2507
AL,2508
AL,2509
AL,2510
AL,2511
AL,3001
AL,3002
AL,3003
AL,3004
AL,3005
AL,3006
AL,3007
AL,3008
AL,3009
AL,3010
AL,3011
AL,3012
AL,3013
AL,3014
AL,3015
AL,3016
AL,3017
AL,3018
AL,3019
AL,3020
AL,3021
AL,3022
AL,3023
AL,3024
AL,3025
AL,3026
AL,3027
AL,3401
AL,3402
AL,3403
AL,3404
AL,3405
AL,3406
AL,3407
AL,3408
AL,3409
AL,3410
AL,3411
AL,3412
AL,3413
AL,4001
AL,4002
AL,4003
AL,4004
AL,4005
AL,4006
AL,4007
AL,4008
AL,4009
AL,4010
AL,4011
AL,4012
AL,4013
AL,4014
AL,4015
AL,4016
AL,4017
AL,4018
AL,4019
AL,4020
AL,4021
AL,4022
AL,4023
AL,4024
AL,4025
AL,4026
AL,4027
AL,4028
AL,4029
AL,4030
AL,4301
AL,4302
AL,4303
AL,4304
AL,4305
AL,4306
AL,4401
AL,4402
AL,4403
AL,4404
AL,4405
AL,4406
AL,4407
AL,4408
AL,4409
AL,4501
AL,4502
AL,4503
AL,4504
AL,4505
AL,4506
AL,4507
AL,4508
AL,4509
AL,4510
AL,4511
AL,4601
AL,4602
AL,4603
AL,4604
AL,4605
AL,4606
AL,4607
AL,4608
AL,4701
AL,4702
AL,4703
AL,4704
AL,4705
AL,4706
AL,5001
AL,5002
AL,5003
AL,5004
AL,5005
AL,5006
AL,5007
AL,5008
AL,5009
AL,5010
AL,5011
AL,5012
AL,5013
AL,5014
AL,5015
AL,5016
AL,5017
AL,5018
AL,5019
AL,5020
AL,5021
AL,5022
AL,5301
AL,5302
AL,5303
AL,5304
AL,5305
AL,5306
AL,5307
AL,5308
AL,5401
AL,5402
AL,5403
AL,5404
AL,5405
AL,5406
AL,5407
AL,5408
AL,5409
AL,5410
AL,5411
AL,5412
AL,5413
AL,6001
AL,6002
AL,6003
AL,6004
AL,6005
AL,6006
AL,6007
AL,6008
AL,6009
AL,6010
AL,6011
AL,6012
AL,6013
AL,6014
AL,6015
AL,6016
AL,6017
AL,6018
AL,6019
AL,7001
AL,7002
AL,7003
AL,7004
AL,7005
AL,7006
AL,7007
AL,7008
AL,7009
AL,7010
AL,7011
AL,7012
AL,7013
AL,7014
AL,7015
AL,7016
AL,7017
AL,7018
AL,7019
AL,7020
AL,7021
AL,7022
AL,7023
AL,7024
AL,7025
AL,7026
AL,7027
AL,7028
AL,7029
AL,7301
AL,7302
AL,7303
AL,7304
AL,7305
AL,7306
AL,7307
AL,7308
AL,7309
AL,7310
AL,7401
AL,7402
AL,7403
AL,7404
AL,7405
AL,7406
AL,8001
AL,8002
AL,8003
AL,8004
AL,8005
AL,8006
AL,8007
AL,8008
AL,8009
AL,8010
AL,8011
AL,8012
AL,8013
AL,8014
AL,8301
AL,8302
AL,8303
AL,8304
AL,8305
AL,8306
AL,8307
AL,8308
AL,8309
AL,8310
AL,8311
AL,8312
AL,8313
AL,8314
AL,8315
AL,8401
AL,8402
AL,8403
AL,8404
AL,8405
AL,8406
AL,8407
AL,8408
AL,8409
AL,8501
AL,8502
AL,8503
AL,8504
AL,8505
AL,8506
AL,8507
AL,8508
AL,8509
AL,8510
AL,8511
AL,8512
AL,8513
AL,8514
AL,8515
AL,8516
AL,8517
AL,8518
AL,8519
AL,8520
AL,8601
AL,8602
AL,8603
AL,8604
AL,8605
AL,8701
AL,8702
AL,8703
AL,8704
AL,8705
AL,8706
AL,8707
AL,9001
AL,9002
AL,9003
AL,9004
AL,9005
AL,9006
AL,9007
AL,9008
AL,9009
AL,9010
AL,9011
AL,9012
AL,9013
AL,9014
AL,9015
AL,9016
AL,9017
AL,9018
AL,9019
AL,9020
AL,9021
AL,9022
AL,9301
AL,9302
AL,9303
AL,9304
AL,9305
AL,9306
AL,9307
AL,9308
AL,9309
AL,9310
AL,9311
AL,9312
AL,9313
AL,9314
AL,9315
AL,9316
AL,9317
AL,9318
AL,9319
AL,9320
AL,9321
AL,9322
AL,9323
AL,9324
AL,9325
AL,9326
AL,9327
AL,9328
AL,9329
AL,9330
AL,9331
AL,9332
AL,9333
AL,9334
AL,9335
AL,9401
AL,9402
AL,9403
AL,9404
AL,9405
AL,9406
AL,9407
AL,9408
AL,9409
AL,9410
AL,9411
AL,9412
AL,9413
AL,9414
AL,9415
AL,9416
AL,9417
AL,9418
AL,9419
AL,9420
AL,9421
AL,9422
AL,9423
AL,9424
AL,9425
AL,9426
AL,9427
AL,9701
AL,9702
AL,9703
AL,9704
AL,9705
AL,9706
AL,9707
AL,9708
AL,9709
AL,9710
AL,9711
AL,9712
AL,9713
AL,9714
AL,9715
AL,9716
AL,9717
AL,9718
AL,9719
AL,9720
AL,9721
