source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
as:district:eastern,AS,district,Eastern,,02,,1,,
as:district:manua,AS,district,Manuʻa,,03,,1,,
as:atoll:rose,AS,atoll,Rose,,05,,1,,
as:atoll:swains,AS,atoll,Swains,,04,,1,,
as:district:western,AS,district,Western,,01,,1,,
as:county:lealataua,AS,county,Lealataua,,,as:district:western,2,,
as:county:fofo,AS,county,Fofo,,,as:district:western,2,,
as:county:leasina,AS,county,Leasina,,,as:district:western,2,,
as:county:tualatai,AS,county,Tualatai,,,as:district:western,2,,
as:county:tualauta,AS,county,Tualauta,,,as:district:western,2,,
as:county:ituau,AS,county,Ituʻau,,,as:district:eastern,2,,
as:county:maoputasi,AS,county,Maʻoputasi,,,as:district:eastern,2,,
as:county:vaifanua,AS,county,Vaifanua,,,as:district:eastern,2,,
as:county:sua,AS,county,Sua,,,as:district:eastern,2,,
as:county:saole,AS,county,Saʻole,,,as:district:eastern,2,,
as:county:ofu,AS,county,Ofu,,,as:district:manua,2,,
as:county:olosega,AS,county,Olosega,,,as:district:manua,2,,
as:county:tau,AS,county,Taʻū,,,as:district:manua,2,,
as:county:faleasao,AS,county,Faleasao,,,as:district:manua,2,,
as:county:fitiuta,AS,county,Fitiuta,,,as:district:manua,2,,
