source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ao:province:bengo,AO,province,Bengo,,BGO,,1,,
ao:province:benguela,AO,province,Benguela,,BGU,,1,,
ao:province:bie,AO,province,Bié,,BIE,,1,,
ao:province:cabinda,AO,province,Cabinda,,CAB,,1,,
ao:province:cunene,AO,province,Cunene,,CNN,,1,,
ao:province:cuanza-norte,AO,province,Cuanza Norte,,CNO,,1,,
ao:province:cuando,AO,province,Cuando,,CUA,,1,,
ao:province:cubango,AO,province,Cubango,,CUB,,1,,
ao:province:cuanza,AO,province,Cuanza,,CUS,,1,,
ao:province:huambo,AO,province,Huambo,,HUA,,1,,
ao:province:huila,AO,province,Huíla,,HUI,,1,,
ao:province:icolo-e-bengo,AO,province,Icolo e Bengo,,IEB,,1,,
ao:province:lunda-norte,AO,province,Lunda Norte,,LNO,,1,,
ao:province:lunda-sul,AO,province,Lunda Sul,,LSU,,1,,
ao:province:luanda,AO,province,Luanda,,LUA,,1,,
ao:province:malanje,AO,province,Malanje,,MAL,,1,,
ao:province:moxico-leste,AO,province,Moxico Leste,,MLE,,1,,
ao:province:moxico,AO,province,Moxico,,MOX,,1,,
ao:province:namibe,AO,province,Namibe,,NAM,,1,,
ao:province:uige,AO,province,Uíge,,UIG,,1,,
ao:province:zaire,AO,province,Zaire,,ZAI,,1,,
