source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ar:province:salta,AR,province,Salta,,A,,1,,
ar:province:buenos-aires,AR,province,Buenos Aires,,B,,1,,
ar:city:autonomous-city-of-buenos-aires,AR,city,Ciudad Autónoma de Buenos Aires,,C,,1,,
ar:province:san-luis,AR,province,San Luis,,D,,1,,
ar:province:entre-rios,AR,province,Entre Ríos,,E,,1,,
ar:province:la-rioja,AR,province,La Rioja,,F,,1,,
ar:province:santiago-del-estero,AR,province,Santiago del Estero,,G,,1,,
ar:province:chaco,AR,province,Chaco,,H,,1,,
ar:province:san-juan,AR,province,San Juan,,J,,1,,
ar:province:catamarca,AR,province,Catamarca,,K,,1,,
ar:province:la-pampa,AR,province,La Pampa,,L,,1,,
ar:province:mendoza,AR,province,Mendoza,,M,,1,,
ar:province:misiones,AR,province,Misiones,,N,,1,,
ar:province:formosa,AR,province,Formosa,,P,,1,,
ar:province:neuquen,AR,province,Neuquén,,Q,,1,,
ar:province:rio-negro,AR,province,Río Negro,,R,,1,,
ar:province:santa-fe,AR,province,Santa Fe,,S,,1,,
ar:province:tucuman,AR,province,Tucumán,,T,,1,,
ar:province:chubut,AR,province,Chubut,,U,,1,,
ar:province:tierra-del-fuego,AR,province,Tierra del Fuego,,V,,1,,
ar:province:corrientes,AR,province,Corrientes,,W,,1,,
ar:province:cordoba,AR,province,Córdoba,,X,,1,,
ar:province:jujuy,AR,province,Jujuy,,Y,,1,,
ar:province:santa-cruz,AR,province,Santa Cruz,,Z,,1,,
ar:department:adolfo-alsina,AR,department,Adolfo Alsina,,,ar:province:rio-negro,2,,
ar:department:aguirre,AR,department,Aguirre,,,ar:province:santiago-del-estero,2,,
ar:department:albardon,AR,department,Albardón,,,ar:province:san-juan,2,,
ar:department:alberdi,AR,department,Alberdi,,,ar:province:santiago-del-estero,2,,
ar:department:almirante-brown,AR,department,Almirante Brown,,,ar:province:chaco,2,,
ar:department:alumine,AR,department,Aluminé,,,ar:province:neuquen,2,,
ar:department:ambato,AR,department,Ambato,,,ar:province:catamarca,2,,
ar:department:ancasti,AR,department,Ancasti,,,ar:province:catamarca,2,,
ar:department:andalgala,AR,department,Andalgalá,,,ar:province:catamarca,2,,
ar:department:anelo,AR,department,Añelo,,,ar:province:neuquen,2,,
ar:department:angaco,AR,department,Angaco,,,ar:province:san-juan,2,,
ar:department:anta,AR,department,Anta,,,ar:province:salta,2,,
ar:department:antofagasta-de-la-sierra,AR,department,Antofagasta de la Sierra,,,ar:province:catamarca,2,,
ar:department:antartida-argentina,AR,department,Antártida Argentina,,,ar:province:tierra-del-fuego,2,,
ar:department:apostoles,AR,department,Apóstoles,,,ar:province:misiones,2,,
ar:department:arauco,AR,department,Arauco,,,ar:province:la-rioja,2,,
ar:department:atamisqui,AR,department,Atamisqui,,,ar:province:santiago-del-estero,2,,
ar:department:atreuco,AR,department,Atreuco,,,ar:province:la-pampa,2,,
ar:department:avellaneda-rio-negro,AR,department,Avellaneda (Río Negro),,,ar:province:rio-negro,2,,
ar:department:avellaneda-santiago-del-estero,AR,department,Avellaneda (Santiago del Estero),,,ar:province:santiago-del-estero,2,,
ar:department:ayacucho,AR,department,Ayacucho,,,ar:province:san-luis,2,,
ar:department:banda,AR,department,Banda,,,ar:province:santiago-del-estero,2,,
ar:department:bariloche,AR,department,Bariloche,,,ar:province:rio-negro,2,,
ar:department:belgrano-san-luis,AR,department,Belgrano (San Luis),,,ar:province:san-luis,2,,
ar:department:belgrano-santa-fe,AR,department,Belgrano (Santa Fe),,,ar:province:santa-fe,2,,
ar:department:belgrano-santiago-del-estero,AR,department,Belgrano (Santiago del Estero),,,ar:province:santiago-del-estero,2,,
ar:department:belen,AR,department,Belén,,,ar:province:catamarca,2,,
ar:department:bella-vista,AR,department,Bella Vista,,,ar:province:corrientes,2,,
ar:department:bermejo-chaco,AR,department,Bermejo (Chaco),,,ar:province:chaco,2,,
ar:department:bermejo-formosa,AR,department,Bermejo (Formosa),,,ar:province:formosa,2,,
ar:department:beron-de-astrada,AR,department,Berón de Astrada,,,ar:province:corrientes,2,,
ar:department:biedma,AR,department,Biedma,,,ar:province:chubut,2,,
ar:department:burruyacu,AR,department,Burruyacú,,,ar:province:tucuman,2,,
ar:department:cachi,AR,department,Cachi,,,ar:province:salta,2,,
ar:department:cafayete,AR,department,Cafayete,,,ar:province:salta,2,,
ar:department:cainguas,AR,department,Cainguás,,,ar:province:misiones,2,,
ar:department:calamuchita,AR,department,Calamuchita,,,ar:province:cordoba,2,,
ar:department:caleu-caleu,AR,department,Caleu Caleu,,,ar:province:la-pampa,2,,
ar:department:calingasta,AR,department,Calingasta,,,ar:province:san-juan,2,,
ar:department:candelaria,AR,department,Candelaria,,,ar:province:misiones,2,,
ar:department:capayan,AR,department,Capayán,,,ar:province:catamarca,2,,
ar:department:capital-catamarca,AR,department,Capital (Catamarca),,,ar:province:catamarca,2,,
ar:department:capital-cordoba,AR,department,Capital (Córdoba),,,ar:province:cordoba,2,,
