postcode,area_source_id,relationship_type,is_primary
1601,ar:partido:la-plata,served_by,true
1602,ar:partido:vicente-lopez,served_by,true
1603,ar:partido:vicente-lopez,served_by,true
1605,ar:partido:vicente-lopez,served_by,true
1607,ar:partido:san-isidro,served_by,true
1609,ar:partido:san-isidro,served_by,true
1611,ar:partido:tigre,served_by,true
1612,ar:partido:malvinas-argentinas,served_by,true
1613,ar:partido:malvinas-argentinas,served_by,true
1614,ar:partido:malvinas-argentinas,served_by,true
1615,ar:partido:malvinas-argentinas,served_by,true
1617,ar:partido:tigre,served_by,true
1618,ar:partido:tigre,served_by,true
1619,ar:partido:escobar,served_by,true
1620,ar:partido:escobar,served_by,true
1621,ar:partido:tigre,served_by,true
1623,ar:partido:escobar,served_by,true
1625,ar:partido:escobar,served_by,true
1627,ar:partido:escobar,served_by,true
1627,ar:partido:pilar,served_by,false
1629,ar:partido:pilar,served_by,true
1631,ar:partido:pilar,served_by,true
1633,ar:partido:pilar,served_by,true
1635,ar:partido:pilar,served_by,true
1636,ar:partido:vicente-lopez,served_by,true
1638,ar:partido:vicente-lopez,served_by,true
1640,ar:partido:san-isidro,served_by,true
1642,ar:partido:san-isidro,served_by,true
1643,ar:partido:san-isidro,served_by,true
1644,ar:partido:san-fernando,served_by,true
1646,ar:partido:san-fernando,served_by,true
1647,ar:department:islas-del-ibicuy,served_by,true
1647,ar:partido:san-fernando,served_by,false
1648,ar:partido:tigre,served_by,true
1649,ar:partido:tigre,served_by,true
1650,ar:partido:general-san-martin,served_by,true
1651,ar:partido:general-san-martin,served_by,true
1653,ar:partido:general-san-martin,served_by,true
1655,ar:partido:general-san-martin,served_by,true
1657,ar:partido:tres-de-febrero,served_by,true
1659,ar:partido:san-miguel,served_by,true
1661,ar:partido:san-miguel,served_by,true
1663,ar:partido:san-miguel,served_by,true
1664,ar:partido:jose-c-paz,served_by,false
1664,ar:partido:moreno,served_by,true
1664,ar:partido:pilar,served_by,false
1665,ar:partido:jose-c-paz,served_by,true
1667,ar:partido:jose-c-paz,served_by,false
1667,ar:partido:malvinas-argentinas,served_by,true
1669,ar:partido:pilar,served_by,true
1670,ar:partido:tigre,served_by,true
1672,ar:partido:general-san-martin,served_by,true
1674,ar:partido:tres-de-febrero,served_by,true
1676,ar:partido:tres-de-febrero,served_by,true
1678,ar:partido:tres-de-febrero,served_by,true
1682,ar:partido:tres-de-febrero,served_by,true
1684,ar:partido:moron,served_by,false
1684,ar:partido:tres-de-febrero,served_by,true
1686,ar:partido:hurlingham,served_by,true
1688,ar:partido:hurlingham,served_by,true
1702,ar:partido:tres-de-febrero,served_by,true
1704,ar:partido:la-matanza,served_by,true
1706,ar:partido:moron,served_by,true
1708,ar:partido:moron,served_by,true
1712,ar:partido:moron,served_by,true
1713,ar:partido:ituzaingo,served_by,true
1714,ar:partido:ituzaingo,served_by,true
1716,ar:partido:merlo,served_by,true
1718,ar:partido:merlo,served_by,true
1722,ar:partido:merlo,served_by,true
1723,ar:partido:merlo,served_by,true
1727,ar:partido:marcos-paz,served_by,true
1731,ar:partido:general-las-heras,served_by,true
1733,ar:partido:general-las-heras,served_by,true
1735,ar:partido:general-las-heras,served_by,true
1737,ar:partido:general-las-heras,served_by,true
1739,ar:partido:general-las-heras,served_by,true
1741,ar:partido:general-las-heras,served_by,true
1742,ar:partido:moreno,served_by,true
1744,ar:partido:moreno,served_by,true
1746,ar:partido:moreno,served_by,true
1748,ar:partido:general-rodriguez,served_by,true
1752,ar:partido:la-matanza,served_by,true
1754,ar:partido:la-matanza,served_by,true
1755,ar:partido:la-matanza,served_by,true
1757,ar:partido:la-matanza,served_by,true
1759,ar:partido:la-matanza,served_by,true
1761,ar:partido:la-matanza,served_by,false
1761,ar:partido:merlo,served_by,true
1763,ar:partido:la-matanza,served_by,true
1765,ar:partido:la-matanza,served_by,true
1766,ar:partido:la-matanza,served_by,true
1768,ar:partido:la-matanza,served_by,true
1770,ar:partido:la-matanza,served_by,true
1772,ar:partido:la-matanza,served_by,true
1773,ar:partido:lomas-de-zamora,served_by,true
1776,ar:partido:esteban-echeverria,served_by,true
1778,ar:partido:la-matanza,served_by,true
1802,ar:partido:ezeiza,served_by,true
1804,ar:partido:ezeiza,served_by,true
1806,ar:partido:ezeiza,served_by,true
1807,ar:partido:esteban-echeverria,served_by,true
1808,ar:partido:canuelas,served_by,true
1808,ar:partido:esteban-echeverria,served_by,false
1812,ar:partido:canuelas,served_by,true
1812,ar:partido:ezeiza,served_by,false
1814,ar:partido:canuelas,served_by,true
1815,ar:partido:canuelas,served_by,true
1816,ar:partido:canuelas,served_by,true
1822,ar:partido:lanus,served_by,true
1824,ar:partido:lanus,served_by,true
1825,ar:partido:lanus,served_by,true
1826,ar:partido:lanus,served_by,true
1828,ar:partido:lomas-de-zamora,served_by,true
1832,ar:partido:lomas-de-zamora,served_by,true
1834,ar:partido:lomas-de-zamora,served_by,true
1836,ar:partido:lomas-de-zamora,served_by,true
1838,ar:partido:esteban-echeverria,served_by,true
1842,ar:partido:esteban-echeverria,served_by,true
1846,ar:partido:almirante-brown,served_by,true
1847,ar:partido:almirante-brown,served_by,true
1848,ar:partido:almirante-brown,served_by,true
1849,ar:partido:almirante-brown,served_by,true
1852,ar:partido:almirante-brown,served_by,true
1854,ar:partido:almirante-brown,served_by,true
1856,ar:partido:almirante-brown,served_by,true
1858,ar:partido:presidente-peron,served_by,true
1862,ar:partido:presidente-peron,served_by,true
1864,ar:partido:san-vicente,served_by,true
1865,ar:partido:san-vicente,served_by,true
1870,ar:partido:avellaneda,served_by,true
1871,ar:partido:avellaneda,served_by,true
1872,ar:partido:avellaneda,served_by,true
