source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
am:region:aragatsotn,AM,region,Aragatsotn,,AG,,1,,
am:region:ararat,AM,region,Ararat,,AR,,1,,
am:region:armavir,AM,region,Armavir,,AV,,1,,
am:region:gegharkunik,AM,region,Gegharkunik,,GR,,1,,
am:region:kotayk,AM,region,Kotayk,,KT,,1,,
am:region:lori,AM,region,Lori,,LO,,1,,
am:region:shirak,AM,region,Shirak,,SH,,1,,
am:region:syunik,AM,region,Syunik,,SU,,1,,
am:region:tavush,AM,region,Tavush,,TV,,1,,
am:region:vayots-dzor,AM,region,Vayots Dzor,,VD,,1,,
am:city:yerevan,AM,city,Yerevan,,ER,,1,,
am:municipality:ashtarak,AM,municipality,Ashtarak,,,am:region:aragatsotn,2,,
am:municipality:aparan,AM,municipality,Aparan,,,am:region:aragatsotn,2,,
am:municipality:alagyaz,AM,municipality,Alagyaz,,,am:region:aragatsotn,2,,
am:municipality:tsaghkahovit,AM,municipality,Tsaghkahovit,,,am:region:aragatsotn,2,,
am:municipality:talin,AM,municipality,Talin,,,am:region:aragatsotn,2,,
am:municipality:arevut,AM,municipality,Arevut,,,am:region:aragatsotn,2,,
am:municipality:shamiram,AM,municipality,Shamiram,,,am:region:aragatsotn,2,,
am:municipality:metsadzor,AM,municipality,Metsadzor,,,am:region:aragatsotn,2,,
am:municipality:artashat,AM,municipality,Artashat,,,am:region:ararat,2,,
am:municipality:ararat,AM,municipality,Ararat,,,am:region:ararat,2,,
am:municipality:masis,AM,municipality,Masis,,,am:region:ararat,2,,
am:municipality:verin-dvin,AM,municipality,Verin Dvin,,,am:region:ararat,2,,
am:municipality:vedi,AM,municipality,Vedi,,,am:region:ararat,2,,
am:municipality:armavir,AM,municipality,Armavir,,,am:region:armavir,2,,
am:municipality:araks,AM,municipality,Araks,,,am:region:armavir,2,,
am:municipality:baghramyan,AM,municipality,Baghramyan,,,am:region:armavir,2,,
am:municipality:metsamor,AM,municipality,Metsamor,,,am:region:armavir,2,,
am:municipality:vagharshapat,AM,municipality,Vagharshapat,,,am:region:armavir,2,,
am:municipality:parakar,AM,municipality,Parakar,,,am:region:armavir,2,,
am:municipality:ferik,AM,municipality,Ferik,,,am:region:armavir,2,,
am:municipality:khoy,AM,municipality,Khoy,,,am:region:armavir,2,,
am:municipality:gavar,AM,municipality,Gavar,,,am:region:gegharkunik,2,,
am:municipality:chambarak,AM,municipality,Chambarak,,,am:region:gegharkunik,2,,
am:municipality:martuni,AM,municipality,Martuni,,,am:region:gegharkunik,2,,
am:municipality:sevan,AM,municipality,Sevan,,,am:region:gegharkunik,2,,
am:municipality:vardenis,AM,municipality,Vardenis,,,am:region:gegharkunik,2,,
am:municipality:vanadzor,AM,municipality,Vanadzor,,,am:region:lori,2,,
am:municipality:alaverdi,AM,municipality,Alaverdi,,,am:region:lori,2,,
am:municipality:gyulagarak,AM,municipality,Gyulagarak,,,am:region:lori,2,,
am:municipality:tumanyan,AM,municipality,Tumanyan,,,am:region:lori,2,,
am:municipality:pambak,AM,municipality,Pambak,,,am:region:lori,2,,
am:municipality:spitak,AM,municipality,Spitak,,,am:region:lori,2,,
am:municipality:stepanavan,AM,municipality,Stepanavan,,,am:region:lori,2,,
am:municipality:tashir,AM,municipality,Tashir,,,am:region:lori,2,,
am:municipality:lori-berd,AM,municipality,Lori Berd,,,am:region:lori,2,,
am:municipality:lermontovo,AM,municipality,Lermontovo,,,am:region:lori,2,,
am:municipality:fioletovo,AM,municipality,Fioletovo,,,am:region:lori,2,,
am:municipality:hrazdan,AM,municipality,Hrazdan,,,am:region:kotayk,2,,
am:municipality:abovyan,AM,municipality,Abovyan,,,am:region:kotayk,2,,
am:municipality:akunk,AM,municipality,Akunk,,,am:region:kotayk,2,,
am:municipality:byureghavan,AM,municipality,Byureghavan,,,am:region:kotayk,2,,
am:municipality:garni,AM,municipality,Garni,,,am:region:kotayk,2,,
am:municipality:nairi,AM,municipality,Nairi,,,am:region:kotayk,2,,
am:municipality:tsaghkadzor,AM,municipality,Tsaghkadzor,,,am:region:kotayk,2,,
am:municipality:nor-hachn,AM,municipality,Nor Hachn,,,am:region:kotayk,2,,
am:municipality:charentsavan,AM,municipality,Charentsavan,,,am:region:kotayk,2,,
am:municipality:jrvezh,AM,municipality,Jrvezh,,,am:region:kotayk,2,,
am:municipality:arzni,AM,municipality,Arzni,,,am:region:kotayk,2,,
am:municipality:gyumri,AM,municipality,Gyumri,,,am:region:shirak,2,,
am:municipality:akhuryan,AM,municipality,Akhuryan,,,am:region:shirak,2,,
am:municipality:amasia,AM,municipality,Amasia,,,am:region:shirak,2,,
am:municipality:ani,AM,municipality,Ani,,,am:region:shirak,2,,
am:municipality:ashotsk,AM,municipality,Ashotsk,,,am:region:shirak,2,,
am:municipality:artik,AM,municipality,Artik,,,am:region:shirak,2,,
am:municipality:kapan,AM,municipality,Kapan,,,am:region:syunik,2,,
am:municipality:goris,AM,municipality,Goris,,,am:region:syunik,2,,
am:municipality:meghri,AM,municipality,Meghri,,,am:region:syunik,2,,
am:municipality:sisian,AM,municipality,Sisian,,,am:region:syunik,2,,
am:municipality:tatev,AM,municipality,Tatev,,,am:region:syunik,2,,
am:municipality:tegh,AM,municipality,Tegh,,,am:region:syunik,2,,
am:municipality:kajaran,AM,municipality,Kajaran,,,am:region:syunik,2,,
am:municipality:yeghegnadzor,AM,municipality,Yeghegnadzor,,,am:region:vayots-dzor,2,,
am:municipality:areni,AM,municipality,Areni,,,am:region:vayots-dzor,2,,
am:municipality:yeghegis,AM,municipality,Yeghegis,,,am:region:vayots-dzor,2,,
am:municipality:vayk,AM,municipality,Vayk,,,am:region:vayots-dzor,2,,
am:municipality:jermuk,AM,municipality,Jermuk,,,am:region:vayots-dzor,2,,
am:municipality:ijevan,AM,municipality,Ijevan,,,am:region:tavush,2,,
am:municipality:berd,AM,municipality,Berd,,,am:region:tavush,2,,
am:municipality:dilijan,AM,municipality,Dilijan,,,am:region:tavush,2,,
am:municipality:noyemberyan,AM,municipality,Noyemberyan,,,am:region:tavush,2,,
am:district:ajapnyak,AM,district,Ajapnyak,,,am:city:yerevan,2,,
am:district:arabkir,AM,district,Arabkir,,,am:city:yerevan,2,,
am:district:avan,AM,district,Avan,,,am:city:yerevan,2,,
am:district:davtashen,AM,district,Davtashen,,,am:city:yerevan,2,,
am:district:erebuni,AM,district,Erebuni,,,am:city:yerevan,2,,
am:district:kanaker-zeytun,AM,district,Kanaker-Zeytun,,,am:city:yerevan,2,,
am:district:kentron,AM,district,Kentron,,,am:city:yerevan,2,,
am:district:malatia-sebastia,AM,district,Malatia-Sebastia,,,am:city:yerevan,2,,
am:district:nork-marash,AM,district,Nork-Marash,,,am:city:yerevan,2,,
am:district:nor-nork,AM,district,Nor Nork,,,am:city:yerevan,2,,
