source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
au:territory:australian-capital-territory,AU,territory,Australian Capital Territory,,ACT,,1,,
au:state:new-south-wales,AU,state,New South Wales,,NSW,,1,,
au:territory:northern-territory,AU,territory,Northern Territory,,NT,,1,,
au:state:queensland,AU,state,Queensland,,QLD,,1,,
au:state:south-australia,AU,state,South Australia,,SA,,1,,
au:state:tasmania,AU,state,Tasmania,,TAS,,1,,
au:state:victoria,AU,state,Victoria,,VIC,,1,,
au:state:western-australia,AU,state,Western Australia,,WA,,1,,
au:council:bayside-council,AU,council,Bayside Council,,,au:state:new-south-wales,2,,
au:city:blacktown-city-council,AU,city,Blacktown City Council,,,au:state:new-south-wales,2,,
au:municipality:municipality-of-burwood,AU,municipality,Municipality of Burwood,,,au:state:new-south-wales,2,,
au:council:camden-council,AU,council,Camden Council,,,au:state:new-south-wales,2,,
au:city:city-of-campbelltown,AU,city,City of Campbelltown,,,au:state:new-south-wales,2,,
au:city:city-of-canada-bay,AU,city,City of Canada Bay,,,au:state:new-south-wales,2,,
au:city:city-of-canterbury-bankstown,AU,city,City of Canterbury-Bankstown,,,au:state:new-south-wales,2,,
au:city:cumberland-city-council,AU,city,Cumberland City Council,,,au:state:new-south-wales,2,,
au:city:fairfield-city-council,AU,city,Fairfield City Council,,,au:state:new-south-wales,2,,
au:council:georges-river-council,AU,council,Georges River Council,,,au:state:new-south-wales,2,,
au:shire:hornsby-shire,AU,shire,Hornsby Shire,,,au:state:new-south-wales,2,,
au:municipality:municipality-of-hunter-s-hill,AU,municipality,Municipality of Hunter's Hill,,,au:state:new-south-wales,2,,
au:council:inner-west-council,AU,council,Inner West Council,,,au:state:new-south-wales,2,,
au:council:ku-ring-gai-council,AU,council,Ku-ring-gai Council,,,au:state:new-south-wales,2,,
au:council:lane-cove-council,AU,council,Lane Cove Council,,,au:state:new-south-wales,2,,
au:city:city-of-liverpool,AU,city,City of Liverpool,,,au:state:new-south-wales,2,,
au:council:mosman-council,AU,council,Mosman Council,,,au:state:new-south-wales,2,,
au:council:north-sydney-council,AU,council,North Sydney Council,,,au:state:new-south-wales,2,,
au:council:northern-beaches-council,AU,council,Northern Beaches Council,,,au:state:new-south-wales,2,,
au:city:city-of-parramatta,AU,city,City of Parramatta,,,au:state:new-south-wales,2,,
au:city:city-of-penrith,AU,city,City of Penrith,,,au:state:new-south-wales,2,,
au:city:city-of-randwick,AU,city,City of Randwick,,,au:state:new-south-wales,2,,
au:city:city-of-ryde,AU,city,City of Ryde,,,au:state:new-south-wales,2,,
au:municipality:municipality-of-strathfield,AU,municipality,Municipality of Strathfield,,,au:state:new-south-wales,2,,
au:shire:sutherland-shire,AU,shire,Sutherland Shire,,,au:state:new-south-wales,2,,
au:city:city-of-sydney,AU,city,City of Sydney,,,au:state:new-south-wales,2,,
au:shire:the-hills-shire,AU,shire,The Hills Shire,,,au:state:new-south-wales,2,,
au:council:waverley-council,AU,council,Waverley Council,,,au:state:new-south-wales,2,,
au:city:city-of-willoughby,AU,city,City of Willoughby,,,au:state:new-south-wales,2,,
au:municipality:municipality-of-woollahra,AU,municipality,Municipality of Woollahra,,,au:state:new-south-wales,2,,
au:city:city-of-blue-mountains,AU,city,City of Blue Mountains,,,au:state:new-south-wales,2,,
au:city:city-of-hawkesbury,AU,city,City of Hawkesbury,,,au:state:new-south-wales,2,,
au:shire:wollondilly-shire,AU,shire,Wollondilly Shire,,,au:state:new-south-wales,2,,
au:council:central-coast-council,AU,council,Central Coast Council,,,au:state:new-south-wales,2,,
au:city:city-of-cessnock,AU,city,City of Cessnock,,,au:state:new-south-wales,2,,
au:city:city-of-lake-macquarie,AU,city,City of Lake Macquarie,,,au:state:new-south-wales,2,,
au:city:city-of-maitland,AU,city,City of Maitland,,,au:state:new-south-wales,2,,
au:city:city-of-newcastle,AU,city,City of Newcastle,,,au:state:new-south-wales,2,,
au:council:port-stephens-council,AU,council,Port Stephens Council,,,au:state:new-south-wales,2,,
au:shire:dungog-shire,AU,shire,Dungog Shire,,,au:state:new-south-wales,2,,
au:shire:muswellbrook-shire,AU,shire,Muswellbrook Shire,,,au:state:new-south-wales,2,,
au:council:singleton-council,AU,council,Singleton Council,,,au:state:new-south-wales,2,,
au:shire:upper-hunter-shire,AU,shire,Upper Hunter Shire,,,au:state:new-south-wales,2,,
au:shire:bellingen-shire,AU,shire,Bellingen Shire,,,au:state:new-south-wales,2,,
au:city:city-of-coffs-harbour,AU,city,City of Coffs Harbour,,,au:state:new-south-wales,2,,
au:shire:kempsey-shire,AU,shire,Kempsey Shire,,,au:state:new-south-wales,2,,
au:council:midcoast-council,AU,council,MidCoast Council,,,au:state:new-south-wales,2,,
au:council:nambucca-valley-council,AU,council,Nambucca Valley Council,,,au:state:new-south-wales,2,,
au:council:port-macquarie-hastings-council,AU,council,Port Macquarie-Hastings Council,,,au:state:new-south-wales,2,,
au:region:armidale-regional-council,AU,region,Armidale Regional Council,,,au:state:new-south-wales,2,,
au:council:glen-innes-severn-council,AU,council,Glen Innes Severn Council,,,au:state:new-south-wales,2,,
au:shire:gunnedah-shire,AU,shire,Gunnedah Shire,,,au:state:new-south-wales,2,,
au:shire:gwydir-shire,AU,shire,Gwydir Shire,,,au:state:new-south-wales,2,,
au:shire:inverell-shire,AU,shire,Inverell Shire,,,au:state:new-south-wales,2,,
au:shire:liverpool-plains-shire,AU,shire,Liverpool Plains Shire,,,au:state:new-south-wales,2,,
au:shire:moree-plains-shire,AU,shire,Moree Plains Shire,,,au:state:new-south-wales,2,,
au:shire:narrabri-shire,AU,shire,Narrabri Shire,,,au:state:new-south-wales,2,,
au:region:tamworth-regional-council,AU,region,Tamworth Regional Council,,,au:state:new-south-wales,2,,
au:shire:tenterfield-shire,AU,shire,Tenterfield Shire,,,au:state:new-south-wales,2,,
au:shire:uralla-shire,AU,shire,Uralla Shire,,,au:state:new-south-wales,2,,
au:shire:walcha-shire,AU,shire,Walcha Shire,,,au:state:new-south-wales,2,,
au:shire:ballina-shire,AU,shire,Ballina Shire,,,au:state:new-south-wales,2,,
au:shire:byron-shire,AU,shire,Byron Shire,,,au:state:new-south-wales,2,,
au:council:clarence-valley-council,AU,council,Clarence Valley Council,,,au:state:new-south-wales,2,,
au:council:kyogle-council,AU,council,Kyogle Council,,,au:state:new-south-wales,2,,
au:city:city-of-lismore,AU,city,City of Lismore,,,au:state:new-south-wales,2,,
au:council:richmond-valley-council,AU,council,Richmond Valley Council,,,au:state:new-south-wales,2,,
