postcode,area_source_id,relationship_type,is_primary
0800,au:city:city-of-darwin,served_by,true
0801,au:city:city-of-darwin,served_by,true
0803,au:shire:wagait-shire,served_by,true
0804,au:city:city-of-darwin,served_by,true
0810,au:city:city-of-darwin,served_by,true
0811,au:city:city-of-darwin,served_by,true
0812,au:city:city-of-darwin,served_by,true
0813,au:city:city-of-darwin,served_by,true
0814,au:city:city-of-darwin,served_by,true
0815,au:city:city-of-darwin,served_by,true
0820,au:city:city-of-darwin,served_by,true
0821,au:city:city-of-darwin,served_by,true
0822,au:city:city-of-darwin,served_by,false
0822,au:municipality:litchfield-municipality,served_by,false
0822,au:region:east-arnhem-region,served_by,true
0822,au:region:roper-gulf-region,served_by,false
0822,au:region:tiwi-islands-region,served_by,false
0822,au:region:victoria-daly-region,served_by,false
0822,au:region:west-arnhem-region,served_by,false
0822,au:region:west-daly-region,served_by,false
0822,au:shire:belyuen-shire,served_by,false
0822,au:shire:coomalie-shire,served_by,false
0822,au:shire:wagait-shire,served_by,false
0822,au:territory:northern-territory,served_by,false
0828,au:city:city-of-darwin,served_by,true
0828,au:municipality:litchfield-municipality,served_by,false
0828,au:territory:northern-territory,served_by,false
0829,au:city:city-of-palmerston,served_by,false
0829,au:municipality:litchfield-municipality,served_by,true
0830,au:city:city-of-palmerston,served_by,true
0830,au:municipality:litchfield-municipality,served_by,false
0831,au:city:city-of-palmerston,served_by,true
0832,au:city:city-of-palmerston,served_by,true
0834,au:municipality:litchfield-municipality,served_by,true
0835,au:municipality:litchfield-municipality,served_by,true
0836,au:municipality:litchfield-municipality,served_by,true
0837,au:municipality:litchfield-municipality,served_by,true
0838,au:municipality:litchfield-municipality,served_by,true
0839,au:municipality:litchfield-municipality,served_by,true
0840,au:territory:northern-territory,served_by,true
0841,au:municipality:litchfield-municipality,served_by,true
0845,au:shire:coomalie-shire,served_by,true
0846,au:shire:coomalie-shire,served_by,true
0847,au:region:victoria-daly-region,served_by,true
0850,au:town:town-of-katherine,served_by,true
0851,au:town:town-of-katherine,served_by,true
0852,au:region:barkly-region,served_by,false
0852,au:region:central-desert-region,served_by,false
0852,au:region:roper-gulf-region,served_by,true
0852,au:region:victoria-daly-region,served_by,false
0852,au:town:town-of-katherine,served_by,false
0853,au:town:town-of-katherine,served_by,true
0854,au:region:roper-gulf-region,served_by,true
0860,au:region:barkly-region,served_by,true
0861,au:region:barkly-region,served_by,true
0862,au:region:barkly-region,served_by,false
0862,au:region:roper-gulf-region,served_by,true
0870,au:town:town-of-alice-springs,served_by,true
0871,au:town:town-of-alice-springs,served_by,true
0872,au:region:barkly-region,served_by,false
0872,au:region:central-desert-region,served_by,false
0872,au:region:macdonnell-region,served_by,true
0872,au:shire:shire-of-east-pilbara,served_by,false
0872,au:shire:shire-of-ngaanyatjarraku,served_by,false
0872,au:state:south-australia,served_by,false
0872,au:territory:northern-territory,served_by,false
0873,au:region:macdonnell-region,served_by,false
0873,au:town:town-of-alice-springs,served_by,true
0874,au:town:town-of-alice-springs,served_by,true
0875,au:town:town-of-alice-springs,served_by,true
0880,au:region:east-arnhem-region,served_by,false
0880,au:territory:northern-territory,served_by,true
0881,au:territory:northern-territory,served_by,true
0885,au:territory:northern-territory,served_by,true
0886,au:region:west-arnhem-region,served_by,true
0906,au:city:city-of-darwin,served_by,true
0907,au:city:city-of-darwin,served_by,true
0909,au:city:city-of-darwin,served_by,true
1001,au:city:city-of-sydney,served_by,true
1002,au:city:city-of-sydney,served_by,true
1003,au:city:city-of-sydney,served_by,true
1004,au:city:city-of-sydney,served_by,true
1005,au:city:city-of-sydney,served_by,true
1006,au:city:city-of-sydney,served_by,true
1007,au:city:city-of-sydney,served_by,true
1008,au:city:city-of-sydney,served_by,true
1009,au:city:city-of-sydney,served_by,true
1010,au:city:city-of-sydney,served_by,true
1020,au:city:city-of-sydney,served_by,true
1021,au:city:city-of-sydney,served_by,true
1022,au:city:city-of-sydney,served_by,true
1023,au:city:city-of-sydney,served_by,true
1025,au:city:city-of-sydney,served_by,true
