country_code,code
AU,0800
AU,0801
AU,0803
AU,0804
AU,0810
AU,0811
AU,0812
AU,0813
AU,0814
AU,0815
AU,0820
AU,0821
AU,0822
AU,0828
AU,0829
AU,0830
AU,0831
AU,0832
AU,0834
AU,0835
AU,0836
AU,0837
AU,0838
AU,0839
AU,0840
AU,0841
AU,0845
AU,0846
AU,0847
AU,0850
AU,0851
AU,0852
AU,0853
AU,0854
AU,0860
AU,0861
AU,0862
AU,0870
AU,0871
AU,0872
AU,0873
AU,0874
AU,0875
AU,0880
AU,0881
AU,0885
AU,0886
AU,0906
AU,0907
AU,0909
AU,1001
AU,1002
AU,1003
AU,1004
AU,1005
AU,1006
AU,1007
AU,1008
AU,1009
AU,1010
AU,1020
AU,1021
AU,1022
AU,1023
AU,1025
AU,1026
AU,1027
AU,1028
AU,1029
AU,1030
AU,1031
AU,1032
AU,1033
AU,1034
AU,1035
AU,1036
AU,1037
AU,1038
AU,1039
AU,1040
AU,1041
AU,1042
AU,1043
AU,1044
AU,1045
AU,1046
AU,1100
AU,1101
AU,1105
AU,1106
AU,1107
AU,1108
AU,1109
AU,1110
AU,1112
AU,1113
AU,1114
AU,1115
AU,1116
AU,1117
AU,1118
AU,1119
AU,1120
AU,1121
AU,1122
AU,1123
AU,1124
AU,1125
AU,1126
AU,1127
AU,1128
AU,1129
AU,1130
AU,1131
AU,1132
AU,1133
AU,1134
AU,1135
AU,1136
AU,1137
AU,1138
AU,1139
AU,1140
AU,1141
AU,1142
AU,1143
AU,1144
AU,1145
AU,1146
AU,1147
AU,1148
AU,1149
AU,1150
AU,1151
AU,1152
AU,1153
AU,1154
AU,1155
AU,1156
AU,1157
AU,1158
AU,1159
AU,1160
AU,1161
AU,1162
AU,1163
AU,1164
AU,1165
AU,1166
AU,1167
AU,1168
AU,1169
AU,1170
AU,1171
AU,1172
AU,1173
AU,1174
AU,1175
AU,1176
AU,1177
AU,1178
AU,1179
AU,1180
AU,1181
AU,1182
AU,1183
AU,1184
AU,1185
AU,1186
AU,1187
AU,1188
AU,1189
AU,1190
AU,1191
AU,1192
AU,1193
AU,1194
AU,1195
AU,1196
AU,1197
AU,1198
AU,1199
AU,1201
AU,1202
AU,1203
AU,1205
AU,1207
AU,1208
AU,1209
AU,1210
AU,1211
AU,1212
AU,1213
AU,1214
AU,1215
AU,1216
AU,1217
AU,1218
AU,1219
AU,1220
AU,1221
AU,1222
AU,1223
AU,1224
AU,1225
AU,1226
AU,1227
AU,1228
AU,1229
AU,1230
AU,1231
AU,1232
AU,1233
AU,1234
AU,1235
AU,1236
AU,1237
AU,1238
AU,1239
AU,1240
AU,1291
AU,1292
AU,1293
AU,1294
AU,1295
AU,1296
AU,1297
AU,1298
AU,1299
AU,1300
AU,1314
AU,1335
AU,1340
AU,1350
AU,1355
AU,1360
AU,1401
AU,1405
AU,1420
AU,1422
AU,1423
AU,1424
AU,1425
AU,1426
AU,1427
AU,1428
AU,1429
AU,1430
AU,1435
AU,1440
AU,1441
AU,1445
AU,1450
AU,1455
AU,1460
AU,1465
AU,1466
AU,1470
AU,1475
AU,1476
AU,1480
AU,1481
AU,1484
AU,1485
AU,1490
AU,1493
AU,1495
AU,1499
AU,1515
AU,1560
AU,1565
AU,1570
AU,1585
AU,1590
AU,1595
AU,1597
AU,1602
AU,1630
AU,1635
AU,1639
AU,1640
AU,1655
AU,1658
AU,1660
AU,1670
AU,1675
AU,1680
AU,1685
AU,1700
AU,1710
AU,1715
AU,1730
AU,1740
AU,1741
AU,1750
AU,1755
AU,1765
AU,1771
AU,1781
AU,1790
AU,1800
AU,1805
AU,1811
AU,1819
AU,1825
AU,1830
AU,1831
AU,1835
AU,1851
AU,1860
AU,1871
AU,1874
AU,1875
AU,1885
AU,1888
AU,1890
AU,1891
AU,2000
AU,2001
AU,2002
AU,2004
AU,2006
AU,2007
AU,2008
AU,2009
AU,2010
AU,2011
AU,2012
AU,2013
AU,2015
AU,2016
AU,2017
AU,2018
AU,2019
AU,2020
AU,2021
AU,2022
AU,2023
AU,2024
AU,2025
AU,2026
AU,2027
AU,2028
AU,2029
AU,2030
AU,2031
AU,2032
AU,2033
AU,2034
AU,2035
AU,2036
AU,2037
AU,2038
AU,2039
AU,2040
AU,2041
AU,2042
AU,2043
AU,2044
AU,2045
AU,2046
AU,2047
AU,2048
AU,2049
AU,2050
AU,2052
AU,2055
AU,2057
AU,2059
AU,2060
AU,2061
AU,2062
AU,2063
AU,2064
AU,2065
AU,2066
AU,2067
AU,2068
AU,2069
AU,2070
AU,2071
AU,2072
AU,2073
AU,2074
AU,2075
AU,2076
AU,2077
AU,2079
AU,2080
AU,2081
AU,2082
AU,2083
AU,2084
AU,2085
AU,2086
AU,2087
AU,2088
AU,2089
AU,2090
AU,2091
AU,2092
AU,2093
AU,2094
AU,2095
AU,2096
AU,2097
AU,2099
AU,2100
AU,2101
AU,2102
AU,2103
AU,2104
AU,2105
AU,2106
AU,2107
AU,2108
AU,2109
