source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
at:state:burgenland,AT,state,Burgenland,,1,,1,,
at:state:carinthia,AT,state,Carinthia,,2,,1,,
at:state:lower-austria,AT,state,Lower Austria,,3,,1,,
at:state:salzburg,AT,state,Salzburg,,5,,1,,
at:state:styria,AT,state,Styria,,6,,1,,
at:state:tyrol,AT,state,Tyrol,,7,,1,,
at:state:upper-austria,AT,state,Upper Austria,,4,,1,,
at:state:vienna,AT,state,Vienna,,9,,1,,
at:state:vorarlberg,AT,state,Vorarlberg,,8,,1,,
at:statutory_city:eisenstadt,AT,statutory_city,Eisenstadt,,101,at:state:burgenland,2,,
at:statutory_city:rust,AT,statutory_city,Rust,,102,at:state:burgenland,2,,
at:district:eisenstadt-umgebung,AT,district,Eisenstadt-Umgebung,,103,at:state:burgenland,2,,
at:district:gussing,AT,district,Güssing,,104,at:state:burgenland,2,,
at:district:jennersdorf,AT,district,Jennersdorf,,105,at:state:burgenland,2,,
at:district:mattersburg,AT,district,Mattersburg,,106,at:state:burgenland,2,,
at:district:neusiedl-am-see,AT,district,Neusiedl am See,,107,at:state:burgenland,2,,
at:district:oberpullendorf,AT,district,Oberpullendorf,,108,at:state:burgenland,2,,
at:district:oberwart,AT,district,Oberwart,,109,at:state:burgenland,2,,
at:statutory_city:klagenfurt-am-worthersee,AT,statutory_city,Klagenfurt am Wörthersee,,201,at:state:carinthia,2,,
at:statutory_city:villach,AT,statutory_city,Villach,,202,at:state:carinthia,2,,
at:district:hermagor,AT,district,Hermagor,,203,at:state:carinthia,2,,
at:district:klagenfurt-land,AT,district,Klagenfurt-Land,,204,at:state:carinthia,2,,
at:district:st-veit-an-der-glan,AT,district,St. Veit an der Glan,,205,at:state:carinthia,2,,
at:district:spittal-an-der-drau,AT,district,Spittal an der Drau,,206,at:state:carinthia,2,,
at:district:villach-land,AT,district,Villach-Land,,207,at:state:carinthia,2,,
at:district:volkermarkt,AT,district,Völkermarkt,,208,at:state:carinthia,2,,
at:district:wolfsberg,AT,district,Wolfsberg,,209,at:state:carinthia,2,,
at:district:feldkirchen,AT,district,Feldkirchen,,210,at:state:carinthia,2,,
at:statutory_city:krems-an-der-donau,AT,statutory_city,Krems an der Donau,,301,at:state:lower-austria,2,,
at:statutory_city:st-polten,AT,statutory_city,St. Pölten,,302,at:state:lower-austria,2,,
at:statutory_city:waidhofen-an-der-ybbs,AT,statutory_city,Waidhofen an der Ybbs,,303,at:state:lower-austria,2,,
at:statutory_city:wiener-neustadt,AT,statutory_city,Wiener Neustadt,,304,at:state:lower-austria,2,,
at:district:amstetten,AT,district,Amstetten,,305,at:state:lower-austria,2,,
at:district:baden,AT,district,Baden,,306,at:state:lower-austria,2,,
at:district:bruck-an-der-leitha,AT,district,Bruck an der Leitha,,307,at:state:lower-austria,2,,
at:district:ganserndorf,AT,district,Gänserndorf,,308,at:state:lower-austria,2,,
at:district:gmund,AT,district,Gmünd,,309,at:state:lower-austria,2,,
at:district:hollabrunn,AT,district,Hollabrunn,,310,at:state:lower-austria,2,,
