source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
az:district:absheron,AZ,district,Absheron,,ABS,,1,,
az:district:agdam,AZ,district,Agdam,,AGM,,1,,
az:district:agdash,AZ,district,Agdash,,AGS,,1,,
az:district:aghjabadi,AZ,district,Aghjabadi,,AGC,,1,,
az:district:agstafa,AZ,district,Agstafa,,AGA,,1,,
az:district:agsu,AZ,district,Agsu,,AGU,,1,,
az:district:astara,AZ,district,Astara,,AST,,1,,
az:district:babek,AZ,district,Babek,,BAB,,1,,
az:municipality:baku,AZ,municipality,Baku,,BA,,1,,
az:district:balakan,AZ,district,Balakan,,BAL,,1,,
az:district:barda,AZ,district,Barda,,BAR,,1,,
az:district:beylagan,AZ,district,Beylagan,,BEY,,1,,
az:district:bilasuvar,AZ,district,Bilasuvar,,BIL,,1,,
az:district:dashkasan,AZ,district,Dashkasan,,DAS,,1,,
az:district:fizuli,AZ,district,Fizuli,,FUZ,,1,,
az:municipality:ganja,AZ,municipality,Ganja,,GA,,1,,
az:district:gdby,AZ,district,Gədəbəy,,GAD,,1,,
az:district:gobustan,AZ,district,Gobustan,,QOB,,1,,
az:district:goranboy,AZ,district,Goranboy,,GOR,,1,,
az:district:goychay,AZ,district,Goychay,,GOY,,1,,
az:district:goygol,AZ,district,Goygol,,GYG,,1,,
az:district:hajigabul,AZ,district,Hajigabul,,HAC,,1,,
az:district:imishli,AZ,district,Imishli,,IMI,,1,,
az:district:ismailli,AZ,district,Ismailli,,ISM,,1,,
az:district:jabrayil,AZ,district,Jabrayil,,CAB,,1,,
az:district:jalilabad,AZ,district,Jalilabad,,CAL,,1,,
az:district:julfa,AZ,district,Julfa,,CUL,,1,,
az:district:kalbajar,AZ,district,Kalbajar,,KAL,,1,,
az:district:kangarli,AZ,district,Kangarli,,KAN,,1,,
az:district:khachmaz,AZ,district,Khachmaz,,XAC,,1,,
az:municipality:khankendi,AZ,municipality,Khankendi,,XA,,1,,
az:district:khizi,AZ,district,Khizi,,XIZ,,1,,
az:district:khojali,AZ,district,Khojali,,XCI,,1,,
az:district:kurdamir,AZ,district,Kurdamir,,KUR,,1,,
az:district:lachin,AZ,district,Lachin,,LAC,,1,,
az:municipality:lankaran,AZ,municipality,Lankaran,,LA,,1,,
az:district:lankaran,AZ,district,Lankaran,,LAN,,1,,
az:district:lerik,AZ,district,Lerik,,LER,,1,,
az:district:khojavend,AZ,district,Khojavend,,XVD,,1,,
az:district:masally,AZ,district,Masally,,MAS,,1,,
az:municipality:mingachevir,AZ,municipality,Mingachevir,,MI,,1,,
az:municipality:naftalan,AZ,municipality,Naftalan,,NA,,1,,
az:municipality:nakhchivan,AZ,municipality,Nakhchivan,,NV,,1,,
az:autonomous_republic:nakhchivan,AZ,autonomous_republic,Nakhchivan,,NX,,1,,
az:district:neftchala,AZ,district,Neftchala,,NEF,,1,,
az:district:oghuz,AZ,district,Oghuz,,OGU,,1,,
az:district:ordubad,AZ,district,Ordubad,,ORD,,1,,
az:district:qabala,AZ,district,Qabala,,QAB,,1,,
az:district:qakh,AZ,district,Qakh,,QAX,,1,,
az:district:qazakh,AZ,district,Qazakh,,QAZ,,1,,
az:district:quba,AZ,district,Quba,,QBA,,1,,
az:district:qubadli,AZ,district,Qubadli,,QBI,,1,,
az:district:qusar,AZ,district,Qusar,,QUS,,1,,
az:district:saatly,AZ,district,Saatly,,SAT,,1,,
az:district:sabirabad,AZ,district,Sabirabad,,SAB,,1,,
az:district:sadarak,AZ,district,Sadarak,,SAD,,1,,
az:district:salyan,AZ,district,Salyan,,SAL,,1,,
az:district:samukh,AZ,district,Samukh,,SMX,,1,,
az:district:shabran,AZ,district,Shabran,,SBN,,1,,
az:district:shahbuz,AZ,district,Shahbuz,,SAH,,1,,
az:municipality:shaki,AZ,municipality,Shaki,,SA,,1,,
az:district:shaki,AZ,district,Shaki,,SAK,,1,,
az:district:shamakhi,AZ,district,Shamakhi,,SMI,,1,,
az:district:shamkir,AZ,district,Shamkir,,SKR,,1,,
az:district:sharur,AZ,district,Sharur,,SAR,,1,,
az:municipality:shirvan,AZ,municipality,Shirvan,,SR,,1,,
az:district:shusha,AZ,district,Shusha,,SUS,,1,,
az:district:siazan,AZ,district,Siazan,,SIY,,1,,
az:municipality:sumqayit,AZ,municipality,Sumqayit,,SM,,1,,
az:district:tartar,AZ,district,Tartar,,TAR,,1,,
az:district:tovuz,AZ,district,Tovuz,,TOV,,1,,
az:district:ujar,AZ,district,Ujar,,UCA,,1,,
az:district:yardymli,AZ,district,Yardymli,,YAR,,1,,
az:district:yevlakh,AZ,district,Yevlakh,,YEV,,1,,
az:municipality:yevlakh,AZ,municipality,Yevlakh,,YE,,1,,
az:district:zangilan,AZ,district,Zangilan,,ZAN,,1,,
az:district:zaqatala,AZ,district,Zaqatala,,ZAQ,,1,,
az:district:zardab,AZ,district,Zardab,,ZAR,,1,,
