postcode,area_source_id,relationship_type,is_primary
AZ 0100,az:district:absheron,served_by,true
AZ 0101,az:district:absheron,served_by,true
AZ 0102,az:district:absheron,served_by,true
AZ 0111,az:district:absheron,served_by,true
AZ 0112,az:district:absheron,served_by,true
AZ 0113,az:district:absheron,served_by,true
AZ 0114,az:district:absheron,served_by,true
AZ 0115,az:district:absheron,served_by,true
AZ 0116,az:district:absheron,served_by,true
AZ 0117,az:district:absheron,served_by,true
AZ 0118,az:district:absheron,served_by,true
AZ 0119,az:district:absheron,served_by,true
AZ 0120,az:district:absheron,served_by,true
AZ 0121,az:district:absheron,served_by,true
AZ 0122,az:district:absheron,served_by,true
AZ 0123,az:district:absheron,served_by,true
AZ 0124,az:district:absheron,served_by,true
AZ 0125,az:district:absheron,served_by,true
AZ 0127,az:district:absheron,served_by,true
AZ 0128,az:district:absheron,served_by,true
AZ 0129,az:district:absheron,served_by,true
AZ 0130,az:district:absheron,served_by,true
AZ 0131,az:district:absheron,served_by,true
AZ 0155,az:district:absheron,served_by,true
AZ 0200,az:district:agdam,served_by,true
AZ 0216,az:district:agdam,served_by,true
AZ 0217,az:district:agdam,served_by,true
AZ 0227,az:district:agdam,served_by,true
AZ 0230,az:district:agdam,served_by,true
AZ 0233,az:district:agdam,served_by,true
AZ 0234,az:district:agdam,served_by,true
AZ 0246,az:district:agdam,served_by,true
AZ 0300,az:district:agdash,served_by,true
AZ 0301,az:district:agdash,served_by,true
AZ 0302,az:district:agdash,served_by,true
AZ 0311,az:district:agdash,served_by,true
AZ 0313,az:district:agdash,served_by,true
AZ 0318,az:district:agdash,served_by,true
AZ 0321,az:district:agdash,served_by,true
AZ 0324,az:district:agdash,served_by,true
AZ 0325,az:district:agdash,served_by,true
AZ 0327,az:district:agdash,served_by,true
AZ 0328,az:district:agdash,served_by,true
AZ 0331,az:district:agdash,served_by,true
AZ 0332,az:district:agdash,served_by,true
AZ 0333,az:district:agdash,served_by,true
AZ 0340,az:district:agdash,served_by,true
AZ 0400,az:district:aghjabadi,served_by,true
AZ 0402,az:district:aghjabadi,served_by,true
AZ 0403,az:district:aghjabadi,served_by,true
AZ 0404,az:district:aghjabadi,served_by,true
AZ 0411,az:district:aghjabadi,served_by,true
AZ 0412,az:district:aghjabadi,served_by,true
AZ 0413,az:district:aghjabadi,served_by,true
AZ 0414,az:district:aghjabadi,served_by,true
AZ 0415,az:district:aghjabadi,served_by,true
AZ 0416,az:district:aghjabadi,served_by,true
AZ 0417,az:district:aghjabadi,served_by,true
AZ 0418,az:district:aghjabadi,served_by,true
AZ 0419,az:district:aghjabadi,served_by,true
AZ 0420,az:district:aghjabadi,served_by,true
AZ 0421,az:district:aghjabadi,served_by,true
AZ 0422,az:district:aghjabadi,served_by,true
AZ 0424,az:district:aghjabadi,served_by,true
AZ 0425,az:district:aghjabadi,served_by,true
AZ 0426,az:district:aghjabadi,served_by,true
AZ 0427,az:district:aghjabadi,served_by,true
AZ 0428,az:district:aghjabadi,served_by,true
AZ 0429,az:district:aghjabadi,served_by,true
AZ 0430,az:district:aghjabadi,served_by,true
AZ 0431,az:district:aghjabadi,served_by,true
AZ 0432,az:district:aghjabadi,served_by,true
AZ 0433,az:district:aghjabadi,served_by,true
AZ 0500,az:district:agstafa,served_by,true
AZ 0511,az:district:agstafa,served_by,true
AZ 0512,az:district:agstafa,served_by,true
AZ 0513,az:district:agstafa,served_by,true
AZ 0514,az:district:agstafa,served_by,true
AZ 0515,az:district:agstafa,served_by,true
AZ 0517,az:district:agstafa,served_by,true
AZ 0518,az:district:agstafa,served_by,true
AZ 0519,az:district:agstafa,served_by,true
AZ 0520,az:district:agstafa,served_by,true
AZ 0521,az:district:agstafa,served_by,true
AZ 0523,az:district:agstafa,served_by,true
AZ 0525,az:district:agstafa,served_by,true
AZ 0527,az:district:agstafa,served_by,true
AZ 0528,az:district:agstafa,served_by,true
