country_code,code
AZ,AZ 0100
AZ,AZ 0101
AZ,AZ 0102
AZ,AZ 0111
AZ,AZ 0112
AZ,AZ 0113
AZ,AZ 0114
AZ,AZ 0115
AZ,AZ 0116
AZ,AZ 0117
AZ,AZ 0118
AZ,AZ 0119
AZ,AZ 0120
AZ,AZ 0121
AZ,AZ 0122
AZ,AZ 0123
AZ,AZ 0124
AZ,AZ 0125
AZ,AZ 0127
AZ,AZ 0128
AZ,AZ 0129
AZ,AZ 0130
AZ,AZ 0131
AZ,AZ 0155
AZ,AZ 0200
AZ,AZ 0216
AZ,AZ 0217
AZ,AZ 0227
AZ,AZ 0230
AZ,AZ 0233
AZ,AZ 0234
AZ,AZ 0246
AZ,AZ 0300
AZ,AZ 0301
AZ,AZ 0302
AZ,AZ 0311
AZ,AZ 0313
AZ,AZ 0318
AZ,AZ 0321
AZ,AZ 0324
AZ,AZ 0325
AZ,AZ 0327
AZ,AZ 0328
AZ,AZ 0331
AZ,AZ 0332
AZ,AZ 0333
AZ,AZ 0340
AZ,AZ 0400
AZ,AZ 0402
AZ,AZ 0403
AZ,AZ 0404
AZ,AZ 0411
AZ,AZ 0412
AZ,AZ 0413
AZ,AZ 0414
AZ,AZ 0415
AZ,AZ 0416
AZ,AZ 0417
AZ,AZ 0418
AZ,AZ 0419
AZ,AZ 0420
AZ,AZ 0421
AZ,AZ 0422
AZ,AZ 0424
AZ,AZ 0425
AZ,AZ 0426
AZ,AZ 0427
AZ,AZ 0428
AZ,AZ 0429
AZ,AZ 0430
AZ,AZ 0431
AZ,AZ 0432
AZ,AZ 0433
AZ,AZ 0500
AZ,AZ 0511
AZ,AZ 0512
AZ,AZ 0513
AZ,AZ 0514
AZ,AZ 0515
AZ,AZ 0517
AZ,AZ 0518
AZ,AZ 0519
AZ,AZ 0520
AZ,AZ 0521
AZ,AZ 0523
AZ,AZ 0525
AZ,AZ 0527
AZ,AZ 0528
AZ,AZ 0529
AZ,AZ 0532
AZ,AZ 0533
AZ,AZ 0600
AZ,AZ 0601
AZ,AZ 0611
AZ,AZ 0612
AZ,AZ 0614
AZ,AZ 0615
AZ,AZ 0616
AZ,AZ 0617
AZ,AZ 0618
AZ,AZ 0620
AZ,AZ 0621
AZ,AZ 0623
AZ,AZ 0625
AZ,AZ 0627
AZ,AZ 0629
AZ,AZ 0630
AZ,AZ 0700
AZ,AZ 0701
AZ,AZ 0702
AZ,AZ 0704
AZ,AZ 0711
AZ,AZ 0714
AZ,AZ 0715
AZ,AZ 0716
AZ,AZ 0717
AZ,AZ 0719
AZ,AZ 0720
AZ,AZ 0721
AZ,AZ 0722
AZ,AZ 0723
AZ,AZ 0724
AZ,AZ 0725
AZ,AZ 0800
AZ,AZ 0801
AZ,AZ 0811
AZ,AZ 0812
AZ,AZ 0814
AZ,AZ 0815
AZ,AZ 0816
AZ,AZ 0817
AZ,AZ 0818
AZ,AZ 0820
AZ,AZ 0821
AZ,AZ 0822
AZ,AZ 0823
AZ,AZ 0824
AZ,AZ 0826
AZ,AZ 0827
AZ,AZ 0828
AZ,AZ 0829
AZ,AZ 0830
AZ,AZ 0831
AZ,AZ 0833
AZ,AZ 0900
AZ,AZ 0901
AZ,AZ 0902
AZ,AZ 0911
AZ,AZ 0912
AZ,AZ 0913
AZ,AZ 0914
AZ,AZ 0915
AZ,AZ 0918
AZ,AZ 0919
AZ,AZ 0922
AZ,AZ 0924
AZ,AZ 0925
AZ,AZ 0927
AZ,AZ 0928
AZ,AZ 0929
AZ,AZ 0931
AZ,AZ 0933
AZ,AZ 0937
AZ,AZ 0938
AZ,AZ 0942
AZ,AZ 0943
AZ,AZ 1000
AZ,AZ 1001
AZ,AZ 1002
AZ,AZ 1003
AZ,AZ 1004
AZ,AZ 1005
AZ,AZ 1006
AZ,AZ 1007
AZ,AZ 1008
AZ,AZ 1009
AZ,AZ 1010
AZ,AZ 1012
AZ,AZ 1014
AZ,AZ 1015
AZ,AZ 1016
AZ,AZ 1017
AZ,AZ 1018
AZ,AZ 1020
AZ,AZ 1021
AZ,AZ 1022
AZ,AZ 1023
AZ,AZ 1025
AZ,AZ 1026
AZ,AZ 1027
AZ,AZ 1029
AZ,AZ 1030
AZ,AZ 1031
AZ,AZ 1032
AZ,AZ 1033
AZ,AZ 1034
AZ,AZ 1035
AZ,AZ 1037
AZ,AZ 1038
AZ,AZ 1039
AZ,AZ 1040
AZ,AZ 1041
AZ,AZ 1042
AZ,AZ 1043
AZ,AZ 1044
AZ,AZ 1045
AZ,AZ 1046
AZ,AZ 1047
AZ,AZ 1048
AZ,AZ 1049
AZ,AZ 1050
AZ,AZ 1052
AZ,AZ 1053
AZ,AZ 1054
AZ,AZ 1056
AZ,AZ 1059
AZ,AZ 1060
AZ,AZ 1061
AZ,AZ 1062
AZ,AZ 1063
AZ,AZ 1064
AZ,AZ 1065
AZ,AZ 1066
AZ,AZ 1067
AZ,AZ 1068
AZ,AZ 1069
AZ,AZ 1070
AZ,AZ 1071
AZ,AZ 1072
AZ,AZ 1073
AZ,AZ 1074
AZ,AZ 1075
AZ,AZ 1076
AZ,AZ 1077
AZ,AZ 1078
AZ,AZ 1079
AZ,AZ 1080
AZ,AZ 1081
AZ,AZ 1082
AZ,AZ 1083
AZ,AZ 1084
AZ,AZ 1085
AZ,AZ 1086
AZ,AZ 1088
AZ,AZ 1089
AZ,AZ 1090
AZ,AZ 1091
AZ,AZ 1092
AZ,AZ 1093
AZ,AZ 1094
AZ,AZ 1096
AZ,AZ 1097
AZ,AZ 1098
AZ,AZ 1100
