source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bs:district:acklins,BS,district,Acklins,,AK,,1,,
bs:district:berry-islands,BS,district,Berry Islands,,BY,,1,,
bs:district:bimini,BS,district,Bimini,,BI,,1,,
bs:district:black-point,BS,district,Black Point,,BP,,1,,
bs:district:cat-island,BS,district,Cat Island,,CI,,1,,
bs:district:central-abaco,BS,district,Central Abaco,,CO,,1,,
bs:district:central-andros,BS,district,Central Andros,,CS,,1,,
bs:district:central-eleuthera,BS,district,Central Eleuthera,,CE,,1,,
bs:district:crooked-island-and-long-cay,BS,district,Crooked Island and Long Cay,,CK,,1,,
bs:district:east-grand-bahama,BS,district,East Grand Bahama,,EG,,1,,
bs:district:exuma,BS,district,Exuma,,EX,,1,,
bs:district:city-of-freeport,BS,district,City of Freeport,,FP,,1,,
bs:district:grand-cay,BS,district,Grand Cay,,GC,,1,,
bs:district:harbour-island,BS,district,Harbour Island,,HI,,1,,
bs:district:hope-town,BS,district,Hope Town,,HT,,1,,
bs:district:inagua,BS,district,Inagua,,IN,,1,,
bs:district:long-island,BS,district,Long Island,,LI,,1,,
bs:district:mangrove-cay,BS,district,Mangrove Cay,,MC,,1,,
bs:district:mayaguana,BS,district,Mayaguana,,MG,,1,,
bs:district:moores-island,BS,district,Moore's Island,,MI,,1,,
bs:island:new-providence,BS,island,New Providence,,NP,,1,,
bs:district:north-abaco,BS,district,North Abaco,,NO,,1,,
bs:district:north-andros,BS,district,North Andros,,NS,,1,,
bs:district:north-eleuthera,BS,district,North Eleuthera,,NE,,1,,
bs:district:ragged-island,BS,district,Ragged Island,,RI,,1,,
bs:district:rum-cay,BS,district,Rum Cay,,RC,,1,,
bs:district:san-salvador,BS,district,San Salvador,,SS,,1,,
bs:district:south-abaco,BS,district,South Abaco,,SO,,1,,
bs:district:south-andros,BS,district,South Andros,,SA,,1,,
bs:district:south-eleuthera,BS,district,South Eleuthera,,SE,,1,,
bs:district:spanish-wells,BS,district,Spanish Wells,,SW,,1,,
bs:district:west-grand-bahama,BS,district,West Grand Bahama,,WG,,1,,
