postcode,area_source_id,relationship_type,is_primary
101,bh:governorate:muharraq,served_by,true
102,bh:governorate:muharraq,served_by,true
103,bh:governorate:muharraq,served_by,true
104,bh:governorate:muharraq,served_by,true
105,bh:governorate:muharraq,served_by,true
106,bh:governorate:muharraq,served_by,true
107,bh:governorate:muharraq,served_by,true
108,bh:governorate:muharraq,served_by,true
109,bh:governorate:muharraq,served_by,true
110,bh:governorate:muharraq,served_by,true
111,bh:governorate:muharraq,served_by,true
112,bh:governorate:muharraq,served_by,true
113,bh:governorate:muharraq,served_by,true
115,bh:governorate:muharraq,served_by,true
116,bh:governorate:muharraq,served_by,true
117,bh:governorate:muharraq,served_by,true
118,bh:governorate:muharraq,served_by,true
119,bh:governorate:muharraq,served_by,true
121,bh:governorate:muharraq,served_by,true
128,bh:governorate:muharraq,served_by,true
202,bh:governorate:muharraq,served_by,true
203,bh:governorate:muharraq,served_by,true
204,bh:governorate:muharraq,served_by,true
205,bh:governorate:muharraq,served_by,true
206,bh:governorate:muharraq,served_by,true
207,bh:governorate:muharraq,served_by,true
208,bh:governorate:muharraq,served_by,true
209,bh:governorate:muharraq,served_by,true
210,bh:governorate:muharraq,served_by,true
211,bh:governorate:muharraq,served_by,true
212,bh:governorate:muharraq,served_by,true
213,bh:governorate:muharraq,served_by,true
214,bh:governorate:muharraq,served_by,true
215,bh:governorate:muharraq,served_by,true
216,bh:governorate:muharraq,served_by,true
217,bh:governorate:muharraq,served_by,true
221,bh:governorate:muharraq,served_by,true
222,bh:governorate:muharraq,served_by,true
223,bh:governorate:muharraq,served_by,true
224,bh:governorate:muharraq,served_by,true
225,bh:governorate:muharraq,served_by,true
226,bh:governorate:muharraq,served_by,true
227,bh:governorate:muharraq,served_by,true
228,bh:governorate:muharraq,served_by,true
229,bh:governorate:muharraq,served_by,true
231,bh:governorate:muharraq,served_by,true
232,bh:governorate:muharraq,served_by,true
233,bh:governorate:muharraq,served_by,true
234,bh:governorate:muharraq,served_by,true
235,bh:governorate:muharraq,served_by,true
236,bh:governorate:muharraq,served_by,true
237,bh:governorate:muharraq,served_by,true
240,bh:governorate:muharraq,served_by,true
241,bh:governorate:muharraq,served_by,true
242,bh:governorate:muharraq,served_by,true
243,bh:governorate:muharraq,served_by,true
244,bh:governorate:muharraq,served_by,true
245,bh:governorate:muharraq,served_by,true
246,bh:governorate:muharraq,served_by,true
247,bh:governorate:muharraq,served_by,true
248,bh:governorate:muharraq,served_by,true
251,bh:governorate:muharraq,served_by,true
252,bh:governorate:muharraq,served_by,true
253,bh:governorate:muharraq,served_by,true
254,bh:governorate:muharraq,served_by,true
255,bh:governorate:muharraq,served_by,true
256,bh:governorate:muharraq,served_by,true
257,bh:governorate:muharraq,served_by,true
258,bh:governorate:muharraq,served_by,true
263,bh:governorate:muharraq,served_by,true
264,bh:governorate:muharraq,served_by,true
265,bh:governorate:muharraq,served_by,true
266,bh:governorate:muharraq,served_by,true
269,bh:governorate:muharraq,served_by,true
301,bh:governorate:capital,served_by,true
302,bh:governorate:capital,served_by,true
303,bh:governorate:capital,served_by,true
304,bh:governorate:capital,served_by,true
305,bh:governorate:capital,served_by,true
306,bh:governorate:capital,served_by,true
307,bh:governorate:capital,served_by,true
308,bh:governorate:capital,served_by,true
309,bh:governorate:capital,served_by,true
310,bh:governorate:capital,served_by,true
311,bh:governorate:capital,served_by,true
312,bh:governorate:capital,served_by,true
313,bh:governorate:capital,served_by,true
314,bh:governorate:capital,served_by,true
315,bh:governorate:capital,served_by,true
316,bh:governorate:capital,served_by,true
