postcode,area_source_id,relationship_type,is_primary
BB11000,bb:parish:saint-michael,served_by,true
BB11001,bb:parish:saint-michael,served_by,true
BB11002,bb:parish:saint-michael,served_by,true
BB11004,bb:parish:saint-michael,served_by,true
BB11005,bb:parish:saint-michael,served_by,true
BB11014,bb:parish:saint-michael,served_by,true
BB11015,bb:parish:saint-michael,served_by,true
BB11016,bb:parish:saint-michael,served_by,true
BB11020,bb:parish:saint-michael,served_by,true
BB11022,bb:parish:saint-michael,served_by,true
BB11024,bb:parish:saint-michael,served_by,true
BB11025,bb:parish:saint-michael,served_by,true
BB11026,bb:parish:saint-michael,served_by,true
BB11027,bb:parish:saint-michael,served_by,true
BB11029,bb:parish:saint-michael,served_by,true
BB11032,bb:parish:saint-michael,served_by,true
BB11033,bb:parish:saint-michael,served_by,true
BB11035,bb:parish:saint-michael,served_by,true
BB11037,bb:parish:saint-michael,served_by,true
BB11038,bb:parish:saint-michael,served_by,true
BB11041,bb:parish:saint-michael,served_by,true
BB11042,bb:parish:saint-michael,served_by,true
BB11049,bb:parish:saint-michael,served_by,true
BB11050,bb:parish:saint-michael,served_by,true
BB11051,bb:parish:saint-michael,served_by,true
BB11052,bb:parish:saint-michael,served_by,true
BB11053,bb:parish:saint-michael,served_by,true
BB11055,bb:parish:saint-michael,served_by,true
BB11056,bb:parish:saint-michael,served_by,true
BB11057,bb:parish:saint-michael,served_by,true
BB11058,bb:parish:saint-michael,served_by,true
BB11059,bb:parish:saint-michael,served_by,true
BB11060,bb:parish:saint-michael,served_by,true
BB11062,bb:parish:saint-michael,served_by,true
BB11063,bb:parish:saint-michael,served_by,true
BB11064,bb:parish:saint-michael,served_by,true
BB11065,bb:parish:saint-michael,served_by,true
BB11066,bb:parish:saint-michael,served_by,true
BB11067,bb:parish:saint-michael,served_by,true
BB11068,bb:parish:saint-michael,served_by,true
BB11069,bb:parish:saint-michael,served_by,true
BB11070,bb:parish:saint-michael,served_by,true
BB11071,bb:parish:saint-michael,served_by,true
BB11072,bb:parish:saint-michael,served_by,true
BB11073,bb:parish:saint-michael,served_by,true
BB11074,bb:parish:saint-michael,served_by,true
BB11075,bb:parish:saint-michael,served_by,true
BB11076,bb:parish:saint-michael,served_by,true
BB11077,bb:parish:saint-michael,served_by,true
BB11078,bb:parish:saint-michael,served_by,true
BB11079,bb:parish:saint-michael,served_by,true
BB11080,bb:parish:saint-michael,served_by,true
BB11081,bb:parish:saint-michael,served_by,true
BB11083,bb:parish:saint-michael,served_by,true
BB11084,bb:parish:saint-michael,served_by,true
BB11085,bb:parish:saint-michael,served_by,true
BB11086,bb:parish:saint-michael,served_by,true
BB11087,bb:parish:saint-michael,served_by,true
BB11088,bb:parish:saint-michael,served_by,true
BB11089,bb:parish:saint-michael,served_by,true
BB11090,bb:parish:saint-michael,served_by,true
BB11091,bb:parish:saint-michael,served_by,true
BB11092,bb:parish:saint-michael,served_by,true
BB11093,bb:parish:saint-michael,served_by,true
BB11094,bb:parish:saint-michael,served_by,true
BB11098,bb:parish:saint-michael,served_by,true
BB11099,bb:parish:saint-michael,served_by,true
BB11100,bb:parish:saint-michael,served_by,true
BB11101,bb:parish:saint-michael,served_by,true
BB11102,bb:parish:saint-michael,served_by,true
BB11103,bb:parish:saint-michael,served_by,true
BB11104,bb:parish:saint-michael,served_by,true
BB11105,bb:parish:saint-michael,served_by,true
BB11106,bb:parish:saint-michael,served_by,true
BB11107,bb:parish:saint-michael,served_by,true
BB11108,bb:parish:saint-michael,served_by,true
BB11109,bb:parish:saint-michael,served_by,true
BB11110,bb:parish:saint-michael,served_by,true
BB11111,bb:parish:saint-michael,served_by,true
BB11112,bb:parish:saint-michael,served_by,true
BB11113,bb:parish:saint-michael,served_by,true
BB11114,bb:parish:saint-michael,served_by,true
BB11115,bb:parish:saint-michael,served_by,true
BB11116,bb:parish:saint-michael,served_by,true
BB11117,bb:parish:saint-michael,served_by,true
BB11118,bb:parish:saint-michael,served_by,true
BB11119,bb:parish:saint-michael,served_by,true
BB11120,bb:parish:saint-michael,served_by,true
BB11121,bb:parish:saint-michael,served_by,true
BB11122,bb:parish:saint-michael,served_by,true
BB11123,bb:parish:saint-michael,served_by,true
BB11124,bb:parish:saint-michael,served_by,true
BB11125,bb:parish:saint-michael,served_by,true
BB11126,bb:parish:saint-michael,served_by,true
BB11127,bb:parish:saint-michael,served_by,true
BB11128,bb:parish:saint-michael,served_by,true
BB11129,bb:parish:saint-michael,served_by,true
BB11131,bb:parish:saint-michael,served_by,true
