source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
by:oblast:brest,BY,oblast,Brest,,BR,,1,,
by:oblast:gomel,BY,oblast,Gomel,,HO,,1,,
by:oblast:grodno,BY,oblast,Grodno,,HR,,1,,
by:oblast:minsk,BY,oblast,Minsk,,MI,,1,,
by:city:minsk,BY,city,Minsk,,HM,,1,,
by:oblast:mogilev,BY,oblast,Mogilev,,MA,,1,,
by:oblast:vitebsk,BY,oblast,Vitebsk,,VI,,1,,
by:district:baranavichy,BY,district,Baranavichy,,,by:oblast:brest,2,,
by:district:brest,BY,district,Brest,,,by:oblast:brest,2,,
by:district:byaroza,BY,district,Byaroza,,,by:oblast:brest,2,,
by:district:drahichyn,BY,district,Drahichyn,,,by:oblast:brest,2,,
by:district:hantsavichy,BY,district,Hantsavichy,,,by:oblast:brest,2,,
by:district:ivanava,BY,district,Ivanava,,,by:oblast:brest,2,,
by:district:ivatsevichy,BY,district,Ivatsevichy,,,by:oblast:brest,2,,
by:district:kamyenyets,BY,district,Kamyenyets,,,by:oblast:brest,2,,
by:district:kobryn,BY,district,Kobryn,,,by:oblast:brest,2,,
by:district:luninyets,BY,district,Luninyets,,,by:oblast:brest,2,,
by:district:lyakhavichy,BY,district,Lyakhavichy,,,by:oblast:brest,2,,
by:district:malaryta,BY,district,Malaryta,,,by:oblast:brest,2,,
by:district:pinsk,BY,district,Pinsk,,,by:oblast:brest,2,,
by:district:pruzhany,BY,district,Pruzhany,,,by:oblast:brest,2,,
by:district:stolin,BY,district,Stolin,,,by:oblast:brest,2,,
by:district:zhabinka,BY,district,Zhabinka,,,by:oblast:brest,2,,
by:district:aktsyabrski,BY,district,Aktsyabrski,,,by:oblast:gomel,2,,
by:district:brahin,BY,district,Brahin,,,by:oblast:gomel,2,,
by:district:buda-kashalyova,BY,district,Buda-Kashalyova,,,by:oblast:gomel,2,,
by:district:chachersk,BY,district,Chachersk,,,by:oblast:gomel,2,,
by:district:dobrush,BY,district,Dobrush,,,by:oblast:gomel,2,,
by:district:gomel,BY,district,Gomel,,,by:oblast:gomel,2,,
by:district:yelsk,BY,district,Yelsk,,,by:oblast:gomel,2,,
by:district:kalinkavichy,BY,district,Kalinkavichy,,,by:oblast:gomel,2,,
by:district:karma,BY,district,Karma,,,by:oblast:gomel,2,,
by:district:khoiniki,BY,district,Khoiniki,,,by:oblast:gomel,2,,
by:district:loyew,BY,district,Loyew,,,by:oblast:gomel,2,,
by:district:lyelchytsy,BY,district,Lyelchytsy,,,by:oblast:gomel,2,,
by:district:mazyr,BY,district,Mazyr,,,by:oblast:gomel,2,,
by:district:narowlya,BY,district,Narowlya,,,by:oblast:gomel,2,,
by:district:pyetrykaw,BY,district,Pyetrykaw,,,by:oblast:gomel,2,,
by:district:rahachow,BY,district,Rahachow,,,by:oblast:gomel,2,,
by:district:rechytsa,BY,district,Rechytsa,,,by:oblast:gomel,2,,
by:district:svyetlahorsk,BY,district,Svyetlahorsk,,,by:oblast:gomel,2,,
by:district:vyetka,BY,district,Vyetka,,,by:oblast:gomel,2,,
by:district:zhlobin,BY,district,Zhlobin,,,by:oblast:gomel,2,,
by:district:zhytkavichy,BY,district,Zhytkavichy,,,by:oblast:gomel,2,,
by:district:ashmyany,BY,district,Ashmyany,,,by:oblast:grodno,2,,
by:district:astravyets,BY,district,Astravyets,,,by:oblast:grodno,2,,
by:district:byerastavitsa,BY,district,Byerastavitsa,,,by:oblast:grodno,2,,
by:district:dzyatlava,BY,district,Dzyatlava,,,by:oblast:grodno,2,,
by:district:grodno,BY,district,Grodno,,,by:oblast:grodno,2,,
by:district:iwye,BY,district,Iwye,,,by:oblast:grodno,2,,
by:district:karelichy,BY,district,Karelichy,,,by:oblast:grodno,2,,
by:district:lida,BY,district,Lida,,,by:oblast:grodno,2,,
by:district:masty,BY,district,Masty,,,by:oblast:grodno,2,,
by:district:novogrudok,BY,district,Novogrudok,,,by:oblast:grodno,2,,
by:district:shchuchyn,BY,district,Shchuchyn,,,by:oblast:grodno,2,,
by:district:slonim,BY,district,Slonim,,,by:oblast:grodno,2,,
by:district:smarhon,BY,district,Smarhon,,,by:oblast:grodno,2,,
by:district:svislach,BY,district,Svislach,,,by:oblast:grodno,2,,
by:district:vawkavysk,BY,district,Vawkavysk,,,by:oblast:grodno,2,,
by:district:voranava,BY,district,Voranava,,,by:oblast:grodno,2,,
by:district:zelva,BY,district,Zelva,,,by:oblast:grodno,2,,
by:district:barysaw,BY,district,Barysaw,,,by:oblast:minsk,2,,
by:district:byerazino,BY,district,Byerazino,,,by:oblast:minsk,2,,
by:district:chervyen,BY,district,Chervyen,,,by:oblast:minsk,2,,
by:district:dzyarzhynsk,BY,district,Dzyarzhynsk,,,by:oblast:minsk,2,,
by:district:kapyl,BY,district,Kapyl,,,by:oblast:minsk,2,,
