postcode,area_source_id,relationship_type,is_primary
210000,by:district:vitebsk,served_by,true
211000,by:district:orsha,served_by,true
211001,by:district:orsha,served_by,true
211002,by:district:orsha,served_by,true
211003,by:district:orsha,served_by,true
211004,by:district:orsha,served_by,true
211005,by:district:orsha,served_by,true
211006,by:district:orsha,served_by,true
211007,by:district:orsha,served_by,true
211008,by:district:orsha,served_by,true
211011,by:district:orsha,served_by,true
211012,by:district:orsha,served_by,true
211013,by:district:orsha,served_by,true
211014,by:district:orsha,served_by,true
211015,by:district:orsha,served_by,true
211016,by:district:orsha,served_by,true
211017,by:district:orsha,served_by,true
211018,by:district:orsha,served_by,true
211019,by:district:orsha,served_by,true
211020,by:district:orsha,served_by,true
211021,by:district:orsha,served_by,true
211022,by:district:orsha,served_by,true
211023,by:district:orsha,served_by,true
211024,by:district:orsha,served_by,true
211026,by:district:orsha,served_by,true
211029,by:district:orsha,served_by,true
211030,by:district:orsha,served_by,true
211031,by:district:orsha,served_by,true
211032,by:district:orsha,served_by,true
211033,by:district:orsha,served_by,true
211034,by:district:orsha,served_by,true
211035,by:district:orsha,served_by,true
211036,by:district:orsha,served_by,true
211037,by:district:orsha,served_by,true
211038,by:district:orsha,served_by,true
211039,by:district:orsha,served_by,true
211040,by:district:dubrowna,served_by,true
211041,by:district:dubrowna,served_by,true
211044,by:district:dubrowna,served_by,true
211045,by:district:dubrowna,served_by,true
211046,by:district:dubrowna,served_by,true
211047,by:district:dubrowna,served_by,true
211048,by:district:dubrowna,served_by,true
211052,by:district:dubrowna,served_by,true
211054,by:district:dubrowna,served_by,true
211055,by:district:dubrowna,served_by,true
211057,by:district:dubrowna,served_by,true
211058,by:district:dubrowna,served_by,true
211059,by:district:dubrowna,served_by,true
211060,by:district:talachyn,served_by,true
211061,by:district:talachyn,served_by,true
211062,by:district:talachyn,served_by,true
211063,by:district:talachyn,served_by,true
211064,by:district:talachyn,served_by,true
211065,by:district:talachyn,served_by,true
211066,by:district:talachyn,served_by,true
211067,by:district:talachyn,served_by,true
211068,by:district:talachyn,served_by,true
211069,by:district:talachyn,served_by,true
211070,by:district:talachyn,served_by,true
211071,by:district:talachyn,served_by,true
211072,by:district:talachyn,served_by,true
211074,by:district:talachyn,served_by,true
211075,by:district:talachyn,served_by,true
211076,by:district:talachyn,served_by,true
211077,by:district:talachyn,served_by,true
211078,by:district:talachyn,served_by,true
211079,by:district:talachyn,served_by,true
211080,by:district:talachyn,served_by,true
211081,by:district:talachyn,served_by,true
211082,by:district:talachyn,served_by,true
211084,by:district:talachyn,served_by,true
211085,by:district:talachyn,served_by,true
211086,by:district:talachyn,served_by,true
211087,by:district:talachyn,served_by,true
211088,by:district:talachyn,served_by,true
211089,by:district:talachyn,served_by,true
211090,by:district:talachyn,served_by,true
211095,by:district:lyepyel,served_by,true
211096,by:district:lyepyel,served_by,true
211097,by:district:lyepyel,served_by,true
211098,by:district:lyepyel,served_by,true
211102,by:district:syanno,served_by,true
211105,by:district:syanno,served_by,true
211110,by:district:syanno,served_by,true
211111,by:district:syanno,served_by,true
211120,by:district:syanno,served_by,true
