country_code,code
BY,210000
BY,211000
BY,211001
BY,211002
BY,211003
BY,211004
BY,211005
BY,211006
BY,211007
BY,211008
BY,211011
BY,211012
BY,211013
BY,211014
BY,211015
BY,211016
BY,211017
BY,211018
BY,211019
BY,211020
BY,211021
BY,211022
BY,211023
BY,211024
BY,211026
BY,211029
BY,211030
BY,211031
BY,211032
BY,211033
BY,211034
BY,211035
BY,211036
BY,211037
BY,211038
BY,211039
BY,211040
BY,211041
BY,211044
BY,211045
BY,211046
BY,211047
BY,211048
BY,211052
BY,211054
BY,211055
BY,211057
BY,211058
BY,211059
BY,211060
BY,211061
BY,211062
BY,211063
BY,211064
BY,211065
BY,211066
BY,211067
BY,211068
BY,211069
BY,211070
BY,211071
BY,211072
BY,211074
BY,211075
BY,211076
BY,211077
BY,211078
BY,211079
BY,211080
BY,211081
BY,211082
BY,211084
BY,211085
BY,211086
BY,211087
BY,211088
BY,211089
BY,211090
BY,211095
BY,211096
BY,211097
BY,211098
BY,211102
BY,211105
BY,211110
BY,211111
BY,211120
BY,211121
BY,211122
BY,211123
BY,211124
BY,211126
BY,211127
BY,211128
BY,211130
BY,211131
BY,211132
BY,211134
BY,211135
BY,211136
BY,211137
BY,211138
BY,211139
BY,211140
BY,211141
BY,211142
BY,211147
BY,211148
BY,211150
BY,211151
BY,211152
BY,211153
BY,211154
BY,211155
BY,211156
BY,211157
BY,211158
BY,211159
BY,211160
BY,211161
BY,211162
BY,211163
BY,211164
BY,211165
BY,211166
BY,211167
BY,211169
BY,211170
BY,211171
BY,211176
BY,211177
BY,211180
BY,211181
BY,211182
BY,211183
BY,211184
BY,211185
BY,211186
BY,211187
BY,211188
BY,211189
BY,211190
BY,211191
BY,211192
BY,211194
BY,211195
BY,211196
BY,211197
BY,211198
BY,211200
BY,211201
BY,211202
BY,211203
BY,211204
BY,211206
BY,211208
BY,211210
BY,211211
BY,211212
BY,211213
BY,211214
BY,211215
BY,211216
BY,211217
BY,211218
BY,211219
BY,211222
BY,211223
BY,211224
BY,211225
BY,211226
BY,211227
BY,211228
BY,211230
BY,211232
BY,211233
BY,211240
BY,211250
BY,211255
BY,211258
BY,211260
BY,211261
BY,211262
BY,211263
BY,211264
BY,211265
BY,211266
BY,211267
BY,211268
BY,211269
BY,211270
BY,211271
BY,211272
BY,211275
BY,211276
BY,211277
BY,211278
BY,211279
BY,211280
BY,211282
BY,211284
BY,211285
BY,211286
BY,211290
BY,211292
BY,211293
BY,211294
BY,211300
BY,211301
BY,211302
BY,211303
BY,211304
BY,211306
BY,211307
BY,211308
BY,211309
BY,211310
BY,211311
BY,211312
BY,211313
BY,211314
BY,211315
BY,211317
BY,211318
BY,211319
BY,211320
BY,211321
BY,211322
BY,211323
BY,211324
BY,211325
BY,211326
BY,211328
BY,211329
BY,211330
BY,211331
BY,211332
BY,211333
BY,211335
BY,211336
BY,211337
BY,211338
BY,211339
BY,211341
BY,211342
BY,211343
BY,211345
BY,211346
BY,211347
BY,211348
BY,211349
BY,211350
BY,211351
BY,211353
BY,211354
BY,211356
BY,211357
BY,211358
BY,211359
BY,211360
BY,211362
BY,211363
BY,211364
BY,211368
BY,211370
BY,211371
BY,211372
BY,211373
BY,211375
BY,211376
BY,211377
BY,211378
BY,211379
BY,211400
BY,211417
BY,211418
BY,211419
BY,211420
BY,211421
BY,211423
BY,211424
BY,211426
BY,211428
BY,211429
BY,211430
BY,211431
BY,211432
BY,211433
BY,211434
BY,211435
BY,211436
BY,211437
BY,211438
BY,211439
BY,211440
BY,211450
BY,211451
BY,211453
BY,211454
BY,211460
BY,211461
BY,211462
BY,211463
BY,211464
BY,211465
BY,211467
BY,211469
BY,211470
BY,211472
BY,211474
BY,211475
BY,211476
BY,211478
BY,211480
BY,211481
BY,211482
BY,211483
BY,211484
BY,211485
BY,211486
BY,211487
BY,211488
BY,211489
BY,211490
BY,211491
BY,211492
BY,211493
BY,211495
BY,211496
BY,211497
BY,211499
BY,211502
BY,211510
BY,211511
BY,211512
BY,211513
BY,211514
BY,211515
BY,211516
BY,211523
BY,211525
BY,211540
BY,211541
BY,211542
BY,211543
BY,211547
BY,211549
BY,211550
BY,211551
BY,211552
BY,211553
BY,211554
BY,211555
BY,211556
BY,211558
BY,211559
BY,211563
BY,211565
BY,211567
BY,211569
BY,211570
BY,211571
BY,211572
BY,211580
BY,211581
BY,211582
BY,211583
BY,211584
BY,211585
BY,211588
BY,211590
BY,211591
BY,211592
BY,211593
BY,211594
BY,211600
BY,211601
BY,211602
BY,211603
BY,211604
BY,211605
BY,211607
BY,211610
BY,211612
BY,211613
BY,211620
BY,211622
BY,211623
BY,211624
BY,211625
BY,211626
BY,211627
BY,211628
BY,211632
BY,211640
BY,211641
BY,211650
BY,211651
BY,211652
BY,211653
BY,211654
BY,211655
BY,211656
BY,211657
BY,211658
BY,211660
BY,211661
BY,211710
BY,211711
BY,211712
BY,211713
BY,211714
BY,211715
BY,211716
BY,211719
BY,211720
BY,211721
BY,211724
BY,211725
BY,211726
BY,211727
BY,211728
BY,211729
BY,211730
BY,211731
BY,211732
BY,211734
BY,211735
BY,211736
BY,211737
BY,211738
BY,211739
BY,211741
BY,211796
BY,211797
BY,211798
BY,211799
BY,211800
BY,211801
BY,211802
BY,211803
BY,211804
BY,211805
BY,211806
BY,211807
BY,211808
BY,211809
BY,211810
BY,211811
BY,211812
BY,211813
BY,211814
BY,211815
BY,211816
BY,211817
BY,211818
BY,211819
BY,211820
BY,211821
BY,211822
BY,211823
BY,211824
BY,211825
BY,211826
BY,211827
BY,211828
BY,211829
BY,211830
BY,211831
BY,211832
BY,211833
BY,211835
BY,211836
BY,211837
BY,211840
BY,211841
BY,211842
BY,211844
BY,211845
BY,211851
BY,211852
BY,211853
BY,211854
BY,211855
BY,211856
BY,211858
BY,211860
BY,211861
BY,211862
BY,211863
BY,211865
BY,211866
BY,211868
BY,211869
BY,211870
BY,211872
BY,211900
BY,211901
BY,211902
BY,211909
BY,211910
