source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
be:province:antwerp,BE,province,Antwerp,,VAN,,1,,
be:region:brussels-capital,BE,region,Brussels-Capital,,BRU,,1,,
be:province:east-flanders,BE,province,East Flanders,,VOV,,1,,
be:region:flanders,BE,region,Flanders,,VLG,,1,,
be:province:flemish-brabant,BE,province,Flemish Brabant,,VBR,,1,,
be:province:hainaut,BE,province,Hainaut,,WHT,,1,,
be:province:liege,BE,province,Liège,,WLG,,1,,
be:province:limburg,BE,province,Limburg,,VLI,,1,,
be:province:luxembourg,BE,province,Luxembourg,,WLX,,1,,
be:province:namur,BE,province,Namur,,WNA,,1,,
be:region:wallonia,BE,region,Wallonia,,WAL,,1,,
be:province:walloon-brabant,BE,province,Walloon Brabant,,WBR,,1,,
be:province:west-flanders,BE,province,West Flanders,,VWV,,1,,
