source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bj:department:alibori,BJ,department,Alibori,,AL,,1,,
bj:department:atakora,BJ,department,Atakora,,AK,,1,,
bj:department:atlantique,BJ,department,Atlantique,,AQ,,1,,
bj:department:borgou,BJ,department,Borgou,,BO,,1,,
bj:department:collines,BJ,department,Collines,,CO,,1,,
bj:department:donga,BJ,department,Donga,,DO,,1,,
bj:department:kouffo,BJ,department,Kouffo,,KO,,1,,
bj:department:littoral,BJ,department,Littoral,,LI,,1,,
bj:department:mono,BJ,department,Mono,,MO,,1,,
bj:department:oueme,BJ,department,Ouémé,,OU,,1,,
bj:department:plateau,BJ,department,Plateau,,PL,,1,,
bj:department:zou,BJ,department,Zou,,ZO,,1,,
bj:commune:banikoara,BJ,commune,Banikoara,,,bj:department:alibori,2,,
bj:commune:gogounou,BJ,commune,Gogounou,,,bj:department:alibori,2,,
bj:commune:kandi,BJ,commune,Kandi,,,bj:department:alibori,2,,
bj:commune:karimama,BJ,commune,Karimama,,,bj:department:alibori,2,,
bj:commune:malanville,BJ,commune,Malanville,,,bj:department:alibori,2,,
bj:commune:segbana,BJ,commune,Segbana,,,bj:department:alibori,2,,
bj:commune:boukoumbe,BJ,commune,Boukoumbé,,,bj:department:atakora,2,,
bj:commune:cobly,BJ,commune,Cobly,,,bj:department:atakora,2,,
bj:commune:kerou,BJ,commune,Kérou,,,bj:department:atakora,2,,
bj:commune:kouande,BJ,commune,Kouandé,,,bj:department:atakora,2,,
bj:commune:materi,BJ,commune,Matéri,,,bj:department:atakora,2,,
bj:commune:natitingou,BJ,commune,Natitingou,,,bj:department:atakora,2,,
bj:commune:pehonko,BJ,commune,Pehonko,,,bj:department:atakora,2,,
bj:commune:tanguieta,BJ,commune,Tanguiéta,,,bj:department:atakora,2,,
bj:commune:toucountouna,BJ,commune,Toucountouna,,,bj:department:atakora,2,,
bj:commune:abomey-calavi,BJ,commune,Abomey-Calavi,,,bj:department:atlantique,2,,
bj:commune:allada,BJ,commune,Allada,,,bj:department:atlantique,2,,
bj:commune:kpomasse,BJ,commune,Kpomassè,,,bj:department:atlantique,2,,
bj:commune:ouidah,BJ,commune,Ouidah,,,bj:department:atlantique,2,,
bj:commune:so-ava,BJ,commune,Sô-Ava,,,bj:department:atlantique,2,,
bj:commune:toffo,BJ,commune,Toffo,,,bj:department:atlantique,2,,
bj:commune:tori-bossito,BJ,commune,Tori-Bossito,,,bj:department:atlantique,2,,
bj:commune:ze,BJ,commune,Zè,,,bj:department:atlantique,2,,
bj:commune:bembereke,BJ,commune,Bembèrèkè,,,bj:department:borgou,2,,
bj:commune:kalale,BJ,commune,Kalalé,,,bj:department:borgou,2,,
bj:commune:n-dali,BJ,commune,N'Dali,,,bj:department:borgou,2,,
bj:commune:nikki,BJ,commune,Nikki,,,bj:department:borgou,2,,
bj:commune:parakou,BJ,commune,Parakou,,,bj:department:borgou,2,,
bj:commune:perere,BJ,commune,Pèrèrè,,,bj:department:borgou,2,,
bj:commune:sinende,BJ,commune,Sinendé,,,bj:department:borgou,2,,
bj:commune:tchaourou,BJ,commune,Tchaourou,,,bj:department:borgou,2,,
bj:commune:bante,BJ,commune,Bantè,,,bj:department:collines,2,,
bj:commune:dassa-zoume,BJ,commune,Dassa-Zoumè,,,bj:department:collines,2,,
bj:commune:glazoue,BJ,commune,Glazoué,,,bj:department:collines,2,,
bj:commune:ouesse,BJ,commune,Ouèssè,,,bj:department:collines,2,,
bj:commune:savalou,BJ,commune,Savalou,,,bj:department:collines,2,,
bj:commune:save,BJ,commune,Savé,,,bj:department:collines,2,,
bj:commune:bassila,BJ,commune,Bassila,,,bj:department:donga,2,,
bj:commune:copargo,BJ,commune,Copargo,,,bj:department:donga,2,,
bj:commune:djougou,BJ,commune,Djougou,,,bj:department:donga,2,,
bj:commune:ouake,BJ,commune,Ouaké,,,bj:department:donga,2,,
bj:commune:aplahoue,BJ,commune,Aplahoué,,,bj:department:kouffo,2,,
bj:commune:djakotomey,BJ,commune,Djakotomey,,,bj:department:kouffo,2,,
bj:commune:klouekanme,BJ,commune,Klouékanmè,,,bj:department:kouffo,2,,
bj:commune:lalo,BJ,commune,Lalo,,,bj:department:kouffo,2,,
bj:commune:toviklin,BJ,commune,Toviklin,,,bj:department:kouffo,2,,
bj:commune:dogbo-tota,BJ,commune,Dogbo-Tota,,,bj:department:kouffo,2,,
bj:commune:cotonou,BJ,commune,Cotonou,,,bj:department:littoral,2,,
bj:commune:athieme,BJ,commune,Athiémé,,,bj:department:mono,2,,
bj:commune:bopa,BJ,commune,Bopa,,,bj:department:mono,2,,
bj:commune:come,BJ,commune,Comé,,,bj:department:mono,2,,
bj:commune:grand-popo,BJ,commune,Grand-Popo,,,bj:department:mono,2,,
bj:commune:houeyogbe,BJ,commune,Houéyogbé,,,bj:department:mono,2,,
bj:commune:lokossa,BJ,commune,Lokossa,,,bj:department:mono,2,,
bj:commune:adjarra,BJ,commune,Adjarra,,,bj:department:oueme,2,,
bj:commune:adjohoun,BJ,commune,Adjohoun,,,bj:department:oueme,2,,
bj:commune:aguegues,BJ,commune,Aguégués,,,bj:department:oueme,2,,
bj:commune:akpro-misserete,BJ,commune,Akpro-Missérété,,,bj:department:oueme,2,,
bj:commune:avrankou,BJ,commune,Avrankou,,,bj:department:oueme,2,,
bj:commune:bonou,BJ,commune,Bonou,,,bj:department:oueme,2,,
