source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bt:district:bumthang,BT,district,Bumthang,,33,,1,,
bt:district:chukha,BT,district,Chukha,,12,,1,,
bt:district:dagana,BT,district,Dagana,,22,,1,,
bt:district:gasa,BT,district,Gasa,,GA,,1,,
bt:district:haa,BT,district,Haa,,13,,1,,
bt:district:lhuntse,BT,district,Lhuntse,,44,,1,,
bt:district:mongar,BT,district,Mongar,,42,,1,,
bt:district:paro,BT,district,Paro,,11,,1,,
bt:district:pemagatshel,BT,district,Pemagatshel,,43,,1,,
bt:district:punakha,BT,district,Punakha,,23,,1,,
bt:district:samdrup-jongkhar,BT,district,Samdrup Jongkhar,,45,,1,,
bt:district:samtse,BT,district,Samtse,,14,,1,,
bt:district:sarpang,BT,district,Sarpang,,31,,1,,
bt:district:thimphu,BT,district,Thimphu,,15,,1,,
bt:district:trashi-yangtse,BT,district,Trashi Yangtse,,TY,,1,,
bt:district:trashigang,BT,district,Trashigang,,41,,1,,
bt:district:trongsa,BT,district,Trongsa,,32,,1,,
bt:district:tsirang,BT,district,Tsirang,,21,,1,,
bt:district:wangdue-phodrang,BT,district,Wangdue Phodrang,,24,,1,,
bt:district:zhemgang,BT,district,Zhemgang,,34,,1,,
bt:gewog:chhoekhor,BT,gewog,Chhoekhor,,,bt:district:bumthang,2,,
bt:gewog:chhume,BT,gewog,Chhume,,,bt:district:bumthang,2,,
bt:gewog:tang,BT,gewog,Tang,,,bt:district:bumthang,2,,
bt:gewog:ura,BT,gewog,Ura,,,bt:district:bumthang,2,,
bt:gewog:bjachho,BT,gewog,Bjachho,,,bt:district:chukha,2,,
bt:gewog:bongo,BT,gewog,Bongo,,,bt:district:chukha,2,,
bt:gewog:chapcha,BT,gewog,Chapcha,,,bt:district:chukha,2,,
bt:gewog:darla,BT,gewog,Darla,,,bt:district:chukha,2,,
bt:gewog:dungna,BT,gewog,Dungna,,,bt:district:chukha,2,,
bt:gewog:geling,BT,gewog,Geling,,,bt:district:chukha,2,,
bt:gewog:getana,BT,gewog,Getana,,,bt:district:chukha,2,,
bt:gewog:lokchina,BT,gewog,Lokchina,,,bt:district:chukha,2,,
bt:gewog:metakha,BT,gewog,Metakha,,,bt:district:chukha,2,,
bt:gewog:phuentsholing,BT,gewog,Phuentsholing,,,bt:district:chukha,2,,
bt:gewog:sampheling,BT,gewog,Sampheling,,,bt:district:chukha,2,,
bt:gewog:dorona,BT,gewog,Dorona,,,bt:district:dagana,2,,
bt:gewog:drujegang,BT,gewog,Drujegang,,,bt:district:dagana,2,,
bt:gewog:gesarling,BT,gewog,Gesarling,,,bt:district:dagana,2,,
bt:gewog:goshi,BT,gewog,Goshi,,,bt:district:dagana,2,,
bt:gewog:kana,BT,gewog,Kana,,,bt:district:dagana,2,,
bt:gewog:karmaling,BT,gewog,Karmaling,,,bt:district:dagana,2,,
bt:gewog:khebisa,BT,gewog,Khebisa,,,bt:district:dagana,2,,
bt:gewog:lajab,BT,gewog,Lajab,,,bt:district:dagana,2,,
bt:gewog:lhamoi-zingkha,BT,gewog,Lhamoi Zingkha,,,bt:district:dagana,2,,
bt:gewog:nichula,BT,gewog,Nichula,,,bt:district:dagana,2,,
bt:gewog:trashiding,BT,gewog,Trashiding,,,bt:district:dagana,2,,
bt:gewog:tsangkha,BT,gewog,Tsangkha,,,bt:district:dagana,2,,
bt:gewog:tsendagang,BT,gewog,Tsendagang,,,bt:district:dagana,2,,
bt:gewog:tseza,BT,gewog,Tseza,,,bt:district:dagana,2,,
bt:gewog:khamaed,BT,gewog,Khamaed,,,bt:district:gasa,2,,
bt:gewog:khatoe,BT,gewog,Khatoe,,,bt:district:gasa,2,,
bt:gewog:laya,BT,gewog,Laya,,,bt:district:gasa,2,,
bt:gewog:lunana,BT,gewog,Lunana,,,bt:district:gasa,2,,
bt:gewog:bji,BT,gewog,Bji,,,bt:district:haa,2,,
bt:gewog:gakiling,BT,gewog,Gakiling,,,bt:district:haa,2,,
bt:gewog:katsho,BT,gewog,Katsho,,,bt:district:haa,2,,
bt:gewog:samar,BT,gewog,Samar,,,bt:district:haa,2,,
bt:gewog:sangbay,BT,gewog,Sangbay,,,bt:district:haa,2,,
bt:gewog:uesu,BT,gewog,Uesu,,,bt:district:haa,2,,
bt:gewog:gangzur,BT,gewog,Gangzur,,,bt:district:lhuntse,2,,
bt:gewog:khoma,BT,gewog,Khoma,,,bt:district:lhuntse,2,,
bt:gewog:jarey,BT,gewog,Jarey,,,bt:district:lhuntse,2,,
bt:gewog:kurtoed,BT,gewog,Kurtoed,,,bt:district:lhuntse,2,,
bt:gewog:menbi,BT,gewog,Menbi,,,bt:district:lhuntse,2,,
bt:gewog:metsho,BT,gewog,Metsho,,,bt:district:lhuntse,2,,
bt:gewog:minjay,BT,gewog,Minjay,,,bt:district:lhuntse,2,,
bt:gewog:tsenkhar,BT,gewog,Tsenkhar,,,bt:district:lhuntse,2,,
bt:gewog:balam,BT,gewog,Balam,,,bt:district:mongar,2,,
bt:gewog:chali,BT,gewog,Chali,,,bt:district:mongar,2,,
bt:gewog:chaskhar,BT,gewog,Chaskhar,,,bt:district:mongar,2,,
bt:gewog:drametse,BT,gewog,Drametse,,,bt:district:mongar,2,,
bt:gewog:drepong,BT,gewog,Drepong,,,bt:district:mongar,2,,
bt:gewog:gongdue,BT,gewog,Gongdue,,,bt:district:mongar,2,,
bt:gewog:jurmey,BT,gewog,Jurmey,,,bt:district:mongar,2,,
bt:gewog:kengkhar,BT,gewog,Kengkhar,,,bt:district:mongar,2,,
bt:gewog:mongar,BT,gewog,Mongar,,,bt:district:mongar,2,,
bt:gewog:narang,BT,gewog,Narang,,,bt:district:mongar,2,,
bt:gewog:ngatshang,BT,gewog,Ngatshang,,,bt:district:mongar,2,,
bt:gewog:saling,BT,gewog,Saling,,,bt:district:mongar,2,,
bt:gewog:shermuhoong,BT,gewog,Shermuhoong,,,bt:district:mongar,2,,
bt:gewog:silambi,BT,gewog,Silambi,,,bt:district:mongar,2,,
bt:gewog:thangrong,BT,gewog,Thangrong,,,bt:district:mongar,2,,
bt:gewog:tsakaling,BT,gewog,Tsakaling,,,bt:district:mongar,2,,
bt:gewog:tsamang,BT,gewog,Tsamang,,,bt:district:mongar,2,,
bt:gewog:dokar,BT,gewog,Dokar,,,bt:district:paro,2,,
bt:gewog:dopshari,BT,gewog,Dopshari,,,bt:district:paro,2,,
bt:gewog:doteng,BT,gewog,Doteng,,,bt:district:paro,2,,
bt:gewog:hungrel,BT,gewog,Hungrel,,,bt:district:paro,2,,
bt:gewog:lamgong,BT,gewog,Lamgong,,,bt:district:paro,2,,
bt:gewog:lungnyi,BT,gewog,Lungnyi,,,bt:district:paro,2,,
bt:gewog:naja,BT,gewog,Naja,,,bt:district:paro,2,,
bt:gewog:shapa,BT,gewog,Shapa,,,bt:district:paro,2,,
bt:gewog:tsento,BT,gewog,Tsento,,,bt:district:paro,2,,
bt:gewog:wangchang,BT,gewog,Wangchang,,,bt:district:paro,2,,
bt:gewog:chimoong,BT,gewog,Chimoong,,,bt:district:pemagatshel,2,,
bt:gewog:chokhorling,BT,gewog,Chokhorling,,,bt:district:pemagatshel,2,,
bt:gewog:chongshing,BT,gewog,Chongshing,,,bt:district:pemagatshel,2,,
bt:gewog:dechheling,BT,gewog,Dechheling,,,bt:district:pemagatshel,2,,
bt:gewog:dungmaed,BT,gewog,Dungmaed,,,bt:district:pemagatshel,2,,
bt:gewog:khar,BT,gewog,Khar,,,bt:district:pemagatshel,2,,
bt:gewog:nanong,BT,gewog,Nanong,,,bt:district:pemagatshel,2,,
bt:gewog:norbugang,BT,gewog,Norbugang,,,bt:district:pemagatshel,2,,
bt:gewog:shumar,BT,gewog,Shumar,,,bt:district:pemagatshel,2,,
bt:gewog:yurung,BT,gewog,Yurung,,,bt:district:pemagatshel,2,,
bt:gewog:zobel,BT,gewog,Zobel,,,bt:district:pemagatshel,2,,
bt:gewog:barp,BT,gewog,Barp,,,bt:district:punakha,2,,
bt:gewog:chhubug,BT,gewog,Chhubug,,,bt:district:punakha,2,,
bt:gewog:dzomi,BT,gewog,Dzomi,,,bt:district:punakha,2,,
bt:gewog:goenshari,BT,gewog,Goenshari,,,bt:district:punakha,2,,
bt:gewog:guma,BT,gewog,Guma,,,bt:district:punakha,2,,
bt:gewog:kabisa,BT,gewog,Kabisa,,,bt:district:punakha,2,,
bt:gewog:lingmukha,BT,gewog,Lingmukha,,,bt:district:punakha,2,,
bt:gewog:shenga-bjemi,BT,gewog,Shenga Bjemi,,,bt:district:punakha,2,,
bt:gewog:talog,BT,gewog,Talog,,,bt:district:punakha,2,,
bt:gewog:toepisa,BT,gewog,Toepisa,,,bt:district:punakha,2,,
bt:gewog:toewang,BT,gewog,Toewang,,,bt:district:punakha,2,,
bt:gewog:dewathang,BT,gewog,Dewathang,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:gomdar,BT,gewog,Gomdar,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:langchenphu,BT,gewog,Langchenphu,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:lauri,BT,gewog,Lauri,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:martshala,BT,gewog,Martshala,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:orong,BT,gewog,Orong,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:pemathang,BT,gewog,Pemathang,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:phuntshothang,BT,gewog,Phuntshothang,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:samrang,BT,gewog,Samrang,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:serthi,BT,gewog,Serthi,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:wangphu,BT,gewog,Wangphu,,,bt:district:samdrup-jongkhar,2,,
bt:gewog:dungtoe,BT,gewog,Dungtoe,,,bt:district:samtse,2,,
bt:gewog:dophoogchen,BT,gewog,Dophoogchen,,,bt:district:samtse,2,,
bt:gewog:duenchukha,BT,gewog,Duenchukha,,,bt:district:samtse,2,,
bt:gewog:namgaychhoeling,BT,gewog,Namgaychhoeling,,,bt:district:samtse,2,,
bt:gewog:samtse:norbugang,BT,gewog,Norbugang,,,bt:district:samtse,2,,
bt:gewog:norgaygang,BT,gewog,Norgaygang,,,bt:district:samtse,2,,
bt:gewog:pemaling,BT,gewog,Pemaling,,,bt:district:samtse,2,,
bt:gewog:phuentshogpelri,BT,gewog,Phuentshogpelri,,,bt:district:samtse,2,,
bt:gewog:samtse,BT,gewog,Samtse,,,bt:district:samtse,2,,
bt:gewog:sangngagchhoeling,BT,gewog,Sangngagchhoeling,,,bt:district:samtse,2,,
bt:gewog:tading,BT,gewog,Tading,,,bt:district:samtse,2,,
bt:gewog:tashicholing,BT,gewog,Tashicholing,,,bt:district:samtse,2,,
bt:gewog:tendruk,BT,gewog,Tendruk,,,bt:district:samtse,2,,
bt:gewog:ugentse,BT,gewog,Ugentse,,,bt:district:samtse,2,,
bt:gewog:yoeseltse,BT,gewog,Yoeseltse,,,bt:district:samtse,2,,
bt:gewog:chhuzagang,BT,gewog,Chhuzagang,,,bt:district:sarpang,2,,
bt:gewog:chhudzom,BT,gewog,Chhudzom,,,bt:district:sarpang,2,,
bt:gewog:dekiling,BT,gewog,Dekiling,,,bt:district:sarpang,2,,
bt:gewog:sarpang:gakiling,BT,gewog,Gakiling,,,bt:district:sarpang,2,,
bt:gewog:gelephu,BT,gewog,Gelephu,,,bt:district:sarpang,2,,
bt:gewog:jigmechholing,BT,gewog,Jigmechholing,,,bt:district:sarpang,2,,
bt:gewog:samtenling,BT,gewog,Samtenling,,,bt:district:sarpang,2,,
