source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ba:district:brcko,BA,district,Brčko,,BRC,,1,,
ba:entity:federation-of-bosnia-and-herzegovina,BA,entity,Federation of Bosnia and Herzegovina,,BIH,,1,,
ba:entity:republika-srpska,BA,entity,Republika Srpska,,SRP,,1,,
ba:municipality:banovici,BA,municipality,Banovići,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:bosanska-krupa,BA,municipality,Bosanska Krupa,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:bihac,BA,municipality,Bihać,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:bosanski-petrovac,BA,municipality,Bosanski Petrovac,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:bosansko-grahovo,BA,municipality,Bosansko Grahovo,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:breza,BA,municipality,Breza,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:bugojno,BA,municipality,Bugojno,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:busovaca,BA,municipality,Busovača,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:buzim,BA,municipality,Bužim,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:capljina,BA,municipality,Čapljina,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:cazin,BA,municipality,Cazin,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:celic,BA,municipality,Čelić,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:centar-sarajevo,BA,municipality,"Centar, Sarajevo",,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:citluk,BA,municipality,Čitluk,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:drvar,BA,municipality,Drvar,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:doboj-east,BA,municipality,Doboj East,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:doboj-south,BA,municipality,Doboj South,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:dobretici,BA,municipality,Dobretići,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:domaljevac-samac,BA,municipality,Domaljevac-Šamac,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:donji-vakuf,BA,municipality,Donji Vakuf,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:foca-ustikolina,BA,municipality,Foča-Ustikolina,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:fojnica,BA,municipality,Fojnica,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:glamoc,BA,municipality,Glamoč,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:gorazde,BA,municipality,Goražde,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:gornji-vakuf-uskoplje,BA,municipality,Gornji Vakuf-Uskoplje,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:gracanica,BA,municipality,Gračanica,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:gradacac,BA,municipality,Gradačac,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:grude,BA,municipality,Grude,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:hadzici,BA,municipality,Hadžići,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:ilidza,BA,municipality,Ilidža,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:ilijas,BA,municipality,Ilijaš,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:jablanica,BA,municipality,Jablanica,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:jajce,BA,municipality,Jajce,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kakanj,BA,municipality,Kakanj,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kalesija,BA,municipality,Kalesija,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kiseljak,BA,municipality,Kiseljak,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kladanj,BA,municipality,Kladanj,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kljuc,BA,municipality,Ključ,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:konjic,BA,municipality,Konjic,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kresevo,BA,municipality,Kreševo,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:kupres,BA,municipality,Kupres,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:livno,BA,municipality,Livno,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:ljubuski,BA,municipality,Ljubuški,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:lukavac,BA,municipality,Lukavac,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:maglaj,BA,municipality,Maglaj,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:mostar,BA,municipality,Mostar,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:neum,BA,municipality,Neum,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:novi-grad-sarajevo,BA,municipality,"Novi Grad, Sarajevo",,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:novo-sarajevo,BA,municipality,Novo Sarajevo,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:novi-travnik,BA,municipality,Novi Travnik,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:odzak,BA,municipality,Odžak,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:olovo,BA,municipality,Olovo,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:orasje,BA,municipality,Orašje,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:pale-praca,BA,municipality,Pale-Prača,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:posusje,BA,municipality,Posušje,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:prozor-rama,BA,municipality,Prozor-Rama,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:ravno,BA,municipality,Ravno,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:sanski-most,BA,municipality,Sanski Most,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:sapna,BA,municipality,Sapna,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:srebrenik,BA,municipality,Srebrenik,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:stari-grad-sarajevo,BA,municipality,"Stari Grad, Sarajevo",,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:stolac,BA,municipality,Stolac,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:teocak,BA,municipality,Teočak,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:tesanj,BA,municipality,Tešanj,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:tomislavgrad,BA,municipality,Tomislavgrad,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:travnik,BA,municipality,Travnik,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:trnovo-fbih,BA,municipality,Trnovo (FBiH),,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
ba:municipality:tuzla,BA,municipality,Tuzla,,,ba:entity:federation-of-bosnia-and-herzegovina,2,,
