postcode,area_source_id,relationship_type,is_primary
70101,ba:municipality:jajce,served_by,true
70202,ba:municipality:jajce,served_by,true
70204,ba:municipality:dobretici,served_by,false
70204,ba:municipality:jajce,served_by,true
70206,ba:municipality:jezero,served_by,true
70210,ba:municipality:dobretici,served_by,true
70220,ba:municipality:donji-vakuf,served_by,true
70223,ba:municipality:donji-vakuf,served_by,true
70224,ba:municipality:donji-vakuf,served_by,true
70225,ba:municipality:donji-vakuf,served_by,true
70230,ba:municipality:bugojno,served_by,true
70233,ba:municipality:bugojno,served_by,true
70234,ba:municipality:bugojno,served_by,true
70235,ba:municipality:bugojno,served_by,true
70237,ba:municipality:bugojno,served_by,true
70240,ba:municipality:gornji-vakuf-uskoplje,served_by,true
70243,ba:municipality:gornji-vakuf-uskoplje,served_by,true
70260,ba:municipality:mrkonjic-grad,served_by,true
70266,ba:municipality:mrkonjic-grad,served_by,true
70267,ba:municipality:mrkonjic-grad,served_by,true
70270,ba:municipality:sipovo,served_by,true
70273,ba:municipality:republika-srpska:kupres,served_by,false
70273,ba:municipality:sipovo,served_by,true
70275,ba:municipality:sipovo,served_by,true
70280,ba:municipality:gornji-vakuf-uskoplje,served_by,true
71000,ba:municipality:centar-sarajevo,served_by,true
71000,ba:municipality:novo-sarajevo,served_by,false
71123,ba:municipality:istocna-ilidza,served_by,true
71144,ba:municipality:istocni-stari-grad,served_by,true
71210,ba:municipality:ilidza,served_by,true
71215,ba:municipality:ilidza,served_by,true
71217,ba:municipality:ilidza,served_by,true
71220,ba:municipality:trnovo-rs,served_by,true
71223,ba:municipality:trnovo-fbih,served_by,true
71230,ba:municipality:kalinovik,served_by,true
71240,ba:municipality:hadzici,served_by,true
71243,ba:municipality:hadzici,served_by,true
71244,ba:municipality:hadzici,served_by,true
71250,ba:municipality:kiseljak,served_by,true
71253,ba:municipality:kiseljak,served_by,true
71254,ba:municipality:kiseljak,served_by,true
71255,ba:municipality:kiseljak,served_by,true
