source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
br:state:acre,BR,state,Acre,,AC,,1,,
br:state:alagoas,BR,state,Alagoas,,AL,,1,,
br:state:amazonas,BR,state,Amazonas,,AM,,1,,
br:state:amapa,BR,state,Amapá,,AP,,1,,
br:state:bahia,BR,state,Bahia,,BA,,1,,
br:state:ceara,BR,state,Ceará,,CE,,1,,
br:federal_district:distrito-federal,BR,federal_district,Distrito Federal,,DF,,1,,
br:state:espirito-santo,BR,state,Espírito Santo,,ES,,1,,
br:state:goias,BR,state,Goiás,,GO,,1,,
br:state:maranhao,BR,state,Maranhão,,MA,,1,,
br:state:minas-gerais,BR,state,Minas Gerais,,MG,,1,,
br:state:mato-grosso-do-sul,BR,state,Mato Grosso do Sul,,MS,,1,,
br:state:mato-grosso,BR,state,Mato Grosso,,MT,,1,,
br:state:para,BR,state,Pará,,PA,,1,,
br:state:paraiba,BR,state,Paraíba,,PB,,1,,
br:state:pernambuco,BR,state,Pernambuco,,PE,,1,,
br:state:piaui,BR,state,Piauí,,PI,,1,,
br:state:parana,BR,state,Paraná,,PR,,1,,
br:state:rio-de-janeiro,BR,state,Rio de Janeiro,,RJ,,1,,
br:state:rio-grande-do-norte,BR,state,Rio Grande do Norte,,RN,,1,,
br:state:rondonia,BR,state,Rondônia,,RO,,1,,
br:state:roraima,BR,state,Roraima,,RR,,1,,
br:state:rio-grande-do-sul,BR,state,Rio Grande do Sul,,RS,,1,,
br:state:santa-catarina,BR,state,Santa Catarina,,SC,,1,,
br:state:sergipe,BR,state,Sergipe,,SE,,1,,
br:state:sao-paulo,BR,state,São Paulo,,SP,,1,,
br:state:tocantins,BR,state,Tocantins,,TO,,1,,
