country_code,code
BR,01000-000
BR,06000-000
BR,06300-000
BR,06400-000
BR,06500-000
BR,06550-000
BR,06600-000
BR,06650-000
BR,06700-000
BR,06730-000
BR,06750-000
BR,06800-000
BR,06850-000
BR,06890-000
BR,06900-000
BR,06950-000
BR,07000-000
BR,07400-000
BR,07500-000
BR,07600-000
BR,07700-000
BR,07750-000
BR,07800-000
BR,07900-000
BR,08500-000
BR,08550-000
BR,08570-000
BR,08600-000
BR,08700-000
BR,08900-000
BR,08940-000
BR,08970-000
BR,09000-000
BR,09300-000
BR,09400-000
BR,09450-000
BR,09500-000
BR,09700-000
BR,09900-000
BR,11000-000
BR,11250-000
BR,11300-000
BR,11400-000
BR,11500-000
BR,11600-000
BR,11630-000
BR,11660-000
BR,11680-000
BR,11700-000
BR,11730-000
BR,11740-000
BR,11750-000
BR,11760-000
BR,11790-000
BR,11800-000
BR,11850-000
BR,11900-000
BR,11910-000
BR,11920-000
BR,11925-000
BR,11930-000
BR,11940-000
BR,11950-000
BR,11955-000
BR,11960-000
BR,11990-000
BR,12000-000
BR,12120-000
BR,12130-000
BR,12140-000
BR,12170-000
BR,12180-000
BR,12200-000
BR,12250-000
BR,12260-000
BR,12270-000
BR,12280-000
BR,12300-000
BR,12350-000
BR,12380-000
BR,12400-000
BR,12450-000
BR,12460-000
BR,12490-000
BR,12500-000
BR,12525-000
BR,12530-000
BR,12570-000
BR,12580-000
BR,12600-000
BR,12615-000
BR,12620-000
BR,12630-000
BR,12690-000
BR,12700-000
BR,12760-000
BR,12800-000
BR,12820-000
BR,12830-000
BR,12850-000
BR,12870-000
BR,12900-000
BR,12930-000
BR,12935-000
BR,12940-000
BR,12955-000
BR,12960-000
BR,12970-000
BR,12980-000
BR,12990-000
BR,12995-000
BR,13000-000
BR,13140-000
BR,13150-000
BR,13160-000
BR,13165-000
BR,13170-000
BR,13183-000
BR,13190-000
BR,13200-000
BR,13220-000
BR,13230-000
BR,13240-000
BR,13250-000
BR,13260-000
BR,13270-000
BR,13280-000
BR,13290-000
BR,13295-000
BR,13300-000
BR,13315-000
BR,13320-000
BR,13330-000
BR,13350-000
BR,13360-000
BR,13370-000
BR,13380-000
BR,13390-000
BR,13400-000
BR,13440-000
BR,13450-000
BR,13460-000
BR,13465-000
BR,13480-000
BR,13490-000
BR,13495-000
BR,13500-000
BR,13510-000
BR,13515-000
BR,13520-000
BR,13525-000
BR,13530-000
BR,13537-000
BR,13540-000
BR,13550-000
BR,13560-000
BR,13580-000
BR,13590-000
BR,13600-000
BR,13610-000
BR,13625-000
BR,13630-000
BR,13650-000
BR,13660-000
BR,13670-000
BR,13690-000
BR,13700-000
BR,13710-000
BR,13715-000
BR,13720-000
BR,13730-000
BR,13760-000
BR,13770-000
BR,13780-000
BR,13790-000
BR,13800-000
BR,13820-000
BR,13825-000
BR,13830-000
BR,13835-000
BR,13840-000
BR,13857-000
BR,13860-000
BR,13870-000
BR,13880-000
BR,13890-000
BR,13900-000
BR,13910-000
BR,13920-000
BR,13930-000
BR,13940-000
BR,13950-000
BR,13960-000
BR,13970-000
BR,13990-000
BR,13995-000
BR,14000-000
BR,14115-000
BR,14120-000
BR,14140-000
BR,14150-000
BR,14160-000
BR,14180-000
BR,14200-000
BR,14210-000
BR,14230-000
BR,14240-000
BR,14250-000
BR,14260-000
BR,14270-000
BR,14300-000
BR,14340-000
BR,14350-000
BR,14390-000
BR,14400-000
BR,14415-000
BR,14420-000
BR,14430-000
BR,14440-000
BR,14445-000
BR,14450-000
BR,14460-000
BR,14470-000
BR,14490-000
BR,14500-000
BR,14530-000
BR,14540-000
BR,14550-000
BR,14570-000
BR,14580-000
BR,14600-000
BR,14610-000
BR,14620-000
BR,14640-000
BR,14660-000
BR,14670-000
BR,14680-000
BR,14700-000
BR,14720-000
BR,14725-000
BR,14730-000
BR,14735-000
BR,14740-000
BR,14745-000
BR,14750-000
BR,14765-000
BR,14770-000
BR,14775-000
BR,14780-000
BR,14790-000
BR,14795-000
BR,14800-000
BR,14813-000
BR,14815-000
BR,14820-000
BR,14825-000
BR,14830-000
BR,14835-000
BR,14840-000
BR,14850-000
BR,14860-000
BR,14870-000
BR,14900-000
BR,14910-000
BR,14920-000
BR,14930-000
BR,14935-000
BR,14940-000
BR,14955-000
BR,14960-000
BR,14980-000
BR,14990-000
BR,15000-000
BR,15105-000
BR,15108-000
BR,15110-000
BR,15115-000
BR,15120-000
BR,15130-000
BR,15140-000
BR,15145-000
BR,15150-000
BR,15155-000
BR,15160-000
BR,15170-000
BR,15180-000
BR,15190-000
BR,15200-000
BR,15210-000
BR,15220-000
BR,15225-000
BR,15230-000
BR,15240-000
BR,15250-000
BR,15260-000
BR,15265-000
BR,15270-000
BR,15275-000
BR,15280-000
BR,15285-000
BR,15290-000
BR,15300-000
BR,15310-000
BR,15313-000
BR,15315-000
BR,15320-000
BR,15330-000
BR,15340-000
BR,15350-000
BR,15355-000
BR,15360-000
BR,15370-000
BR,15380-000
BR,15385-000
BR,15390-000
BR,15400-000
BR,15410-000
BR,15420-000
BR,15425-000
BR,15430-000
BR,15440-000
BR,15450-000
BR,15460-000
BR,15470-000
BR,15480-000
BR,15490-000
BR,15495-000
BR,15500-000
BR,15520-000
BR,15525-000
BR,15530-000
BR,15540-000
BR,15550-000
BR,15560-000
BR,15570-000
BR,15580-000
BR,15600-000
BR,15620-000
BR,15625-000
BR,15630-000
BR,15640-000
BR,15650-000
BR,15670-000
BR,15680-000
BR,15685-000
BR,15690-000
BR,15700-000
BR,15705-000
BR,15710-000
BR,15715-000
BR,15718-000
BR,15720-000
BR,15730-000
BR,15735-000
BR,15740-000
BR,15745-000
BR,15748-000
BR,15750-000
BR,15755-000
BR,15760-000
BR,15763-000
BR,15765-000
BR,15768-000
BR,15770-000
BR,15773-000
BR,15775-000
BR,15780-000
BR,15785-000
BR,15790-000
BR,15800-000
BR,15820-000
BR,15823-000
BR,15825-000
BR,15828-000
BR,15830-000
BR,15840-000
BR,15845-000
BR,15850-000
BR,15860-000
BR,15870-000
BR,15880-000
BR,15885-000
BR,15890-000
BR,15895-000
BR,15900-000
BR,15910-000
BR,15920-000
BR,15930-000
BR,15940-000
BR,15950-000
BR,15960-000
BR,15970-000
BR,15980-000
BR,15990-000
BR,16000-000
BR,16130-000
BR,16200-000
BR,16210-000
BR,16220-000
BR,16230-000
BR,16240-000
BR,16250-000
BR,16260-000
BR,16265-000
BR,16270-000
BR,16290-000
BR,16300-000
BR,16310-000
BR,16340-000
BR,16350-000
BR,16360-000
BR,16370-000
BR,16400-000
BR,16430-000
BR,16440-000
BR,16450-000
BR,16480-000
BR,16500-000
BR,16570-000
BR,16600-000
BR,16640-000
BR,16650-000
BR,16660-000
BR,16670-000
BR,16680-000
BR,16700-000
BR,16750-000
BR,16790-000
BR,16800-000
BR,16850-000
BR,16880-000
BR,16900-000
BR,16920-000
BR,16940-000
BR,16950-000
BR,16980-000
BR,17000-000
BR,17120-000
BR,17150-000
BR,17160-000
BR,17180-000
BR,17190-000
BR,17200-000
BR,17230-000
BR,17240-000
BR,17250-000
BR,17260-000
BR,17270-000
BR,17280-000
BR,17290-000
BR,17300-000
BR,17320-000
BR,17340-000
BR,17350-000
BR,17360-000
BR,17370-000
BR,17380-000
BR,17400-000
BR,17410-000
BR,17420-000
BR,17430-000
BR,17440-000
BR,17450-000
BR,17455-000
BR,17470-000
BR,17475-000
BR,17480-000
BR,17490-000
BR,17500-000
BR,17540-000
BR,17550-000
BR,17560-000
BR,17570-000
BR,17580-000
BR,17590-000
BR,17600-000
BR,17630-000
BR,17650-000
BR,17670-000
BR,17680-000
BR,17690-000
BR,17700-000
BR,17710-000
BR,17720-000
BR,17730-000
BR,17740-000
BR,17760-000
BR,17780-000
BR,17790-000
BR,17800-000
BR,17810-000
BR,17830-000
BR,17860-000
BR,17870-000
BR,17880-000
BR,17890-000
BR,17900-000
BR,17920-000
BR,17930-000
BR,17940-000
BR,17950-000
BR,17960-000
BR,17970-000
BR,17980-000
BR,17990-000
BR,18000-000
BR,18110-000
BR,18120-000
BR,18125-000
BR,18130-000
BR,18147-000
BR,18150-000
BR,18160-000
BR,18170-000
BR,18180-000
BR,18185-000
BR,18190-000
BR,18195-000
BR,18200-000
BR,18220-000
BR,18225-000
BR,18230-000
BR,18240-000
BR,18245-000
BR,18250-000
BR,18255-000
BR,18260-000
BR,18265-000
BR,18270-000
BR,18285-000
BR,18290-000
BR,18300-000
BR,18310-000
BR,18315-000
BR,18320-000
BR,18325-000
BR,18330-000
BR,18360-000
BR,18380-000
BR,18385-000
BR,18400-000
BR,18425-000
BR,18430-000
BR,18435-000
BR,18440-000
BR,18460-000
BR,18470-000
BR,18475-000
BR,18480-000
BR,18490-000
BR,18500-000
BR,18520-000
BR,18530-000
BR,18535-000
BR,18540-000
BR,18550-000
BR,18560-000
BR,18570-000
BR,18580-000
BR,18590-000
BR,18600-000
BR,18620-000
BR,18640-000
BR,18650-000
BR,18660-000
BR,18670-000
BR,18675-000
BR,18680-000
BR,18690-000
BR,18700-000
BR,18710-000
BR,18720-000
BR,18730-000
BR,18740-000
BR,18745-000
BR,18760-000
BR,18770-000
BR,18775-000
BR,18780-000
BR,18790-000
BR,18800-000
BR,18830-000
BR,18840-000
BR,18860-000
BR,18870-000
BR,18890-000
BR,18900-000
BR,18935-000
BR,18940-000
