source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bg:district:blagoevgrad,BG,district,Blagoevgrad,,01,,1,,
bg:district:burgas,BG,district,Burgas,,02,,1,,
bg:district:dobrich,BG,district,Dobrich,,08,,1,,
bg:district:gabrovo,BG,district,Gabrovo,,07,,1,,
bg:district:haskovo,BG,district,Haskovo,,26,,1,,
bg:district:kardzhali,BG,district,Kardzhali,,09,,1,,
bg:district:kyustendil,BG,district,Kyustendil,,10,,1,,
bg:district:lovech,BG,district,Lovech,,11,,1,,
bg:district:montana,BG,district,Montana,,12,,1,,
bg:district:pazardzhik,BG,district,Pazardzhik,,13,,1,,
bg:district:pernik,BG,district,Pernik,,14,,1,,
bg:district:pleven,BG,district,Pleven,,15,,1,,
bg:district:plovdiv,BG,district,Plovdiv,,16,,1,,
bg:district:razgrad,BG,district,Razgrad,,17,,1,,
bg:district:ruse,BG,district,Ruse,,18,,1,,
bg:district:shumen,BG,district,Shumen,,27,,1,,
bg:district:silistra,BG,district,Silistra,,19,,1,,
bg:district:sliven,BG,district,Sliven,,20,,1,,
bg:district:smolyan,BG,district,Smolyan,,21,,1,,
bg:district:sofia,BG,district,Sofia,,23,,1,,
bg:district:sofia-city,BG,district,Sofia City,,22,,1,,
bg:district:stara-zagora,BG,district,Stara Zagora,,24,,1,,
bg:district:targovishte,BG,district,Targovishte,,25,,1,,
bg:district:varna,BG,district,Varna,,03,,1,,
bg:district:veliko-tarnovo,BG,district,Veliko Tarnovo,,04,,1,,
bg:district:vidin,BG,district,Vidin,,05,,1,,
bg:district:vratsa,BG,district,Vratsa,,06,,1,,
bg:district:yambol,BG,district,Yambol,,28,,1,,
