postcode,area_source_id,relationship_type,is_primary
1000,bg:municipality:sofia,served_by,true
1137,bg:municipality:sofia,served_by,true
1151,bg:municipality:sofia,served_by,true
1165,bg:municipality:sofia,served_by,true
1186,bg:municipality:sofia,served_by,true
1191,bg:municipality:sofia,served_by,true
1211,bg:municipality:sofia,served_by,true
1217,bg:municipality:sofia,served_by,true
1221,bg:municipality:sofia,served_by,true
1222,bg:municipality:sofia,served_by,true
1223,bg:municipality:sofia,served_by,true
1247,bg:municipality:sofia,served_by,true
1252,bg:municipality:sofia,served_by,true
1257,bg:municipality:sofia,served_by,true
1261,bg:municipality:sofia,served_by,true
1276,bg:municipality:sofia,served_by,true
1280,bg:municipality:sofia,served_by,true
1289,bg:municipality:sofia,served_by,true
1320,bg:municipality:sofia,served_by,true
1346,bg:municipality:sofia,served_by,true
1362,bg:municipality:sofia,served_by,true
1393,bg:municipality:sofia,served_by,true
1444,bg:municipality:sofia,served_by,true
1475,bg:municipality:sofia,served_by,true
1513,bg:municipality:sofia,served_by,true
1520,bg:municipality:sofia,served_by,true
1532,bg:municipality:sofia,served_by,true
1554,bg:municipality:sofia,served_by,true
1588,bg:municipality:sofia,served_by,true
1641,bg:municipality:sofia,served_by,true
1696,bg:municipality:sofia,served_by,true
1805,bg:municipality:sofia,served_by,true
1806,bg:municipality:sofia,served_by,true
1807,bg:municipality:sofia,served_by,true
1830,bg:municipality:sofia,served_by,true
1855,bg:municipality:sofia,served_by,true
2000,bg:municipality:samokov,served_by,true
2007,bg:municipality:samokov,served_by,true
2008,bg:municipality:samokov,served_by,true
2009,bg:municipality:samokov,served_by,true
2010,bg:municipality:samokov,served_by,true
2011,bg:municipality:samokov,served_by,true
2012,bg:municipality:samokov,served_by,true
2013,bg:municipality:samokov,served_by,true
2014,bg:municipality:samokov,served_by,true
2015,bg:municipality:samokov,served_by,true
2016,bg:municipality:samokov,served_by,true
2017,bg:municipality:samokov,served_by,true
2018,bg:municipality:samokov,served_by,true
2019,bg:municipality:samokov,served_by,true
2020,bg:municipality:samokov,served_by,true
2021,bg:municipality:samokov,served_by,true
2022,bg:municipality:samokov,served_by,true
2023,bg:municipality:samokov,served_by,true
2024,bg:municipality:samokov,served_by,true
2025,bg:municipality:samokov,served_by,true
