source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bf:region:bankui,BF,region,Bankui,,01,,1,,
bf:region:djoro,BF,region,Djôrô,,13,,1,,
bf:region:goulmou,BF,region,Goulmou,,08,,1,,
bf:region:guiriko,BF,region,Guiriko,,09,,1,,
bf:region:kadiogo,BF,region,Kadiogo,,03,,1,,
bf:region:kuilse,BF,region,Kuilsé,,05,,1,,
bf:region:liptako,BF,region,Liptako,,12,,1,,
bf:region:nakambe,BF,region,Nakambé,,04,,1,,
bf:region:nando,BF,region,Nando,,06,,1,,
bf:region:nazinon,BF,region,Nazinon,,07,,1,,
bf:region:oubri,BF,region,Oubri,,11,,1,,
bf:region:sirba,BF,region,Sirba,,14,,1,,
bf:region:soum,BF,region,Soum,,15,,1,,
bf:region:sourou,BF,region,Sourou,,16,,1,,
bf:region:tannounyan,BF,region,Tannounyan,,02,,1,,
bf:region:tapoa,BF,region,Tapoa,,17,,1,,
bf:region:yaadga,BF,region,Yaadga,,10,,1,,
bf:province:bale,BF,province,Balé,,BAL,bf:region:bankui,2,,
bf:province:bam,BF,province,Bam,,BAM,bf:region:kuilse,2,,
bf:province:banwa,BF,province,Banwa,,BAN,bf:region:bankui,2,,
bf:province:bassitenga,BF,province,Bassitenga,,OUB,bf:region:oubri,2,,
bf:province:bazega,BF,province,Bazèga,,BAZ,bf:region:nazinon,2,,
bf:province:bougouriba,BF,province,Bougouriba,,BGR,bf:region:djoro,2,,
bf:province:boulgou,BF,province,Boulgou,,BLG,bf:region:nakambe,2,,
bf:province:boulkiemde,BF,province,Boulkiemde,,BLK,bf:region:nando,2,,
bf:province:comoe,BF,province,Comoé,,COM,bf:region:tannounyan,2,,
bf:province:djelgodji,BF,province,Djelgodji,,SOM,bf:region:soum,2,,
bf:province:dyamongou,BF,province,Dyamongou,,DYA,bf:region:tapoa,2,,
bf:province:ganzourgou,BF,province,Ganzourgou,,GAN,bf:region:oubri,2,,
bf:province:gnagna,BF,province,Gnagna,,GNA,bf:region:sirba,2,,
bf:province:gobnangou,BF,province,Gobnangou,,TAP,bf:region:tapoa,2,,
bf:province:gourma,BF,province,Gourma,,GOU,bf:region:goulmou,2,,
bf:province:houet,BF,province,Houet,,HOU,bf:region:guiriko,2,,
bf:province:ioba,BF,province,Ioba,,IOB,bf:region:djoro,2,,
bf:province:kadiogo,BF,province,Kadiogo,,KAD,bf:region:kadiogo,2,,
bf:province:karo-peli,BF,province,Karo-Peli,,KAR,bf:region:soum,2,,
bf:province:kenedougou,BF,province,Kénédougou,,KEN,bf:region:guiriko,2,,
bf:province:komondjari,BF,province,Komondjari,,KMD,bf:region:sirba,2,,
bf:province:kompienga,BF,province,Kompienga,,KMP,bf:region:goulmou,2,,
bf:province:koosin,BF,province,Koosin,,KOS,bf:region:sourou,2,,
bf:province:koulpelogo,BF,province,Koulpélogo,,KOP,bf:region:nakambe,2,,
bf:province:kouritenga,BF,province,Kouritenga,,KOT,bf:region:nakambe,2,,
bf:province:kourweogo,BF,province,Kourwéogo,,KOW,bf:region:oubri,2,,
bf:province:leraba,BF,province,Léraba,,LER,bf:region:tannounyan,2,,
bf:province:loroum,BF,province,Loroum,,LOR,bf:region:yaadga,2,,
bf:province:mouhoun,BF,province,Mouhoun,,MOU,bf:region:bankui,2,,
bf:province:nahouri,BF,province,Nahouri,,NAO,bf:region:nazinon,2,,
bf:province:namentenga,BF,province,Namentenga,,NAM,bf:region:kuilse,2,,
bf:province:nayala,BF,province,Nayala,,NAY,bf:region:sourou,2,,
bf:province:noumbiel,BF,province,Noumbiel,,NOU,bf:region:djoro,2,,
bf:province:oudalan,BF,province,Oudalan,,OUD,bf:region:liptako,2,,
bf:province:passore,BF,province,Passoré,,PAS,bf:region:yaadga,2,,
bf:province:poni,BF,province,Poni,,PON,bf:region:djoro,2,,
bf:province:sandbondtenga,BF,province,Sandbondtenga,,SMT,bf:region:kuilse,2,,
bf:province:sanguie,BF,province,Sanguié,,SNG,bf:region:nando,2,,
bf:province:seno,BF,province,Séno,,SEN,bf:region:liptako,2,,
bf:province:sissili,BF,province,Sissili,,SIS,bf:region:nando,2,,
bf:province:sourou,BF,province,Sourou,,SOR,bf:region:sourou,2,,
bf:province:tuy,BF,province,Tuy,,TUI,bf:region:guiriko,2,,
bf:province:yagha,BF,province,Yagha,,YAG,bf:region:liptako,2,,
bf:province:yatenga,BF,province,Yatenga,,YAT,bf:region:yaadga,2,,
bf:province:ziro,BF,province,Ziro,,ZIR,bf:region:nando,2,,
bf:province:zondoma,BF,province,Zondoma,,ZON,bf:region:yaadga,2,,
bf:province:zoundweogo,BF,province,Zoundwéogo,,ZOU,bf:region:nazinon,2,,
