source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
bi:province:bubanza,BI,province,Bubanza,,BB,,1,,
bi:province:bujumbura-mairie,BI,province,Bujumbura Mairie,,BM,,1,,
bi:province:bujumbura-rural,BI,province,Bujumbura Rural,,BL,,1,,
bi:province:bururi,BI,province,Bururi,,BR,,1,,
bi:province:cankuzo,BI,province,Cankuzo,,CA,,1,,
bi:province:cibitoke,BI,province,Cibitoke,,CI,,1,,
bi:province:gitega,BI,province,Gitega,,GI,,1,,
bi:province:karuzi,BI,province,Karuzi,,KR,,1,,
bi:province:kayanza,BI,province,Kayanza,,KY,,1,,
bi:province:kirundo,BI,province,Kirundo,,KI,,1,,
bi:province:makamba,BI,province,Makamba,,MA,,1,,
bi:province:muramvya,BI,province,Muramvya,,MU,,1,,
bi:province:muyinga,BI,province,Muyinga,,MY,,1,,
bi:province:mwaro,BI,province,Mwaro,,MW,,1,,
bi:province:ngozi,BI,province,Ngozi,,NG,,1,,
bi:province:rumonge,BI,province,Rumonge,,RM,,1,,
bi:province:rutana,BI,province,Rutana,,RT,,1,,
bi:province:ruyigi,BI,province,Ruyigi,,RY,,1,,
