source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
kh:province:banteay-meanchey,KH,province,Banteay Meanchey,,1,,1,,
kh:province:battambang,KH,province,Battambang,,2,,1,,
kh:province:kampong-cham,KH,province,Kampong Cham,,3,,1,,
kh:province:kampong-chhnang,KH,province,Kampong Chhnang,,4,,1,,
kh:province:kampong-speu,KH,province,Kampong Speu,,5,,1,,
kh:province:kampong-thom,KH,province,Kampong Thom,,6,,1,,
kh:province:kampot,KH,province,Kampot,,7,,1,,
kh:province:kandal,KH,province,Kandal,,8,,1,,
kh:province:koh-kong,KH,province,Koh Kong,,9,,1,,
kh:province:kratie,KH,province,Kratie,,10,,1,,
kh:province:mondulkiri,KH,province,Mondulkiri,,11,,1,,
kh:municipality:phnom-penh,KH,municipality,Phnom Penh,,12,,1,,
kh:province:preah-vihear,KH,province,Preah Vihear,,13,,1,,
kh:province:prey-veng,KH,province,Prey Veng,,14,,1,,
kh:province:pursat,KH,province,Pursat,,15,,1,,
kh:province:ratanakiri,KH,province,Ratanakiri,,16,,1,,
kh:province:siem-reap,KH,province,Siem Reap,,17,,1,,
kh:province:preah-sihanouk,KH,province,Preah Sihanouk,,18,,1,,
kh:province:stung-treng,KH,province,Stung Treng,,19,,1,,
kh:province:svay-rieng,KH,province,Svay Rieng,,20,,1,,
kh:province:takeo,KH,province,Takeo,,21,,1,,
kh:province:oddar-meanchey,KH,province,Oddar Meanchey,,22,,1,,
kh:province:kep,KH,province,Kep,,23,,1,,
kh:province:pailin,KH,province,Pailin,,24,,1,,
kh:province:tboung-khmum,KH,province,Tboung Khmum,,25,,1,,
kh:district:mongkol-borey,KH,district,Mongkol Borey,,0102,kh:province:banteay-meanchey,2,,
kh:district:phnum-srok,KH,district,Phnum Srok,,0103,kh:province:banteay-meanchey,2,,
kh:district:preah-netr-preah,KH,district,Preah Netr Preah,,0104,kh:province:banteay-meanchey,2,,
kh:district:ou-chrov,KH,district,Ou Chrov,,0105,kh:province:banteay-meanchey,2,,
kh:municipality:serei-saophoan,KH,municipality,Serei Saophoan,,0106,kh:province:banteay-meanchey,2,,
kh:district:thma-puok,KH,district,Thma Puok,,0107,kh:province:banteay-meanchey,2,,
kh:district:svay-chek,KH,district,Svay Chek,,0108,kh:province:banteay-meanchey,2,,
kh:district:malai,KH,district,Malai,,0109,kh:province:banteay-meanchey,2,,
kh:municipality:poipet,KH,municipality,Poipet,,0110,kh:province:banteay-meanchey,2,,
kh:district:banan,KH,district,Banan,,0201,kh:province:battambang,2,,
kh:district:thma-koul,KH,district,Thma Koul,,0202,kh:province:battambang,2,,
kh:municipality:battambang,KH,municipality,Battambang,,0203,kh:province:battambang,2,,
kh:district:bavel,KH,district,Bavel,,0204,kh:province:battambang,2,,
kh:district:aek-phnum,KH,district,Aek Phnum,,0205,kh:province:battambang,2,,
kh:district:moung-ruessei,KH,district,Moung Ruessei,,0206,kh:province:battambang,2,,
kh:district:rotonak-mondol,KH,district,Rotonak Mondol,,0207,kh:province:battambang,2,,
kh:district:sangkae,KH,district,Sangkae,,0208,kh:province:battambang,2,,
kh:district:samlout,KH,district,Samlout,,0209,kh:province:battambang,2,,
kh:district:sampov-lun,KH,district,Sampov Lun,,0210,kh:province:battambang,2,,
kh:district:phnum-proek,KH,district,Phnum Proek,,0211,kh:province:battambang,2,,
kh:district:kamrieng,KH,district,Kamrieng,,0212,kh:province:battambang,2,,
kh:district:koas-krala,KH,district,Koas Krala,,0213,kh:province:battambang,2,,
kh:district:rukh-kiri,KH,district,Rukh Kiri,,0214,kh:province:battambang,2,,
kh:district:batheay,KH,district,Batheay,,0301,kh:province:kampong-cham,2,,
kh:district:chamkar-leu,KH,district,Chamkar Leu,,0302,kh:province:kampong-cham,2,,
kh:district:cheung-prey,KH,district,Cheung Prey,,0303,kh:province:kampong-cham,2,,
kh:municipality:kampong-cham,KH,municipality,Kampong Cham,,0305,kh:province:kampong-cham,2,,
kh:district:kampong-siem,KH,district,Kampong Siem,,0306,kh:province:kampong-cham,2,,
kh:district:kang-meas,KH,district,Kang Meas,,0307,kh:province:kampong-cham,2,,
kh:district:kaoh-soutin,KH,district,Kaoh Soutin,,0308,kh:province:kampong-cham,2,,
kh:district:prey-chhor,KH,district,Prey Chhor,,0313,kh:province:kampong-cham,2,,
kh:district:srei-santhor,KH,district,Srei Santhor,,0314,kh:province:kampong-cham,2,,
kh:district:stueng-trang,KH,district,Stueng Trang,,0315,kh:province:kampong-cham,2,,
kh:district:baribour,KH,district,Baribour,,0401,kh:province:kampong-chhnang,2,,
kh:district:chol-kiri,KH,district,Chol Kiri,,0402,kh:province:kampong-chhnang,2,,
kh:municipality:kampong-chhnang,KH,municipality,Kampong Chhnang,,0403,kh:province:kampong-chhnang,2,,
kh:district:kampong-leaeng,KH,district,Kampong Leaeng,,0404,kh:province:kampong-chhnang,2,,
kh:district:kampong-tralach,KH,district,Kampong Tralach,,0405,kh:province:kampong-chhnang,2,,
kh:district:rolea-b-ier,KH,district,Rolea B'ier,,0406,kh:province:kampong-chhnang,2,,
kh:district:sameakki-mean-chey,KH,district,Sameakki Mean Chey,,0407,kh:province:kampong-chhnang,2,,
kh:district:tuek-phos,KH,district,Tuek Phos,,0408,kh:province:kampong-chhnang,2,,
kh:district:basedth,KH,district,Basedth,,0501,kh:province:kampong-speu,2,,
kh:municipality:chbar-mon,KH,municipality,Chbar Mon,,0502,kh:province:kampong-speu,2,,
kh:district:kong-pisei,KH,district,Kong Pisei,,0503,kh:province:kampong-speu,2,,
kh:district:aural,KH,district,Aural,,0504,kh:province:kampong-speu,2,,
kh:district:phnum-sruoch,KH,district,Phnum Sruoch,,0506,kh:province:kampong-speu,2,,
kh:district:samraong-tong,KH,district,Samraong Tong,,0507,kh:province:kampong-speu,2,,
kh:district:thpong,KH,district,Thpong,,0508,kh:province:kampong-speu,2,,
kh:municipality:odongk-maechay,KH,municipality,Odongk Maechay,,0509,kh:province:kampong-speu,2,,
kh:district:samkkei-munichay,KH,district,Samkkei Munichay,,0510,kh:province:kampong-speu,2,,
kh:district:baray,KH,district,Baray,,0601,kh:province:kampong-thom,2,,
kh:district:kampong-svay,KH,district,Kampong Svay,,0602,kh:province:kampong-thom,2,,
kh:municipality:stueng-saen,KH,municipality,Stueng Saen,,0603,kh:province:kampong-thom,2,,
kh:district:prasat-ballangk,KH,district,Prasat Ballangk,,0604,kh:province:kampong-thom,2,,
kh:district:prasat-sambour,KH,district,Prasat Sambour,,0605,kh:province:kampong-thom,2,,
kh:district:sandan,KH,district,Sandan,,0606,kh:province:kampong-thom,2,,
kh:district:santuk,KH,district,Santuk,,0607,kh:province:kampong-thom,2,,
kh:district:stoung,KH,district,Stoung,,0608,kh:province:kampong-thom,2,,
kh:district:taing-kouk,KH,district,Taing Kouk,,0609,kh:province:kampong-thom,2,,
kh:district:angkor-chey,KH,district,Angkor Chey,,0701,kh:province:kampot,2,,
kh:district:banteay-meas,KH,district,Banteay Meas,,0702,kh:province:kampot,2,,
