source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
cm:region:adamawa,CM,region,Adamawa,,AD,,1,,
cm:region:centre,CM,region,Centre,,CE,,1,,
cm:region:far-north,CM,region,Far North,,EN,,1,,
cm:region:east,CM,region,East,,ES,,1,,
cm:region:littoral,CM,region,Littoral,,LT,,1,,
cm:region:north,CM,region,North,,NO,,1,,
cm:region:northwest,CM,region,Northwest,,NW,,1,,
cm:region:west,CM,region,West,,OU,,1,,
cm:region:south,CM,region,South,,SU,,1,,
cm:region:southwest,CM,region,Southwest,,SW,,1,,
cm:department:djerem,CM,department,Djérem,,,cm:region:adamawa,2,,
cm:department:faro-et-deo,CM,department,Faro-et-Déo,,,cm:region:adamawa,2,,
cm:department:mayo-banyo,CM,department,Mayo-Banyo,,,cm:region:adamawa,2,,
cm:department:mbere,CM,department,Mbéré,,,cm:region:adamawa,2,,
cm:department:vina,CM,department,Vina,,,cm:region:adamawa,2,,
cm:department:diamare,CM,department,Diamaré,,,cm:region:far-north,2,,
cm:department:logone-et-chari,CM,department,Logone-et-Chari,,,cm:region:far-north,2,,
cm:department:mayo-danay,CM,department,Mayo-Danay,,,cm:region:far-north,2,,
cm:department:mayo-kani,CM,department,Mayo-Kani,,,cm:region:far-north,2,,
cm:department:mayo-sava,CM,department,Mayo-Sava,,,cm:region:far-north,2,,
cm:department:mayo-tsanaga,CM,department,Mayo-Tsanaga,,,cm:region:far-north,2,,
cm:department:benoue,CM,department,Bénoué,,,cm:region:north,2,,
cm:department:faro,CM,department,Faro,,,cm:region:north,2,,
cm:department:mayo-louti,CM,department,Mayo-Louti,,,cm:region:north,2,,
cm:department:mayo-rey,CM,department,Mayo-Rey,,,cm:region:north,2,,
cm:department:haute-sanaga,CM,department,Haute-Sanaga,,,cm:region:centre,2,,
cm:department:lekie,CM,department,Lekié,,,cm:region:centre,2,,
cm:department:mbam-et-inoubou,CM,department,Mbam-et-Inoubou,,,cm:region:centre,2,,
cm:department:mbam-et-kim,CM,department,Mbam-et-Kim,,,cm:region:centre,2,,
cm:department:mefou-et-afamba,CM,department,Méfou-et-Afamba,,,cm:region:centre,2,,
cm:department:mefou-et-akono,CM,department,Méfou-et-Akono,,,cm:region:centre,2,,
cm:department:mfoundi,CM,department,Mfoundi,,,cm:region:centre,2,,
cm:department:nyong-et-kelle,CM,department,Nyong-et-Kéllé,,,cm:region:centre,2,,
cm:department:nyong-et-mfoumou,CM,department,Nyong-et-Mfoumou,,,cm:region:centre,2,,
cm:department:nyong-et-so-o,CM,department,Nyong-et-So'o,,,cm:region:centre,2,,
cm:department:boumba-et-ngoko,CM,department,Boumba-et-Ngoko,,,cm:region:east,2,,
cm:department:haut-nyong,CM,department,Haut-Nyong,,,cm:region:east,2,,
cm:department:kadey,CM,department,Kadey,,,cm:region:east,2,,
cm:department:lom-et-djerem,CM,department,Lom-et-Djerem,,,cm:region:east,2,,
cm:department:dja-et-lobo,CM,department,Dja-et-Lobo,,,cm:region:south,2,,
cm:department:mvila,CM,department,Mvila,,,cm:region:south,2,,
cm:department:ocean,CM,department,Océan,,,cm:region:south,2,,
cm:department:vallee-du-ntem,CM,department,Vallée-du-Ntem,,,cm:region:south,2,,
cm:department:moungo,CM,department,Moungo,,,cm:region:littoral,2,,
cm:department:nkam,CM,department,Nkam,,,cm:region:littoral,2,,
cm:department:sanaga-maritime,CM,department,Sanaga-Maritime,,,cm:region:littoral,2,,
cm:department:wouri,CM,department,Wouri,,,cm:region:littoral,2,,
cm:department:boyo,CM,department,Boyo,,,cm:region:northwest,2,,
cm:department:bui,CM,department,Bui,,,cm:region:northwest,2,,
cm:department:donga-mantung,CM,department,Donga-Mantung,,,cm:region:northwest,2,,
cm:department:menchum,CM,department,Menchum,,,cm:region:northwest,2,,
cm:department:mezam,CM,department,Mezam,,,cm:region:northwest,2,,
cm:department:momo,CM,department,Momo,,,cm:region:northwest,2,,
cm:department:ngo-ketunjia,CM,department,Ngo-ketunjia,,,cm:region:northwest,2,,
cm:department:fako,CM,department,Fako,,,cm:region:southwest,2,,
cm:department:koupe-manengouba,CM,department,Koupé-Manengouba,,,cm:region:southwest,2,,
cm:department:lebialem,CM,department,Lebialem,,,cm:region:southwest,2,,
cm:department:manyu,CM,department,Manyu,,,cm:region:southwest,2,,
cm:department:meme,CM,department,Meme,,,cm:region:southwest,2,,
cm:department:ndian,CM,department,Ndian,,,cm:region:southwest,2,,
cm:department:bamboutos,CM,department,Bamboutos,,,cm:region:west,2,,
cm:department:haut-nkam,CM,department,Haut-Nkam,,,cm:region:west,2,,
cm:department:hauts-plateaux,CM,department,Hauts-Plateaux,,,cm:region:west,2,,
cm:department:koung-khi,CM,department,Koung-Khi,,,cm:region:west,2,,
cm:department:menoua,CM,department,Menoua,,,cm:region:west,2,,
cm:department:mifi,CM,department,Mifi,,,cm:region:west,2,,
cm:department:nde,CM,department,Ndé,,,cm:region:west,2,,
cm:department:noun,CM,department,Noun,,,cm:region:west,2,,
