source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ca:province:alberta,CA,province,Alberta,,AB,,1,,
ca:province:british-columbia,CA,province,British Columbia,,BC,,1,,
ca:province:manitoba,CA,province,Manitoba,,MB,,1,,
ca:province:new-brunswick,CA,province,New Brunswick,,NB,,1,,
ca:province:newfoundland-and-labrador,CA,province,Newfoundland and Labrador,,NL,,1,,
ca:province:nova-scotia,CA,province,Nova Scotia,,NS,,1,,
ca:territory:northwest-territories,CA,territory,Northwest Territories,,NT,,1,,
ca:territory:nunavut,CA,territory,Nunavut,,NU,,1,,
ca:province:ontario,CA,province,Ontario,,ON,,1,,
ca:province:prince-edward-island,CA,province,Prince Edward Island,,PE,,1,,
ca:province:quebec,CA,province,Quebec,,QC,,1,,
ca:province:saskatchewan,CA,province,Saskatchewan,,SK,,1,,
ca:territory:yukon,CA,territory,Yukon,,YT,,1,,
