country_code,code
CA,A0A
CA,A0B
CA,A0C
CA,A0E
CA,A0G
CA,A0H
CA,A0J
CA,A0K
CA,A0L
CA,A0M
CA,A0N
CA,A0P
CA,A0R
CA,A1A
CA,A1B
CA,A1C
CA,A1E
CA,A1G
CA,A1H
CA,A1K
CA,A1L
CA,A1M
CA,A1N
CA,A1S
CA,A1V
CA,A1W
CA,A1X
CA,A1Y
CA,A2A
CA,A2B
CA,A2H
CA,A2N
CA,A2V
CA,A5A
CA,A8A
CA,B0C
CA,B0E
CA,B0H
CA,B0J
CA,B0K
CA,B0L
CA,B0M
CA,B0N
CA,B0P
CA,B0R
CA,B0S
CA,B0T
CA,B0V
CA,B0W
CA,B1A
CA,B1B
CA,B1C
CA,B1E
CA,B1G
CA,B1H
CA,B1J
CA,B1K
CA,B1L
CA,B1M
CA,B1N
CA,B1P
CA,B1R
CA,B1S
CA,B1T
CA,B1V
CA,B1W
CA,B1X
CA,B1Y
CA,B2A
CA,B2C
CA,B2E
CA,B2G
CA,B2H
CA,B2J
CA,B2N
CA,B2R
CA,B2S
CA,B2T
CA,B2V
CA,B2W
CA,B2X
CA,B2Y
CA,B2Z
CA,B3A
CA,B3B
CA,B3E
CA,B3G
CA,B3H
CA,B3J
CA,B3K
CA,B3L
CA,B3M
CA,B3N
CA,B3P
CA,B3R
CA,B3S
CA,B3T
CA,B3V
CA,B3Z
CA,B4A
CA,B4B
CA,B4C
CA,B4E
CA,B4G
CA,B4H
CA,B4N
CA,B4P
CA,B4R
CA,B4V
CA,B5A
CA,B6L
CA,B9A
CA,C0A
CA,C0B
CA,C1A
CA,C1B
CA,C1C
CA,C1E
CA,C1N
CA,E1A
CA,E1B
CA,E1C
CA,E1E
CA,E1G
CA,E1H
CA,E1J
CA,E1N
CA,E1V
CA,E1W
CA,E1X
CA,E2A
CA,E2E
CA,E2G
CA,E2H
CA,E2J
CA,E2K
CA,E2L
CA,E2M
CA,E2N
CA,E2P
CA,E2R
CA,E2S
CA,E2V
CA,E3A
CA,E3B
CA,E3C
CA,E3E
CA,E3G
CA,E3L
CA,E3N
CA,E3V
CA,E3Y
CA,E3Z
CA,E4A
CA,E4B
CA,E4C
CA,E4E
CA,E4G
CA,E4H
CA,E4J
CA,E4K
CA,E4L
CA,E4M
CA,E4N
CA,E4P
CA,E4R
CA,E4S
CA,E4T
CA,E4V
CA,E4W
CA,E4X
CA,E4Y
CA,E4Z
CA,E5A
CA,E5B
CA,E5C
CA,E5E
CA,E5G
CA,E5H
CA,E5J
CA,E5K
CA,E5L
CA,E5M
CA,E5N
CA,E5P
CA,E5R
CA,E5S
CA,E5T
CA,E5V
CA,E6A
CA,E6B
CA,E6C
CA,E6E
CA,E6G
CA,E6H
CA,E6J
CA,E6K
CA,E6L
CA,E7A
CA,E7B
CA,E7C
CA,E7E
CA,E7G
CA,E7H
CA,E7J
CA,E7K
CA,E7L
CA,E7M
CA,E7N
CA,E7P
CA,E8A
CA,E8B
CA,E8C
CA,E8E
CA,E8G
CA,E8J
CA,E8K
CA,E8L
CA,E8M
CA,E8N
CA,E8P
CA,E8R
CA,E8S
CA,E8T
CA,E9A
CA,E9B
CA,E9C
CA,E9E
CA,E9G
CA,E9H
CA,G0A
CA,G0B
CA,G0C
CA,G0E
CA,G0G
CA,G0H
CA,G0J
CA,G0K
CA,G0L
CA,G0M
CA,G0N
CA,G0P
CA,G0R
CA,G0S
CA,G0T
CA,G0V
CA,G0W
CA,G0X
CA,G0Y
CA,G0Z
CA,G1A
CA,G1B
CA,G1C
CA,G1E
CA,G1G
CA,G1H
CA,G1J
CA,G1K
CA,G1L
CA,G1M
CA,G1N
CA,G1P
CA,G1R
CA,G1S
