source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
cv:geographical_region:barlavento-islands,CV,geographical_region,Barlavento Islands,,B,,1,,
cv:municipality:boa-vista,CV,municipality,Boa Vista,,BV,,1,,
cv:municipality:brava,CV,municipality,Brava,,BR,,1,,
cv:municipality:maio,CV,municipality,Maio,,MA,,1,,
cv:municipality:mosteiros,CV,municipality,Mosteiros,,MO,,1,,
cv:municipality:paul,CV,municipality,Paul,,PA,,1,,
cv:municipality:porto-novo,CV,municipality,Porto Novo,,PN,,1,,
cv:municipality:praia,CV,municipality,Praia,,PR,,1,,
cv:municipality:ribeira-brava,CV,municipality,Ribeira Brava,,RB,,1,,
cv:municipality:ribeira-grande,CV,municipality,Ribeira Grande,,RG,,1,,
cv:municipality:ribeira-grande-de-santiago,CV,municipality,Ribeira Grande de Santiago,,RS,,1,,
cv:municipality:sal,CV,municipality,Sal,,SL,,1,,
cv:municipality:santa-catarina,CV,municipality,Santa Catarina,,CA,,1,,
cv:municipality:santa-catarina-do-fogo,CV,municipality,Santa Catarina do Fogo,,CF,,1,,
cv:municipality:santa-cruz,CV,municipality,Santa Cruz,,CR,,1,,
cv:municipality:sao-domingos,CV,municipality,São Domingos,,SD,,1,,
cv:municipality:sao-filipe,CV,municipality,São Filipe,,SF,,1,,
cv:municipality:sao-lourenco-dos-orgaos,CV,municipality,São Lourenço dos Órgãos,,SO,,1,,
cv:municipality:sao-miguel,CV,municipality,São Miguel,,SM,,1,,
cv:municipality:sao-salvador-do-mundo,CV,municipality,São Salvador do Mundo,,SS,,1,,
cv:municipality:sao-vicente,CV,municipality,São Vicente,,SV,,1,,
cv:geographical_region:sotavento-islands,CV,geographical_region,Sotavento Islands,,S,,1,,
cv:municipality:tarrafal,CV,municipality,Tarrafal,,TA,,1,,
cv:municipality:tarrafal-de-sao-nicolau,CV,municipality,Tarrafal de São Nicolau,,TS,,1,,
cv:parish:santo-amaro-abade,CV,parish,Santo Amaro Abade,,,cv:municipality:tarrafal,2,,
cv:parish:sao-miguel-arcanjo,CV,parish,São Miguel Arcanjo,,,cv:municipality:sao-miguel,2,,
cv:parish:sao-salvador-do-mundo,CV,parish,São Salvador do Mundo,,,cv:municipality:sao-salvador-do-mundo,2,,
cv:parish:santiago-maior,CV,parish,Santiago Maior,,,cv:municipality:santa-cruz,2,,
cv:parish:nossa-senhora-da-luz,CV,parish,Nossa Senhora da Luz,,,cv:municipality:sao-domingos,2,,
cv:parish:sao-nicolau-tolentino,CV,parish,São Nicolau Tolentino,,,cv:municipality:sao-domingos,2,,
cv:parish:nossa-senhora-da-graca,CV,parish,Nossa Senhora da Graça,,,cv:municipality:praia,2,,
cv:parish:santissimo-nome-de-jesus,CV,parish,Santíssimo Nome de Jesus,,,cv:municipality:ribeira-grande-de-santiago,2,,
cv:parish:sao-joao-baptista,CV,parish,São João Baptista,,,cv:municipality:ribeira-grande-de-santiago,2,,
cv:parish:sao-lourenco-dos-orgaos,CV,parish,São Lourenço dos Órgãos,,,cv:municipality:sao-lourenco-dos-orgaos,2,,
cv:parish:santa-catarina,CV,parish,Santa Catarina,,,cv:municipality:santa-catarina,2,,
cv:parish:brava:sao-joao-baptista,CV,parish,São João Baptista,,,cv:municipality:brava,2,,
cv:parish:nossa-senhora-do-monte,CV,parish,Nossa Senhora do Monte,,,cv:municipality:brava,2,,
cv:parish:sao-lourenco,CV,parish,São Lourenço,,,cv:municipality:sao-filipe,2,,
cv:parish:nossa-senhora-da-conceicao,CV,parish,Nossa Senhora da Conceição,,,cv:municipality:sao-filipe,2,,
cv:parish:santa-catarina-do-fogo,CV,parish,Santa Catarina do Fogo,,,cv:municipality:santa-catarina-do-fogo,2,,
cv:parish:nossa-senhora-da-ajuda,CV,parish,Nossa Senhora da Ajuda,,,cv:municipality:mosteiros,2,,
cv:parish:maio:nossa-senhora-da-luz,CV,parish,Nossa Senhora da Luz,,,cv:municipality:maio,2,,
cv:parish:santa-isabel,CV,parish,Santa Isabel,,,cv:municipality:boa-vista,2,,
cv:parish:boa-vista:sao-joao-baptista,CV,parish,São João Baptista,,,cv:municipality:boa-vista,2,,
cv:parish:nossa-senhora-das-dores,CV,parish,Nossa Senhora das Dores,,,cv:municipality:sal,2,,
cv:parish:nossa-senhora-da-lapa,CV,parish,Nossa Senhora da Lapa,,,cv:municipality:ribeira-brava,2,,
cv:parish:nossa-senhora-do-rosario,CV,parish,Nossa Senhora do Rosário,,,cv:municipality:ribeira-brava,2,,
cv:parish:sao-francisco,CV,parish,São Francisco,,,cv:municipality:tarrafal-de-sao-nicolau,2,,
cv:parish:sao-vicente:nossa-senhora-da-luz,CV,parish,Nossa Senhora da Luz,,,cv:municipality:sao-vicente,2,,
cv:parish:porto-novo:sao-joao-baptista,CV,parish,São João Baptista,,,cv:municipality:porto-novo,2,,
cv:parish:santo-andre,CV,parish,Santo André,,,cv:municipality:porto-novo,2,,
cv:parish:ribeira-grande:nossa-senhora-do-rosario,CV,parish,Nossa Senhora do Rosário,,,cv:municipality:ribeira-grande,2,,
cv:parish:nossa-senhora-do-livramento,CV,parish,Nossa Senhora do Livramento,,,cv:municipality:ribeira-grande,2,,
cv:parish:santo-crucifixo,CV,parish,Santo Crucifixo,,,cv:municipality:ribeira-grande,2,,
cv:parish:sao-pedro-apostolo,CV,parish,São Pedro Apóstolo,,,cv:municipality:ribeira-grande,2,,
cv:parish:santo-antonio-das-pombas,CV,parish,Santo António das Pombas,,,cv:municipality:paul,2,,
