source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ky:island:cayman-brac,KY,island,Cayman Brac,,02,,1,,
ky:island:grand-cayman,KY,island,Grand Cayman,,01,,1,,
ky:island:little-cayman,KY,island,Little Cayman,,03,,1,,
ky:district:bodden-town,KY,district,Bodden Town,,,ky:island:grand-cayman,2,,
ky:district:east-end,KY,district,East End,,,ky:island:grand-cayman,2,,
ky:district:george-town,KY,district,George Town,,,ky:island:grand-cayman,2,,
ky:district:north-side,KY,district,North Side,,,ky:island:grand-cayman,2,,
ky:district:west-bay,KY,district,West Bay,,,ky:island:grand-cayman,2,,
ky:district:cayman-brac,KY,district,Cayman Brac,,,ky:island:cayman-brac,2,,
ky:district:little-cayman,KY,district,Little Cayman,,,ky:island:little-cayman,2,,
