source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
td:province:bahr-el-gazel,TD,province,Bahr el Gazel,,BG,,1,,
td:province:batha,TD,province,Batha,,BA,,1,,
td:province:borkou,TD,province,Borkou,,BO,,1,,
td:province:chari-baguirmi,TD,province,Chari-Baguirmi,,CB,,1,,
td:province:ennedi-est,TD,province,Ennedi-Est,,EE,,1,,
td:province:ennedi-ouest,TD,province,Ennedi-Ouest,,EO,,1,,
td:province:guera,TD,province,Guéra,,GR,,1,,
td:province:hadjer-lamis,TD,province,Hadjer-Lamis,,HL,,1,,
td:province:kanem,TD,province,Kanem,,KA,,1,,
td:province:lac,TD,province,Lac,,LC,,1,,
td:province:logone-occidental,TD,province,Logone Occidental,,LO,,1,,
td:province:logone-oriental,TD,province,Logone Oriental,,LR,,1,,
td:province:mandoul,TD,province,Mandoul,,MA,,1,,
td:province:mayo-kebbi-est,TD,province,Mayo-Kebbi Est,,ME,,1,,
td:province:mayo-kebbi-ouest,TD,province,Mayo-Kebbi Ouest,,MO,,1,,
td:province:moyen-chari,TD,province,Moyen-Chari,,MC,,1,,
td:province:ndjamena,TD,province,N'Djamena,,ND,,1,,
td:province:ouaddai,TD,province,Ouaddaï,,OD,,1,,
td:province:salamat,TD,province,Salamat,,SA,,1,,
td:province:sila,TD,province,Sila,,SI,,1,,
td:province:tandjile,TD,province,Tandjilé,,TA,,1,,
td:province:tibesti,TD,province,Tibesti,,TI,,1,,
td:province:wadi-fira,TD,province,Wadi Fira,,WF,,1,,
