source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
cl:region:aisen-del-general-carlos-ibanez-del-campo,CL,region,Aisén del General Carlos Ibañez del Campo,,AI,,1,,
cl:region:antofagasta,CL,region,Antofagasta,,AN,,1,,
cl:region:arica-y-parinacota,CL,region,Arica y Parinacota,,AP,,1,,
cl:region:atacama,CL,region,Atacama,,AT,,1,,
cl:region:biobio,CL,region,Biobío,,BI,,1,,
cl:region:coquimbo,CL,region,Coquimbo,,CO,,1,,
cl:region:la-araucania,CL,region,La Araucanía,,AR,,1,,
cl:region:libertador-general-bernardo-ohiggins,CL,region,Libertador General Bernardo O'Higgins,,LI,,1,,
cl:region:los-lagos,CL,region,Los Lagos,,LL,,1,,
cl:region:los-rios,CL,region,Los Ríos,,LR,,1,,
cl:region:magallanes-y-de-la-antartica-chilena,CL,region,Magallanes y de la Antártica Chilena,,MA,,1,,
cl:region:maule,CL,region,Maule,,ML,,1,,
cl:region:nuble,CL,region,Ñuble,,NB,,1,,
cl:region:region-metropolitana-de-santiago,CL,region,Región Metropolitana de Santiago,,RM,,1,,
cl:region:tarapaca,CL,region,Tarapacá,,TA,,1,,
cl:region:valparaiso,CL,region,Valparaíso,,VS,,1,,
