source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
co:department:amazonas,CO,department,Amazonas,,AMA,,1,,
co:department:antioquia,CO,department,Antioquia,,ANT,,1,,
co:department:arauca,CO,department,Arauca,,ARA,,1,,
co:department:atlantico,CO,department,Atlántico,,ATL,,1,,
co:department:bolivar,CO,department,Bolívar,,BOL,,1,,
co:department:boyaca,CO,department,Boyacá,,BOY,,1,,
co:department:caldas,CO,department,Caldas,,CAL,,1,,
co:department:caqueta,CO,department,Caquetá,,CAQ,,1,,
co:department:casanare,CO,department,Casanare,,CAS,,1,,
co:department:cauca,CO,department,Cauca,,CAU,,1,,
co:department:cesar,CO,department,Cesar,,CES,,1,,
co:department:choco,CO,department,Chocó,,CHO,,1,,
co:department:cordoba,CO,department,Córdoba,,COR,,1,,
co:department:cundinamarca,CO,department,Cundinamarca,,CUN,,1,,
co:capital_district:bogota-d-c,CO,capital_district,Bogotá D.C.,,DC,,1,,
co:department:guainia,CO,department,Guainía,,GUA,,1,,
co:department:guaviare,CO,department,Guaviare,,GUV,,1,,
co:department:huila,CO,department,Huila,,HUI,,1,,
co:department:la-guajira,CO,department,La Guajira,,LAG,,1,,
co:department:magdalena,CO,department,Magdalena,,MAG,,1,,
co:department:meta,CO,department,Meta,,MET,,1,,
co:department:narino,CO,department,Nariño,,NAR,,1,,
co:department:norte-de-santander,CO,department,Norte de Santander,,NSA,,1,,
co:department:putumayo,CO,department,Putumayo,,PUT,,1,,
co:department:quindio,CO,department,Quindío,,QUI,,1,,
co:department:risaralda,CO,department,Risaralda,,RIS,,1,,
co:department:santander,CO,department,Santander,,SAN,,1,,
co:department:san-andres-providencia-y-santa-catalina,CO,department,"San Andrés, Providencia y Santa Catalina",,SAP,,1,,
co:department:sucre,CO,department,Sucre,,SUC,,1,,
co:department:tolima,CO,department,Tolima,,TOL,,1,,
co:department:valle-del-cauca,CO,department,Valle del Cauca,,VAC,,1,,
co:department:vaupes,CO,department,Vaupés,,VAU,,1,,
co:department:vichada,CO,department,Vichada,,VID,,1,,
