postcode,area_source_id,relationship_type,is_primary
050001,co:municipality:medellin,served_by,true
050002,co:municipality:medellin,served_by,true
050003,co:municipality:medellin,served_by,true
050004,co:municipality:medellin,served_by,true
050005,co:municipality:medellin,served_by,true
050006,co:municipality:medellin,served_by,true
050007,co:municipality:medellin,served_by,true
050010,co:municipality:medellin,served_by,true
050011,co:municipality:medellin,served_by,true
050012,co:municipality:medellin,served_by,true
050013,co:municipality:medellin,served_by,true
050014,co:municipality:medellin,served_by,true
050015,co:municipality:medellin,served_by,true
050016,co:municipality:medellin,served_by,true
050017,co:municipality:medellin,served_by,true
050018,co:municipality:medellin,served_by,true
050020,co:municipality:medellin,served_by,true
050021,co:municipality:medellin,served_by,true
050022,co:municipality:medellin,served_by,true
050023,co:municipality:medellin,served_by,true
050024,co:municipality:medellin,served_by,true
050025,co:municipality:medellin,served_by,true
050026,co:municipality:medellin,served_by,true
050027,co:municipality:medellin,served_by,true
050028,co:municipality:medellin,served_by,true
050029,co:municipality:medellin,served_by,true
050030,co:municipality:medellin,served_by,true
050031,co:municipality:medellin,served_by,true
050032,co:municipality:medellin,served_by,true
050033,co:municipality:medellin,served_by,true
050034,co:municipality:medellin,served_by,true
050035,co:municipality:medellin,served_by,true
050036,co:municipality:medellin,served_by,true
050037,co:municipality:medellin,served_by,true
050040,co:municipality:medellin,served_by,true
050041,co:municipality:medellin,served_by,true
050042,co:municipality:medellin,served_by,true
050043,co:municipality:medellin,served_by,true
050044,co:municipality:medellin,served_by,true
050047,co:municipality:medellin,served_by,true
050048,co:municipality:medellin,served_by,true
051010,co:municipality:san-pedro,served_by,true
051017,co:municipality:san-pedro,served_by,true
051020,co:municipality:barbosa,served_by,true
051027,co:municipality:barbosa,served_by,true
051028,co:municipality:barbosa,served_by,true
051030,co:municipality:girardota,served_by,true
051037,co:municipality:girardota,served_by,true
051038,co:municipality:girardota,served_by,true
051040,co:municipality:copacabana,served_by,true
051047,co:municipality:copacabana,served_by,true
051048,co:municipality:copacabana,served_by,true
051050,co:municipality:bello,served_by,true
051051,co:municipality:bello,served_by,true
051052,co:municipality:bello,served_by,true
051053,co:municipality:bello,served_by,true
051054,co:municipality:bello,served_by,true
051057,co:municipality:bello,served_by,true
051058,co:municipality:bello,served_by,true
051059,co:municipality:bello,served_by,true
051070,co:municipality:san-jeronimo,served_by,true
051077,co:municipality:san-jeronimo,served_by,true
051410,co:municipality:san-jose-de-la-montana,served_by,true
051417,co:municipality:san-jose-de-la-montana,served_by,true
051420,co:municipality:belmira,served_by,true
051427,co:municipality:belmira,served_by,true
051430,co:municipality:entrerrios,served_by,true
051437,co:municipality:entrerrios,served_by,true
051440,co:municipality:sopetran,served_by,true
051447,co:municipality:sopetran,served_by,true
051448,co:municipality:sopetran,served_by,true
051450,co:municipality:olaya,served_by,true
051457,co:municipality:olaya,served_by,true
051460,co:municipality:liborina,served_by,true
051467,co:municipality:liborina,served_by,true
051468,co:municipality:liborina,served_by,true
051810,co:municipality:angostura,served_by,true
051817,co:municipality:angostura,served_by,true
051818,co:municipality:angostura,served_by,true
051820,co:municipality:guadalupe,served_by,true
051827,co:municipality:guadalupe,served_by,true
051830,co:municipality:gomez-plata,served_by,true
051837,co:municipality:gomez-plata,served_by,true
051838,co:municipality:gomez-plata,served_by,true
051840,co:municipality:carolina-del-principe,served_by,true
051847,co:municipality:carolina-del-principe,served_by,true
051850,co:municipality:don-matias,served_by,true
051857,co:municipality:don-matias,served_by,true
051858,co:municipality:don-matias,served_by,true
051860,co:municipality:santa-rosa-de-osos,served_by,true
051867,co:municipality:santa-rosa-de-osos,served_by,true
051868,co:municipality:santa-rosa-de-osos,served_by,true
052010,co:municipality:valdivia,served_by,true
052017,co:municipality:valdivia,served_by,true
052018,co:municipality:valdivia,served_by,true
052020,co:municipality:campamento,served_by,true
052027,co:municipality:campamento,served_by,true
052030,co:municipality:yarumal,served_by,true
052037,co:municipality:yarumal,served_by,true
052038,co:municipality:yarumal,served_by,true
052040,co:municipality:san-andres,served_by,true
052047,co:municipality:san-andres,served_by,true
052050,co:municipality:toledo,served_by,true
052057,co:municipality:toledo,served_by,true
052060,co:municipality:briceno,served_by,true
052067,co:municipality:briceno,served_by,true
052068,co:municipality:briceno,served_by,true
052070,co:municipality:ituango,served_by,true
052077,co:municipality:ituango,served_by,true
052078,co:municipality:ituango,served_by,true
052079,co:municipality:ituango,served_by,true
052410,co:municipality:caucasia,served_by,true
052417,co:municipality:caucasia,served_by,true
052418,co:municipality:caucasia,served_by,true
052420,co:municipality:nechi,served_by,true
052427,co:municipality:nechi,served_by,true
052428,co:municipality:nechi,served_by,true
052430,co:municipality:el-bagre,served_by,true
052437,co:municipality:el-bagre,served_by,true
052438,co:municipality:el-bagre,served_by,true
052440,co:municipality:zaragoza,served_by,true
052447,co:municipality:zaragoza,served_by,true
052448,co:municipality:zaragoza,served_by,true
052450,co:municipality:caceres,served_by,true
052457,co:municipality:caceres,served_by,true
052458,co:municipality:caceres,served_by,true
052460,co:municipality:taraza,served_by,true
052467,co:municipality:taraza,served_by,true
052468,co:municipality:taraza,served_by,true
052810,co:municipality:segovia,served_by,true
052817,co:municipality:segovia,served_by,true
052818,co:municipality:segovia,served_by,true
052820,co:municipality:remedios,served_by,true
052827,co:municipality:remedios,served_by,true
052828,co:municipality:remedios,served_by,true
052830,co:municipality:vegachi,served_by,true
052837,co:municipality:vegachi,served_by,true
052840,co:municipality:amalfi,served_by,true
052847,co:municipality:amalfi,served_by,true
052848,co:municipality:amalfi,served_by,true
052850,co:municipality:anori,served_by,true
052857,co:municipality:anori,served_by,true
053010,co:municipality:yali,served_by,true
053017,co:municipality:yali,served_by,true
053020,co:municipality:yolombo,served_by,true
053027,co:municipality:yolombo,served_by,true
053028,co:municipality:yolombo,served_by,true
053030,co:municipality:san-roque,served_by,true
053037,co:municipality:san-roque,served_by,true
053040,co:municipality:santo-domingo,served_by,true
053047,co:municipality:santo-domingo,served_by,true
053048,co:municipality:santo-domingo,served_by,true
053050,co:municipality:cisneros,served_by,true
053057,co:municipality:cisneros,served_by,true
053410,co:municipality:yondo,served_by,true
053417,co:municipality:yondo,served_by,true
053418,co:municipality:yondo,served_by,true
053420,co:municipality:puerto-berrio,served_by,true
053427,co:municipality:puerto-berrio,served_by,true
053428,co:municipality:puerto-berrio,served_by,true
053430,co:municipality:puerto-nare,served_by,true
053437,co:municipality:puerto-nare,served_by,true
053440,co:municipality:puerto-triunfo,served_by,true
053447,co:municipality:puerto-triunfo,served_by,true
053448,co:municipality:puerto-triunfo,served_by,true
053450,co:municipality:caracoli,served_by,true
053457,co:municipality:caracoli,served_by,true
053460,co:municipality:maceo,served_by,true
053467,co:municipality:maceo,served_by,true
053810,co:municipality:concepcion,served_by,true
053817,co:municipality:concepcion,served_by,true
053820,co:municipality:alejandria,served_by,true
053827,co:municipality:alejandria,served_by,true
053830,co:municipality:san-rafael,served_by,true
053837,co:municipality:san-rafael,served_by,true
053838,co:municipality:san-rafael,served_by,true
053840,co:municipality:guatape,served_by,true
053847,co:municipality:guatape,served_by,true
053850,co:municipality:penol,served_by,true
053857,co:municipality:penol,served_by,true
054010,co:municipality:san-vicente,served_by,true
054017,co:municipality:san-vicente,served_by,true
054018,co:municipality:san-vicente,served_by,true
054020,co:municipality:marinilla,served_by,true
054027,co:municipality:marinilla,served_by,true
054028,co:municipality:marinilla,served_by,true
054030,co:municipality:el-carmen-de-viboral,served_by,true
054037,co:municipality:el-carmen-de-viboral,served_by,true
054038,co:municipality:el-carmen-de-viboral,served_by,true
054040,co:municipality:rionegro,served_by,true
054047,co:municipality:rionegro,served_by,true
054048,co:municipality:rionegro,served_by,true
054050,co:municipality:guarne,served_by,true
054057,co:municipality:guarne,served_by,true
054058,co:municipality:guarne,served_by,true
054410,co:municipality:granada,served_by,true
054417,co:municipality:granada,served_by,true
054420,co:municipality:san-carlos,served_by,true
054427,co:municipality:san-carlos,served_by,true
054428,co:municipality:san-carlos,served_by,true
054430,co:municipality:san-luis,served_by,true
054437,co:municipality:san-luis,served_by,true
054438,co:municipality:san-luis,served_by,true
054440,co:municipality:cocorna,served_by,true
054447,co:municipality:cocorna,served_by,true
054448,co:municipality:cocorna,served_by,true
054450,co:municipality:el-santuario,served_by,true
054457,co:municipality:el-santuario,served_by,true
054810,co:municipality:san-francisco,served_by,true
054817,co:municipality:san-francisco,served_by,true
054818,co:municipality:san-francisco,served_by,true
054820,co:municipality:sonson,served_by,true
054827,co:municipality:sonson,served_by,true
054828,co:municipality:sonson,served_by,true
054829,co:municipality:sonson,served_by,true
054830,co:municipality:argelia,served_by,true
054837,co:municipality:argelia,served_by,true
054838,co:municipality:argelia,served_by,true
054840,co:municipality:narino,served_by,true
054847,co:municipality:narino,served_by,true
054848,co:municipality:narino,served_by,true
055010,co:municipality:la-ceja,served_by,true
055017,co:municipality:la-ceja,served_by,true
055018,co:municipality:la-ceja,served_by,true
055020,co:municipality:la-union,served_by,true
055027,co:municipality:la-union,served_by,true
055028,co:municipality:la-union,served_by,true
055030,co:municipality:abejorral,served_by,true
055037,co:municipality:abejorral,served_by,true
055038,co:municipality:abejorral,served_by,true
055040,co:municipality:montebello,served_by,true
055047,co:municipality:montebello,served_by,true
055048,co:municipality:montebello,served_by,true
055050,co:municipality:santa-barbara,served_by,true
055057,co:municipality:santa-barbara,served_by,true
055058,co:municipality:santa-barbara,served_by,true
055060,co:municipality:la-pintada,served_by,true
055067,co:municipality:la-pintada,served_by,true
055068,co:municipality:la-pintada,served_by,true
055070,co:municipality:fredonia,served_by,true
055077,co:municipality:fredonia,served_by,true
055078,co:municipality:fredonia,served_by,true
055410,co:municipality:itagui,served_by,true
055411,co:municipality:itagui,served_by,true
055412,co:municipality:itagui,served_by,true
055413,co:municipality:itagui,served_by,true
055417,co:municipality:itagui,served_by,true
055420,co:municipality:envigado,served_by,true
055421,co:municipality:envigado,served_by,true
055422,co:municipality:envigado,served_by,true
055427,co:municipality:envigado,served_by,true
055428,co:municipality:envigado,served_by,true
055430,co:municipality:retiro,served_by,true
055437,co:municipality:retiro,served_by,true
055438,co:municipality:retiro,served_by,true
055440,co:municipality:caldas,served_by,true
055447,co:municipality:caldas,served_by,true
055448,co:municipality:caldas,served_by,true
055450,co:municipality:sabaneta,served_by,true
055457,co:municipality:sabaneta,served_by,true
055460,co:municipality:la-estrella,served_by,true
055467,co:municipality:la-estrella,served_by,true
055468,co:municipality:la-estrella,served_by,true
055810,co:municipality:ebejico,served_by,true
055817,co:municipality:ebejico,served_by,true
055818,co:municipality:ebejico,served_by,true
055820,co:municipality:heliconia,served_by,true
055827,co:municipality:heliconia,served_by,true
055830,co:municipality:angelopolis,served_by,true
055837,co:municipality:angelopolis,served_by,true
055840,co:municipality:amaga,served_by,true
055847,co:municipality:amaga,served_by,true
055848,co:municipality:amaga,served_by,true
055850,co:municipality:titiribi,served_by,true
055857,co:municipality:titiribi,served_by,true
055858,co:municipality:titiribi,served_by,true
055860,co:municipality:armenia,served_by,true
055867,co:municipality:armenia,served_by,true
056010,co:municipality:jerico,served_by,true
056017,co:municipality:jerico,served_by,true
056020,co:municipality:tamesis,served_by,true
056027,co:municipality:tamesis,served_by,true
056028,co:municipality:tamesis,served_by,true
056030,co:municipality:valparaiso,served_by,true
056037,co:municipality:valparaiso,served_by,true
056040,co:municipality:caramanta,served_by,true
056047,co:municipality:caramanta,served_by,true
056050,co:municipality:jardin,served_by,true
056057,co:municipality:jardin,served_by,true
056060,co:municipality:andes,served_by,true
056067,co:municipality:andes,served_by,true
056068,co:municipality:andes,served_by,true
056070,co:municipality:betania,served_by,true
056077,co:municipality:betania,served_by,true
056410,co:municipality:concordia,served_by,true
056417,co:municipality:concordia,served_by,true
056420,co:municipality:venecia,served_by,true
056427,co:municipality:venecia,served_by,true
056430,co:municipality:tarso,served_by,true
056437,co:municipality:tarso,served_by,true
056438,co:municipality:tarso,served_by,true
056440,co:municipality:pueblorrico,served_by,true
056447,co:municipality:pueblorrico,served_by,true
056450,co:municipality:hispania,served_by,true
056457,co:municipality:hispania,served_by,true
056460,co:municipality:bolivar,served_by,true
056467,co:municipality:bolivar,served_by,true
056468,co:municipality:bolivar,served_by,true
056470,co:municipality:salgar,served_by,true
056477,co:municipality:salgar,served_by,true
056478,co:municipality:salgar,served_by,true
056810,co:municipality:murindo,served_by,true
056817,co:municipality:murindo,served_by,true
056818,co:municipality:murindo,served_by,true
056820,co:municipality:vigia-del-fuerte,served_by,true
056827,co:municipality:vigia-del-fuerte,served_by,true
056828,co:municipality:vigia-del-fuerte,served_by,true
056830,co:municipality:urrao,served_by,true
056837,co:municipality:urrao,served_by,true
056838,co:municipality:urrao,served_by,true
056840,co:municipality:caicedo,served_by,true
056847,co:municipality:caicedo,served_by,true
056850,co:municipality:anza,served_by,true
056857,co:municipality:anza,served_by,true
056858,co:municipality:anza,served_by,true
056860,co:municipality:betulia,served_by,true
056867,co:municipality:betulia,served_by,true
056868,co:municipality:betulia,served_by,true
057010,co:municipality:peque,served_by,true
057017,co:municipality:peque,served_by,true
057018,co:municipality:peque,served_by,true
057020,co:municipality:sabanalarga,served_by,true
057027,co:municipality:sabanalarga,served_by,true
057028,co:municipality:sabanalarga,served_by,true
057030,co:municipality:buritica,served_by,true
057037,co:municipality:buritica,served_by,true
057038,co:municipality:buritica,served_by,true
057040,co:municipality:giraldo,served_by,true
057047,co:municipality:giraldo,served_by,true
057050,co:municipality:santa-fe-de-antioquia,served_by,true
057057,co:municipality:santa-fe-de-antioquia,served_by,true
057058,co:municipality:santa-fe-de-antioquia,served_by,true
057060,co:municipality:canasgordas,served_by,true
057067,co:municipality:canasgordas,served_by,true
057068,co:municipality:canasgordas,served_by,true
057410,co:municipality:chigorodo,served_by,true
057417,co:municipality:chigorodo,served_by,true
057418,co:municipality:chigorodo,served_by,true
057420,co:municipality:mutata,served_by,true
057427,co:municipality:mutata,served_by,true
057428,co:municipality:mutata,served_by,true
057430,co:municipality:dabeiba,served_by,true
057437,co:municipality:dabeiba,served_by,true
057438,co:municipality:dabeiba,served_by,true
057440,co:municipality:uramita,served_by,true
057447,co:municipality:uramita,served_by,true
057450,co:municipality:frontino,served_by,true
057457,co:municipality:frontino,served_by,true
057458,co:municipality:frontino,served_by,true
057460,co:municipality:abriaqui,served_by,true
057467,co:municipality:abriaqui,served_by,true
057810,co:municipality:san-juan-de-uraba,served_by,true
057817,co:municipality:san-juan-de-uraba,served_by,true
057820,co:municipality:arboletes,served_by,true
057827,co:municipality:arboletes,served_by,true
057828,co:municipality:arboletes,served_by,true
057829,co:municipality:arboletes,served_by,true
057830,co:municipality:san-pedro-de-uraba,served_by,true
057837,co:municipality:san-pedro-de-uraba,served_by,true
057838,co:municipality:san-pedro-de-uraba,served_by,true
057839,co:municipality:san-pedro-de-uraba,served_by,true
057840,co:municipality:apartado,served_by,true
057841,co:municipality:apartado,served_by,true
057847,co:municipality:apartado,served_by,true
057850,co:municipality:carepa,served_by,true
057857,co:municipality:carepa,served_by,true
057858,co:municipality:carepa,served_by,true
057860,co:municipality:turbo,served_by,true
057867,co:municipality:turbo,served_by,true
057868,co:municipality:turbo,served_by,true
057869,co:municipality:turbo,served_by,true
057870,co:municipality:necocli,served_by,true
057877,co:municipality:necocli,served_by,true
057878,co:municipality:necocli,served_by,true
080001,co:municipality:barranquilla,served_by,true
080002,co:municipality:barranquilla,served_by,true
080003,co:municipality:barranquilla,served_by,true
080004,co:municipality:barranquilla,served_by,true
080005,co:municipality:barranquilla,served_by,true
080006,co:municipality:barranquilla,served_by,true
080007,co:municipality:barranquilla,served_by,true
080010,co:municipality:barranquilla,served_by,true
080011,co:municipality:barranquilla,served_by,true
080012,co:municipality:barranquilla,served_by,true
080013,co:municipality:barranquilla,served_by,true
080014,co:municipality:barranquilla,served_by,true
080015,co:municipality:barranquilla,served_by,true
080016,co:municipality:barranquilla,served_by,true
080020,co:municipality:barranquilla,served_by,true
081001,co:municipality:puerto-colombia,served_by,true
081007,co:municipality:puerto-colombia,served_by,true
081008,co:municipality:puerto-colombia,served_by,true
081020,co:municipality:tubara,served_by,true
081027,co:municipality:tubara,served_by,true
081028,co:municipality:tubara,served_by,true
081040,co:municipality:juan-de-acosta,served_by,true
081047,co:municipality:juan-de-acosta,served_by,true
081048,co:municipality:juan-de-acosta,served_by,true
081060,co:municipality:piojo,served_by,true
081067,co:municipality:piojo,served_by,true
082001,co:municipality:galapa,served_by,true
082007,co:municipality:galapa,served_by,true
082020,co:municipality:baranoa,served_by,true
082027,co:municipality:baranoa,served_by,true
082028,co:municipality:baranoa,served_by,true
082040,co:municipality:polonuevo,served_by,true
082047,co:municipality:polonuevo,served_by,true
082060,co:municipality:usiacuri,served_by,true
082067,co:municipality:usiacuri,served_by,true
083001,co:municipality:soledad,served_by,true
083002,co:municipality:soledad,served_by,true
083003,co:municipality:soledad,served_by,true
083004,co:municipality:soledad,served_by,true
083005,co:municipality:soledad,served_by,true
083006,co:municipality:soledad,served_by,true
083007,co:municipality:soledad,served_by,true
083010,co:municipality:soledad,served_by,true
083020,co:municipality:malambo,served_by,true
083021,co:municipality:malambo,served_by,true
083027,co:municipality:malambo,served_by,true
083028,co:municipality:malambo,served_by,true
083040,co:municipality:sabanagrande,served_by,true
083047,co:municipality:sabanagrande,served_by,true
083060,co:municipality:santo-tomas,served_by,true
083067,co:municipality:santo-tomas,served_by,true
083080,co:municipality:palmar-de-varela,served_by,true
083087,co:municipality:palmar-de-varela,served_by,true
084001,co:municipality:ponedera,served_by,true
084007,co:municipality:ponedera,served_by,true
084008,co:municipality:ponedera,served_by,true
084020,co:municipality:candelaria,served_by,true
084027,co:municipality:candelaria,served_by,true
084040,co:municipality:campo-de-la-cruz,served_by,true
084047,co:municipality:campo-de-la-cruz,served_by,true
084060,co:municipality:suan,served_by,true
084067,co:municipality:suan,served_by,true
084080,co:municipality:santa-lucia,served_by,true
084087,co:municipality:santa-lucia,served_by,true
085001,co:municipality:atlantico:sabanalarga,served_by,true
085007,co:municipality:atlantico:sabanalarga,served_by,true
085008,co:municipality:atlantico:sabanalarga,served_by,true
085009,co:municipality:atlantico:sabanalarga,served_by,true
085020,co:municipality:manati,served_by,true
085027,co:municipality:manati,served_by,true
085040,co:municipality:repelon,served_by,true
085047,co:municipality:repelon,served_by,true
085048,co:municipality:repelon,served_by,true
085060,co:municipality:luruaco,served_by,true
085067,co:municipality:luruaco,served_by,true
085068,co:municipality:luruaco,served_by,true
110111,co:capital_district:bogota-d-c,served_by,true
110121,co:capital_district:bogota-d-c,served_by,true
110131,co:capital_district:bogota-d-c,served_by,true
110141,co:capital_district:bogota-d-c,served_by,true
110151,co:capital_district:bogota-d-c,served_by,true
110211,co:capital_district:bogota-d-c,served_by,true
110221,co:capital_district:bogota-d-c,served_by,true
110231,co:capital_district:bogota-d-c,served_by,true
110311,co:capital_district:bogota-d-c,served_by,true
110321,co:capital_district:bogota-d-c,served_by,true
110411,co:capital_district:bogota-d-c,served_by,true
110421,co:capital_district:bogota-d-c,served_by,true
110431,co:capital_district:bogota-d-c,served_by,true
110441,co:capital_district:bogota-d-c,served_by,true
110511,co:capital_district:bogota-d-c,served_by,true
110521,co:capital_district:bogota-d-c,served_by,true
110531,co:capital_district:bogota-d-c,served_by,true
110541,co:capital_district:bogota-d-c,served_by,true
110551,co:capital_district:bogota-d-c,served_by,true
110561,co:capital_district:bogota-d-c,served_by,true
110571,co:capital_district:bogota-d-c,served_by,true
110611,co:capital_district:bogota-d-c,served_by,true
110621,co:capital_district:bogota-d-c,served_by,true
110711,co:capital_district:bogota-d-c,served_by,true
110721,co:capital_district:bogota-d-c,served_by,true
110731,co:capital_district:bogota-d-c,served_by,true
110741,co:capital_district:bogota-d-c,served_by,true
110811,co:capital_district:bogota-d-c,served_by,true
110821,co:capital_district:bogota-d-c,served_by,true
110831,co:capital_district:bogota-d-c,served_by,true
110841,co:capital_district:bogota-d-c,served_by,true
110851,co:capital_district:bogota-d-c,served_by,true
110861,co:capital_district:bogota-d-c,served_by,true
110871,co:capital_district:bogota-d-c,served_by,true
110881,co:capital_district:bogota-d-c,served_by,true
110911,co:capital_district:bogota-d-c,served_by,true
110921,co:capital_district:bogota-d-c,served_by,true
110931,co:capital_district:bogota-d-c,served_by,true
111011,co:capital_district:bogota-d-c,served_by,true
111021,co:capital_district:bogota-d-c,served_by,true
111031,co:capital_district:bogota-d-c,served_by,true
111041,co:capital_district:bogota-d-c,served_by,true
111051,co:capital_district:bogota-d-c,served_by,true
111061,co:capital_district:bogota-d-c,served_by,true
111071,co:capital_district:bogota-d-c,served_by,true
111111,co:capital_district:bogota-d-c,served_by,true
111121,co:capital_district:bogota-d-c,served_by,true
111131,co:capital_district:bogota-d-c,served_by,true
111141,co:capital_district:bogota-d-c,served_by,true
111151,co:capital_district:bogota-d-c,served_by,true
111156,co:capital_district:bogota-d-c,served_by,true
111161,co:capital_district:bogota-d-c,served_by,true
111166,co:capital_district:bogota-d-c,served_by,true
111171,co:capital_district:bogota-d-c,served_by,true
111176,co:capital_district:bogota-d-c,served_by,true
111211,co:capital_district:bogota-d-c,served_by,true
111221,co:capital_district:bogota-d-c,served_by,true
111311,co:capital_district:bogota-d-c,served_by,true
111321,co:capital_district:bogota-d-c,served_by,true
111411,co:capital_district:bogota-d-c,served_by,true
111511,co:capital_district:bogota-d-c,served_by,true
111611,co:capital_district:bogota-d-c,served_by,true
111621,co:capital_district:bogota-d-c,served_by,true
111631,co:capital_district:bogota-d-c,served_by,true
111711,co:capital_district:bogota-d-c,served_by,true
111811,co:capital_district:bogota-d-c,served_by,true
111821,co:capital_district:bogota-d-c,served_by,true
111831,co:capital_district:bogota-d-c,served_by,true
111841,co:capital_district:bogota-d-c,served_by,true
111911,co:capital_district:bogota-d-c,served_by,true
111921,co:capital_district:bogota-d-c,served_by,true
111931,co:capital_district:bogota-d-c,served_by,true
111941,co:capital_district:bogota-d-c,served_by,true
111951,co:capital_district:bogota-d-c,served_by,true
111961,co:capital_district:bogota-d-c,served_by,true
111971,co:capital_district:bogota-d-c,served_by,true
111981,co:capital_district:bogota-d-c,served_by,true
112011,co:capital_district:bogota-d-c,served_by,true
112021,co:capital_district:bogota-d-c,served_by,true
112031,co:capital_district:bogota-d-c,served_by,true
112041,co:capital_district:bogota-d-c,served_by,true
130001,co:municipality:cartagena,served_by,true
130002,co:municipality:cartagena,served_by,true
130003,co:municipality:cartagena,served_by,true
130004,co:municipality:cartagena,served_by,true
130005,co:municipality:cartagena,served_by,true
130006,co:municipality:cartagena,served_by,true
130007,co:municipality:cartagena,served_by,true
130008,co:municipality:cartagena,served_by,true
130009,co:municipality:cartagena,served_by,true
130010,co:municipality:cartagena,served_by,true
130011,co:municipality:cartagena,served_by,true
130012,co:municipality:cartagena,served_by,true
130013,co:municipality:cartagena,served_by,true
130014,co:municipality:cartagena,served_by,true
130015,co:municipality:cartagena,served_by,true
130017,co:municipality:cartagena,served_by,true
130018,co:municipality:cartagena,served_by,true
130019,co:municipality:cartagena,served_by,true
130027,co:municipality:cartagena,served_by,true
130501,co:municipality:santa-catalina,served_by,true
130507,co:municipality:santa-catalina,served_by,true
130508,co:municipality:santa-catalina,served_by,true
130510,co:municipality:clemencia,served_by,true
130517,co:municipality:clemencia,served_by,true
130520,co:municipality:santa-rosa,served_by,true
130527,co:municipality:santa-rosa,served_by,true
130528,co:municipality:santa-rosa,served_by,true
130530,co:municipality:villanueva,served_by,true
130537,co:municipality:villanueva,served_by,true
130540,co:municipality:san-estanislao,served_by,true
130547,co:municipality:san-estanislao,served_by,true
131001,co:municipality:turbaco,served_by,true
131007,co:municipality:turbaco,served_by,true
131008,co:municipality:turbaco,served_by,true
131010,co:municipality:turbana,served_by,true
131017,co:municipality:turbana,served_by,true
131020,co:municipality:arjona,served_by,true
131027,co:municipality:arjona,served_by,true
131028,co:municipality:arjona,served_by,true
131029,co:municipality:arjona,served_by,true
131040,co:municipality:mahates,served_by,true
131047,co:municipality:mahates,served_by,true
131048,co:municipality:mahates,served_by,true
131060,co:municipality:maria-la-baja,served_by,true
131067,co:municipality:maria-la-baja,served_by,true
131068,co:municipality:maria-la-baja,served_by,true
131069,co:municipality:maria-la-baja,served_by,true
131077,co:municipality:maria-la-baja,served_by,true
131501,co:municipality:soplaviento,served_by,true
131507,co:municipality:soplaviento,served_by,true
131520,co:municipality:san-cristobal,served_by,true
131527,co:municipality:san-cristobal,served_by,true
131540,co:municipality:calamar,served_by,true
131547,co:municipality:calamar,served_by,true
131548,co:municipality:calamar,served_by,true
131560,co:municipality:arroyo-hondo,served_by,true
131567,co:municipality:arroyo-hondo,served_by,true
132001,co:municipality:el-guamo,served_by,true
132007,co:municipality:el-guamo,served_by,true
132010,co:municipality:san-juan-nepomuceno,served_by,true
132017,co:municipality:san-juan-nepomuceno,served_by,true
132018,co:municipality:san-juan-nepomuceno,served_by,true
132030,co:municipality:san-jacinto,served_by,true
132037,co:municipality:san-jacinto,served_by,true
132040,co:municipality:zambrano,served_by,true
132047,co:municipality:zambrano,served_by,true
132050,co:municipality:el-carmen-de-bolivar,served_by,true
132057,co:municipality:el-carmen-de-bolivar,served_by,true
132058,co:municipality:el-carmen-de-bolivar,served_by,true
132059,co:municipality:el-carmen-de-bolivar,served_by,true
132501,co:municipality:cordoba,served_by,true
132507,co:municipality:cordoba,served_by,true
132508,co:municipality:cordoba,served_by,true
132511,co:municipality:magangue,served_by,true
132512,co:municipality:magangue,served_by,true
132517,co:municipality:magangue,served_by,true
132518,co:municipality:magangue,served_by,true
132519,co:municipality:magangue,served_by,true
132527,co:municipality:magangue,served_by,true
132540,co:municipality:talaiga-nuevo,served_by,true
132547,co:municipality:talaiga-nuevo,served_by,true
132548,co:municipality:talaiga-nuevo,served_by,true
132550,co:municipality:cicuco,served_by,true
132557,co:municipality:cicuco,served_by,true
132560,co:municipality:mompox,served_by,true
132567,co:municipality:mompox,served_by,true
132568,co:municipality:mompox,served_by,true
133001,co:municipality:san-fernando,served_by,true
133007,co:municipality:san-fernando,served_by,true
133008,co:municipality:san-fernando,served_by,true
133020,co:municipality:margarita,served_by,true
133027,co:municipality:margarita,served_by,true
133028,co:municipality:margarita,served_by,true
133040,co:municipality:hatillo-de-loba,served_by,true
133047,co:municipality:hatillo-de-loba,served_by,true
133048,co:municipality:hatillo-de-loba,served_by,true
133049,co:municipality:hatillo-de-loba,served_by,true
133501,co:municipality:altos-del-rosario,served_by,true
133507,co:municipality:altos-del-rosario,served_by,true
133508,co:municipality:altos-del-rosario,served_by,true
133510,co:municipality:barranco-de-loba,served_by,true
133517,co:municipality:barranco-de-loba,served_by,true
133518,co:municipality:barranco-de-loba,served_by,true
133530,co:municipality:san-martin-de-loba,served_by,true
133537,co:municipality:san-martin-de-loba,served_by,true
133538,co:municipality:san-martin-de-loba,served_by,true
133550,co:municipality:el-penon,served_by,true
133557,co:municipality:el-penon,served_by,true
133558,co:municipality:el-penon,served_by,true
133560,co:municipality:regidor,served_by,true
133567,co:municipality:regidor,served_by,true
134001,co:municipality:pinillos,served_by,true
134007,co:municipality:pinillos,served_by,true
134008,co:municipality:pinillos,served_by,true
134020,co:municipality:achi,served_by,true
134027,co:municipality:achi,served_by,true
134028,co:municipality:achi,served_by,true
134040,co:municipality:tiquisio,served_by,true
134047,co:municipality:tiquisio,served_by,true
134048,co:municipality:tiquisio,served_by,true
