source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
hr:county:bjelovar-bilogora,HR,county,Bjelovar-Bilogora,,07,,1,,
hr:county:brod-posavina,HR,county,Brod-Posavina,,12,,1,,
hr:county:dubrovnik-neretva,HR,county,Dubrovnik-Neretva,,19,,1,,
hr:county:istria,HR,county,Istria,,18,,1,,
hr:county:karlovac,HR,county,Karlovac,,04,,1,,
hr:county:koprivnica-krizevci,HR,county,Koprivnica-Križevci,,06,,1,,
hr:county:krapina-zagorje,HR,county,Krapina-Zagorje,,02,,1,,
hr:county:lika-senj,HR,county,Lika-Senj,,09,,1,,
hr:county:meimurje,HR,county,Međimurje,,20,,1,,
hr:county:osijek-baranja,HR,county,Osijek-Baranja,,14,,1,,
hr:county:pozega-slavonia,HR,county,Požega-Slavonia,,11,,1,,
hr:county:primorje-gorski-kotar,HR,county,Primorje-Gorski Kotar,,08,,1,,
hr:county:sibenik-knin,HR,county,Šibenik-Knin,,15,,1,,
hr:county:sisak-moslavina,HR,county,Sisak-Moslavina,,03,,1,,
hr:county:split-dalmatia,HR,county,Split-Dalmatia,,17,,1,,
hr:county:varazdin,HR,county,Varaždin,,05,,1,,
hr:county:virovitica-podravina,HR,county,Virovitica-Podravina,,10,,1,,
hr:county:vukovar-syrmia,HR,county,Vukovar-Syrmia,,16,,1,,
hr:county:zadar,HR,county,Zadar,,13,,1,,
hr:county:zagreb,HR,county,Zagreb,,01,,1,,
