postcode,area_source_id,relationship_type,is_primary
10000,hr:county:city-of-zagreb,served_by,true
10010,hr:county:city-of-zagreb,served_by,true
10020,hr:county:city-of-zagreb,served_by,true
10040,hr:county:city-of-zagreb,served_by,true
10090,hr:county:city-of-zagreb,served_by,true
10101,hr:county:city-of-zagreb,served_by,true
10103,hr:county:city-of-zagreb,served_by,true
10104,hr:county:city-of-zagreb,served_by,true
10105,hr:county:city-of-zagreb,served_by,true
10106,hr:county:city-of-zagreb,served_by,true
10108,hr:county:city-of-zagreb,served_by,true
10109,hr:county:city-of-zagreb,served_by,true
10110,hr:county:city-of-zagreb,served_by,true
10111,hr:county:city-of-zagreb,served_by,true
10112,hr:county:city-of-zagreb,served_by,true
10113,hr:county:city-of-zagreb,served_by,true
10114,hr:county:city-of-zagreb,served_by,true
10115,hr:county:city-of-zagreb,served_by,true
10116,hr:county:city-of-zagreb,served_by,true
10119,hr:county:city-of-zagreb,served_by,true
10120,hr:county:city-of-zagreb,served_by,true
10121,hr:county:city-of-zagreb,served_by,true
10122,hr:county:city-of-zagreb,served_by,true
10123,hr:county:city-of-zagreb,served_by,true
10124,hr:county:city-of-zagreb,served_by,true
10126,hr:county:city-of-zagreb,served_by,true
10128,hr:county:city-of-zagreb,served_by,true
10129,hr:county:city-of-zagreb,served_by,true
10130,hr:county:city-of-zagreb,served_by,true
10131,hr:county:city-of-zagreb,served_by,true
10132,hr:county:city-of-zagreb,served_by,true
10133,hr:county:city-of-zagreb,served_by,true
10134,hr:county:city-of-zagreb,served_by,true
10135,hr:county:city-of-zagreb,served_by,true
10136,hr:county:city-of-zagreb,served_by,true
10137,hr:county:city-of-zagreb,served_by,true
10138,hr:county:city-of-zagreb,served_by,true
10139,hr:county:city-of-zagreb,served_by,true
10140,hr:county:city-of-zagreb,served_by,true
10141,hr:county:city-of-zagreb,served_by,true
10142,hr:county:city-of-zagreb,served_by,true
10144,hr:county:city-of-zagreb,served_by,true
10145,hr:county:city-of-zagreb,served_by,true
10146,hr:county:city-of-zagreb,served_by,true
10147,hr:county:city-of-zagreb,served_by,true
10148,hr:county:city-of-zagreb,served_by,true
10150,hr:county:zagreb,served_by,true
10151,hr:county:city-of-zagreb,served_by,true
