country_code,code
HR,10000
HR,10010
HR,10020
HR,10040
HR,10090
HR,10101
HR,10103
HR,10104
HR,10105
HR,10106
HR,10108
HR,10109
HR,10110
HR,10111
HR,10112
HR,10113
HR,10114
HR,10115
HR,10116
HR,10119
HR,10120
HR,10121
HR,10122
HR,10123
HR,10124
HR,10126
HR,10128
HR,10129
HR,10130
HR,10131
HR,10132
HR,10133
HR,10134
HR,10135
HR,10136
HR,10137
HR,10138
HR,10139
HR,10140
HR,10141
HR,10142
HR,10144
HR,10145
HR,10146
HR,10147
HR,10148
HR,10150
HR,10151
HR,10153
HR,10156
HR,10158
HR,10160
HR,10162
HR,10163
HR,10166
HR,10168
HR,10169
HR,10172
HR,10173
HR,10174
HR,10175
HR,10250
HR,10251
HR,10252
HR,10253
HR,10254
HR,10255
HR,10256
HR,10257
HR,10290
HR,10291
HR,10292
HR,10293
HR,10294
HR,10295
HR,10296
HR,10297
HR,10298
HR,10299
HR,10310
HR,10311
HR,10312
HR,10313
HR,10314
HR,10315
HR,10316
HR,10340
HR,10341
HR,10342
HR,10343
HR,10344
HR,10345
HR,10346
HR,10347
HR,10360
HR,10361
HR,10362
HR,10363
HR,10365
HR,10370
HR,10372
HR,10373
HR,10380
HR,10381
HR,10382
HR,10383
HR,10407
HR,10408
HR,10409
HR,10410
HR,10411
HR,10412
HR,10413
HR,10414
HR,10415
HR,10417
HR,10418
HR,10419
HR,10430
HR,10431
HR,10432
HR,10433
HR,10434
HR,10435
HR,10436
HR,10437
HR,10450
HR,10451
HR,10452
HR,10453
HR,10454
HR,10455
HR,10456
HR,10457
HR,20000
HR,20103
HR,20106
HR,20107
HR,20108
HR,20109
HR,20205
HR,20207
HR,20210
HR,20213
HR,20215
HR,20216
HR,20221
HR,20222
HR,20223
HR,20224
HR,20225
HR,20226
HR,20230
HR,20232
HR,20235
HR,20236
HR,20240
HR,20242
HR,20243
HR,20244
HR,20245
HR,20246
HR,20247
HR,20248
HR,20250
HR,20260
HR,20263
HR,20264
HR,20267
HR,20269
HR,20270
HR,20271
HR,20272
HR,20273
HR,20274
HR,20275
HR,20278
HR,20289
HR,20290
HR,20340
HR,20341
HR,20342
HR,20343
HR,20344
HR,20345
HR,20350
HR,20352
HR,20353
HR,20355
HR,20356
HR,20357
HR,21000
HR,21101
HR,21102
HR,21103
HR,21104
HR,21105
HR,21106
HR,21107
HR,21108
HR,21109
HR,21110
HR,21111
HR,21112
HR,21113
HR,21114
HR,21115
HR,21119
HR,21201
HR,21202
HR,21203
HR,21204
HR,21206
HR,21207
HR,21208
HR,21209
HR,21210
HR,21211
HR,21212
HR,21213
HR,21214
HR,21215
HR,21216
HR,21217
HR,21218
HR,21219
HR,21220
HR,21222
HR,21223
HR,21224
HR,21225
HR,21226
HR,21227
HR,21228
HR,21230
HR,21231
HR,21232
HR,21233
HR,21234
HR,21236
HR,21238
HR,21240
HR,21241
HR,21242
HR,21243
HR,21244
HR,21246
HR,21247
HR,21250
HR,21251
HR,21252
HR,21253
HR,21254
HR,21255
HR,21256
HR,21257
HR,21260
HR,21261
HR,21262
HR,21263
HR,21264
HR,21265
HR,21266
HR,21268
HR,21270
HR,21271
HR,21272
HR,21275
HR,21276
HR,21277
HR,21285
HR,21292
HR,21300
HR,21310
HR,21311
HR,21312
HR,21314
HR,21315
HR,21317
HR,21318
HR,21320
HR,21322
HR,21323
HR,21325
HR,21327
HR,21328
HR,21329
HR,21330
HR,21333
HR,21334
HR,21335
HR,21400
HR,21403
HR,21404
HR,21405
HR,21410
HR,21412
HR,21413
HR,21414
HR,21420
HR,21423
HR,21424
HR,21425
HR,21426
HR,21430
HR,21432
HR,21450
HR,21454
HR,21460
HR,21462
HR,21463
HR,21465
HR,21466
HR,21467
HR,21468
HR,21469
HR,21480
HR,21483
HR,21485
HR,22000
HR,22010
HR,22020
HR,22030
HR,22101
HR,22102
HR,22103
HR,22104
HR,22105
HR,22106
HR,22108
HR,22202
HR,22203
HR,22204
HR,22205
HR,22206
HR,22211
HR,22212
HR,22213
HR,22214
HR,22215
HR,22221
HR,22222
HR,22231
HR,22232
HR,22233
HR,22234
HR,22235
HR,22236
HR,22240
HR,22242
HR,22243
HR,22244
HR,22300
HR,22301
HR,22302
HR,22303
HR,22304
HR,22305
HR,22306
HR,22307
HR,22310
HR,22311
HR,22312
HR,22317
HR,22318
HR,22319
HR,22320
HR,22321
HR,22322
HR,22323
HR,22324
HR,23000
HR,23103
HR,23104
HR,23105
HR,23106
HR,23107
HR,23205
HR,23206
HR,23207
HR,23210
HR,23211
HR,23212
HR,23222
HR,23223
HR,23226
HR,23231
HR,23232
HR,23233
HR,23234
HR,23235
HR,23241
HR,23242
HR,23243
HR,23244
HR,23245
HR,23247
HR,23248
HR,23249
HR,23250
HR,23251
HR,23262
HR,23263
HR,23264
HR,23271
HR,23272
HR,23273
HR,23274
HR,23275
HR,23281
HR,23282
HR,23283
HR,23284
HR,23285
HR,23286
HR,23287
HR,23291
HR,23292
HR,23293
HR,23294
HR,23295
HR,23296
HR,23312
HR,23420
HR,23421
HR,23422
HR,23423
HR,23424
HR,23440
HR,23441
HR,23442
HR,23443
HR,23445
HR,23446
HR,23450
HR,23451
HR,23452
HR,31000
HR,31103
HR,31104
HR,31105
HR,31106
HR,31107
HR,31108
HR,31110
HR,31111
HR,31112
HR,31204
HR,31205
HR,31206
HR,31207
HR,31208
HR,31214
HR,31215
HR,31216
HR,31220
HR,31221
HR,31222
HR,31223
HR,31224
HR,31225
HR,31226
HR,31227
HR,31300
HR,31301
HR,31302
HR,31303
HR,31304
HR,31305
HR,31306
HR,31307
HR,31308
HR,31309
HR,31315
HR,31321
HR,31322
HR,31323
HR,31324
HR,31325
HR,31326
HR,31327
HR,31328
HR,31400
HR,31401
HR,31402
HR,31403
HR,31404
HR,31405
HR,31410
HR,31411
HR,31415
HR,31416
HR,31417
HR,31418
HR,31421
HR,31422
HR,31423
HR,31424
HR,31431
HR,31432
HR,31433
HR,31500
HR,31511
HR,31512
HR,31513
HR,31530
HR,31531
HR,31540
HR,31542
HR,31543
HR,31550
HR,31551
HR,31552
HR,31553
HR,31554
HR,31555
HR,32000
HR,32010
HR,32011
HR,32100
HR,32101
HR,32103
HR,32211
HR,32212
HR,32213
HR,32214
HR,32221
HR,32222
HR,32224
HR,32225
HR,32227
HR,32229
HR,32232
HR,32233
HR,32234
HR,32235
HR,32236
HR,32237
HR,32238
HR,32239
HR,32241
HR,32242
HR,32243
HR,32244
HR,32245
HR,32246
HR,32247
HR,32248
HR,32249
HR,32251
HR,32252
HR,32253
HR,32254
HR,32255
HR,32256
HR,32257
HR,32258
HR,32259
HR,32260
HR,32261
HR,32262
HR,32263
HR,32264
HR,32270
HR,32271
HR,32272
HR,32273
HR,32274
HR,32275
HR,32276
HR,32280
HR,32281
HR,32282
HR,32283
HR,32284
HR,33000
HR,33401
HR,33404
HR,33405
HR,33406
HR,33407
HR,33410
HR,33411
HR,33412
HR,33507
HR,33513
HR,33514
HR,33515
HR,33517
HR,33518
HR,33520
HR,33522
HR,33523
HR,33525
HR,33533
HR,34000
HR,34303
HR,34304
HR,34308
HR,34310
HR,34311
HR,34312
HR,34315
HR,34322
HR,34330
HR,34334
HR,34335
HR,34340
HR,34343
HR,34350
HR,34543
HR,34550
HR,34551
HR,34552
HR,34553
HR,35000
HR,35101
HR,35102
HR,35103
HR,35104
HR,35105
HR,35106
HR,35107
HR,35108
HR,35201
HR,35207
HR,35208
HR,35209
HR,35210
HR,35211
HR,35212
HR,35213
HR,35214
HR,35216
HR,35220
HR,35221
HR,35222
HR,35224
HR,35250
HR,35252
HR,35253
HR,35254
HR,35255
HR,35257
HR,35400
HR,35403
HR,35404
HR,35410
HR,35414
HR,35420
HR,35422
HR,35423
HR,35424
HR,35425
HR,35428
HR,35429
HR,35430
HR,35435
HR,40000
HR,40101
HR,40305
HR,40306
HR,40311
HR,40312
HR,40313
HR,40314
HR,40315
HR,40316
HR,40317
HR,40318
HR,40319
HR,40320
HR,40321
HR,40322
HR,40323
HR,40324
HR,40326
HR,40327
HR,40328
HR,40329
HR,42000
HR,42103
HR,42104
HR,42105
HR,42201
HR,42202
HR,42203
HR,42204
HR,42205
HR,42206
HR,42207
HR,42208
HR,42209
HR,42212
HR,42214
HR,42220
HR,42222
HR,42223
HR,42224
HR,42225
HR,42226
HR,42230
HR,42231
HR,42232
HR,42233
HR,42240
HR,42242
HR,42243
HR,42244
HR,42245
HR,42250
HR,42253
HR,42254
HR,42255
HR,43000
HR,43103
HR,43104
HR,43202
HR,43203
HR,43212
HR,43226
HR,43227
HR,43231
HR,43232
HR,43233
HR,43240
HR,43245
HR,43246
HR,43247
HR,43251
HR,43270
HR,43271
HR,43272
HR,43273
HR,43274
HR,43280
HR,43282
HR,43283
HR,43284
HR,43285
HR,43290
HR,43293
HR,43500
HR,43504
HR,43505
HR,43506
HR,43507
HR,43532
HR,43541
HR,44000
HR,44010
HR,44103
HR,44104
HR,44105
HR,44201
HR,44202
HR,44203
HR,44210
HR,44250
HR,44253
HR,44272
HR,44273
HR,44316
HR,44317
HR,44318
HR,44319
HR,44320
HR,44321
HR,44322
HR,44323
HR,44324
HR,44326
HR,44330
HR,44400
HR,44410
HR,44415
HR,44430
HR,44440
HR,44450
HR,47000
HR,47103
HR,47104
HR,47105
HR,47106
HR,47107
HR,47108
HR,47201
HR,47206
HR,47212
HR,47220
HR,47222
HR,47240
HR,47241
HR,47242
HR,47245
HR,47250
HR,47251
HR,47252
HR,47262
HR,47264
HR,47271
HR,47272
HR,47276
HR,47280
HR,47282
HR,47286
HR,47300
HR,47303
HR,47304
HR,47306
HR,48000
HR,48214
HR,48260
HR,48267
HR,48268
HR,48303
HR,48304
HR,48305
HR,48306
HR,48312
HR,48314
HR,48316
HR,48317
HR,48321
HR,48322
HR,48323
HR,48325
HR,48326
HR,48327
HR,48331
HR,48332
HR,48350
HR,48355
HR,48356
HR,48361
HR,48362
HR,48363
HR,49000
HR,49010
HR,49210
HR,49214
HR,49215
HR,49216
HR,49217
HR,49218
HR,49219
HR,49221
HR,49222
HR,49223
HR,49224
HR,49225
HR,49228
HR,49231
HR,49232
HR,49233
HR,49234
HR,49240
HR,49243
HR,49244
HR,49245
HR,49246
HR,49247
HR,49250
HR,49251
HR,49252
HR,49253
HR,49254
HR,49255
HR,49282
HR,49283
HR,49284
HR,49290
HR,49294
HR,49295
HR,49296
HR,51000
HR,51101
HR,51103
HR,51104
HR,51105
HR,51106
HR,51107
HR,51108
HR,51109
HR,51110
HR,51111
HR,51112
HR,51114
HR,51115
HR,51116
HR,51118
HR,51119
HR,51211
HR,51212
HR,51213
HR,51214
HR,51215
HR,51216
HR,51217
HR,51218
HR,51219
HR,51221
HR,51222
HR,51223
HR,51224
HR,51225
HR,51226
HR,51227
HR,51241
HR,51242
HR,51243
HR,51244
HR,51250
HR,51251
HR,51252
HR,51253
HR,51260
HR,51261
HR,51262
HR,51263
HR,51264
HR,51265
HR,51266
HR,51280
HR,51281
HR,51300
HR,51301
HR,51302
HR,51303
HR,51304
HR,51305
HR,51306
HR,51307
HR,51311
HR,51312
HR,51313
HR,51314
HR,51315
HR,51316
HR,51317
HR,51321
HR,51322
HR,51323
HR,51324
HR,51325
HR,51326
HR,51327
HR,51328
HR,51329
HR,51410
HR,51413
HR,51414
HR,51415
HR,51417
HR,51418
HR,51500
HR,51511
HR,51512
HR,51513
HR,51514
HR,51515
HR,51516
HR,51517
HR,51521
HR,51522
HR,51523
HR,51542
HR,51550
HR,51551
HR,51552
HR,51553
HR,51554
HR,51555
HR,51556
HR,51557
HR,51559
HR,51561
HR,51562
HR,51564
HR,52000
HR,52100
HR,52102
HR,52103
HR,52104
HR,52105
HR,52106
HR,52107
HR,52108
HR,52109
HR,52203
HR,52204
HR,52206
HR,52207
HR,52208
HR,52210
HR,52211
HR,52212
HR,52215
HR,52216
HR,52220
HR,52221
HR,52222
HR,52223
HR,52224
HR,52230
HR,52231
HR,52232
HR,52233
HR,52234
HR,52240
HR,52332
HR,52333
HR,52341
HR,52342
HR,52352
HR,52402
HR,52403
HR,52404
HR,52420
HR,52421
HR,52422
