postcode,area_source_id,relationship_type,is_primary
1010,cy:locality:lefkosia,served_by,true
1011,cy:locality:lefkosia,served_by,true
1015,cy:locality:lefkosia,served_by,true
1016,cy:locality:lefkosia,served_by,true
1017,cy:locality:lefkosia,served_by,true
1020,cy:locality:lefkosia-kaimakli,served_by,true
1021,cy:locality:lefkosia-kaimakli,served_by,true
1022,cy:locality:lefkosia-kaimakli,served_by,true
1025,cy:locality:lefkosia-kaimakli,served_by,true
1026,cy:locality:lefkosia-kaimakli,served_by,true
1027,cy:locality:lefkosia-kaimakli,served_by,true
1028,cy:locality:lefkosia-kaimakli,served_by,true
1035,cy:locality:lefkosia-pallouriotissa,served_by,true
1036,cy:locality:lefkosia-kaimakli,served_by,true
1036,cy:locality:lefkosia-pallouriotissa,served_by,false
1037,cy:locality:lefkosia-kaimakli,served_by,true
1040,cy:locality:lefkosia-pallouriotissa,served_by,true
1041,cy:locality:lefkosia-pallouriotissa,served_by,true
1042,cy:locality:lefkosia-pallouriotissa,served_by,true
1045,cy:locality:lefkosia-pallouriotissa,served_by,true
1046,cy:locality:lefkosia-pallouriotissa,served_by,true
1047,cy:locality:lefkosia-pallouriotissa,served_by,true
1048,cy:locality:lefkosia-pallouriotissa,served_by,true
1049,cy:locality:lefkosia-pallouriotissa,served_by,true
1055,cy:locality:lefkosia-lykavittos,served_by,true
1056,cy:locality:lefkosia-lykavittos,served_by,true
1057,cy:locality:lefkosia-lykavittos,served_by,true
1060,cy:locality:lefkosia,served_by,true
1061,cy:locality:lefkosia,served_by,true
1065,cy:locality:lefkosia,served_by,true
1066,cy:locality:lefkosia,served_by,true
1070,cy:locality:lefkosia,served_by,true
1071,cy:locality:lefkosia,served_by,true
1075,cy:locality:lefkosia,served_by,true
1076,cy:locality:lefkosia,served_by,true
1077,cy:locality:lefkosia,served_by,true
1080,cy:locality:lefkosia,served_by,true
1081,cy:locality:lefkosia,served_by,true
1082,cy:locality:lefkosia,served_by,true
1085,cy:locality:lefkosia,served_by,true
1086,cy:locality:lefkosia,served_by,true
1087,cy:locality:lefkosia,served_by,true
1090,cy:locality:lefkosia,served_by,true
1095,cy:locality:lefkosia,served_by,true
1096,cy:locality:lefkosia,served_by,true
1097,cy:locality:lefkosia,served_by,true
1100,cy:locality:lefkosia,served_by,true
1101,cy:locality:lefkosia,served_by,true
1102,cy:locality:lefkosia,served_by,true
1105,cy:locality:lefkosia,served_by,true
1106,cy:locality:lefkosia,served_by,true
1107,cy:locality:lefkosia,served_by,true
1370,cy:locality:anglikos-stratos-lefkosias,served_by,true
1380,cy:locality:elliniki-dynamis-kyprou-el-dy-k,served_by,true
2000,cy:locality:strovolos,served_by,true
2001,cy:locality:strovolos,served_by,true
2002,cy:locality:strovolos,served_by,true
2003,cy:locality:strovolos,served_by,true
2006,cy:locality:strovolos,served_by,true
2007,cy:locality:strovolos,served_by,true
2008,cy:locality:strovolos,served_by,true
2011,cy:locality:strovolos,served_by,true
2012,cy:locality:strovolos,served_by,true
2013,cy:locality:strovolos,served_by,true
2014,cy:locality:strovolos,served_by,true
2015,cy:locality:strovolos,served_by,true
2018,cy:locality:strovolos,served_by,true
2019,cy:locality:strovolos,served_by,true
2020,cy:locality:strovolos,served_by,true
2021,cy:locality:strovolos,served_by,true
2023,cy:locality:strovolos,served_by,true
2024,cy:locality:strovolos,served_by,true
2025,cy:locality:strovolos,served_by,true
2027,cy:locality:strovolos,served_by,true
2028,cy:locality:strovolos,served_by,true
2029,cy:locality:strovolos,served_by,true
2030,cy:locality:strovolos,served_by,true
2031,cy:locality:strovolos,served_by,true
2032,cy:locality:strovolos,served_by,true
2033,cy:locality:strovolos,served_by,true
2034,cy:locality:strovolos,served_by,true
2035,cy:locality:strovolos,served_by,true
2036,cy:locality:strovolos,served_by,true
2037,cy:locality:strovolos,served_by,true
2038,cy:locality:strovolos,served_by,true
2039,cy:locality:strovolos,served_by,true
2040,cy:locality:strovolos,served_by,true
2042,cy:locality:strovolos,served_by,true
2043,cy:locality:strovolos,served_by,true
2044,cy:locality:strovolos,served_by,true
2045,cy:locality:strovolos,served_by,true
2046,cy:locality:strovolos,served_by,true
2047,cy:locality:strovolos,served_by,true
2048,cy:locality:strovolos,served_by,true
2049,cy:locality:strovolos,served_by,true
2050,cy:locality:strovolos,served_by,true
2051,cy:locality:strovolos,served_by,true
2052,cy:locality:strovolos,served_by,true
2054,cy:locality:strovolos,served_by,true
2055,cy:locality:strovolos,served_by,true
2057,cy:locality:strovolos,served_by,true
2058,cy:locality:strovolos,served_by,true
2059,cy:locality:strovolos,served_by,true
2060,cy:locality:strovolos,served_by,true
2062,cy:locality:strovolos,served_by,true
2063,cy:locality:strovolos,served_by,true
2064,cy:locality:strovolos,served_by,true
2066,cy:locality:strovolos,served_by,true
2100,cy:locality:aglantzia,served_by,true
2101,cy:locality:aglantzia,served_by,true
2102,cy:locality:aglantzia,served_by,true
2103,cy:locality:aglantzia,served_by,true
