source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
cz:region:jihocesky-kraj,CZ,region,Jihočeský kraj,,31,,1,,
cz:region:jihomoravsky-kraj,CZ,region,Jihomoravský kraj,,64,,1,,
cz:region:karlovarsky-kraj,CZ,region,Karlovarský kraj,,41,,1,,
cz:region:kraj-vysocina,CZ,region,Kraj Vysočina,,63,,1,,
cz:region:kralovehradecky-kraj,CZ,region,Královéhradecký kraj,,52,,1,,
cz:region:liberecky-kraj,CZ,region,Liberecký kraj,,51,,1,,
cz:region:moravskoslezsky-kraj,CZ,region,Moravskoslezský kraj,,80,,1,,
cz:region:olomoucky-kraj,CZ,region,Olomoucký kraj,,71,,1,,
cz:region:pardubicky-kraj,CZ,region,Pardubický kraj,,53,,1,,
cz:region:plzensky-kraj,CZ,region,Plzeňský kraj,,32,,1,,
cz:capital_city:praha-hlavni-mesto,CZ,capital_city,"Praha, Hlavní město",,10,,1,,
cz:region:stredocesky-kraj,CZ,region,Středočeský kraj,,20,,1,,
cz:region:ustecky-kraj,CZ,region,Ústecký kraj,,42,,1,,
cz:region:zlinsky-kraj,CZ,region,Zlínský kraj,,72,,1,,
cz:district:benesov,CZ,district,Benešov,,201,cz:region:stredocesky-kraj,2,,
cz:district:beroun,CZ,district,Beroun,,202,cz:region:stredocesky-kraj,2,,
cz:district:blansko,CZ,district,Blansko,,641,cz:region:jihomoravsky-kraj,2,,
cz:district:breclav,CZ,district,Břeclav,,644,cz:region:jihomoravsky-kraj,2,,
cz:district:brno-mesto,CZ,district,Brno-město,,642,cz:region:jihomoravsky-kraj,2,,
cz:district:brno-venkov,CZ,district,Brno-venkov,,643,cz:region:jihomoravsky-kraj,2,,
cz:district:bruntal,CZ,district,Bruntál,,801,cz:region:moravskoslezsky-kraj,2,,
cz:district:ceska-lipa,CZ,district,Česká Lípa,,511,cz:region:liberecky-kraj,2,,
cz:district:ceske-budejovice,CZ,district,České Budějovice,,311,cz:region:jihocesky-kraj,2,,
cz:district:cesky-krumlov,CZ,district,Český Krumlov,,312,cz:region:jihocesky-kraj,2,,
cz:district:cheb,CZ,district,Cheb,,411,cz:region:karlovarsky-kraj,2,,
cz:district:chomutov,CZ,district,Chomutov,,422,cz:region:ustecky-kraj,2,,
cz:district:chrudim,CZ,district,Chrudim,,531,cz:region:pardubicky-kraj,2,,
cz:district:decin,CZ,district,Děčín,,421,cz:region:ustecky-kraj,2,,
cz:district:domazlice,CZ,district,Domažlice,,321,cz:region:plzensky-kraj,2,,
cz:district:frydek-mistek,CZ,district,Frýdek-Místek,,802,cz:region:moravskoslezsky-kraj,2,,
cz:district:havlickuv-brod,CZ,district,Havlíčkův Brod,,631,cz:region:kraj-vysocina,2,,
cz:district:hodonin,CZ,district,Hodonín,,645,cz:region:jihomoravsky-kraj,2,,
cz:district:hradec-kralove,CZ,district,Hradec Králové,,521,cz:region:kralovehradecky-kraj,2,,
cz:district:jablonec-nad-nisou,CZ,district,Jablonec nad Nisou,,512,cz:region:liberecky-kraj,2,,
cz:district:jesenik,CZ,district,Jeseník,,711,cz:region:olomoucky-kraj,2,,
cz:district:jicin,CZ,district,Jičín,,522,cz:region:kralovehradecky-kraj,2,,
cz:district:jihlava,CZ,district,Jihlava,,632,cz:region:kraj-vysocina,2,,
cz:district:jindrichuv-hradec,CZ,district,Jindřichův Hradec,,313,cz:region:jihocesky-kraj,2,,
cz:district:karlovy-vary,CZ,district,Karlovy Vary,,412,cz:region:karlovarsky-kraj,2,,
cz:district:karvina,CZ,district,Karviná,,803,cz:region:moravskoslezsky-kraj,2,,
cz:district:kladno,CZ,district,Kladno,,203,cz:region:stredocesky-kraj,2,,
cz:district:klatovy,CZ,district,Klatovy,,322,cz:region:plzensky-kraj,2,,
cz:district:kolin,CZ,district,Kolín,,204,cz:region:stredocesky-kraj,2,,
cz:district:kromeriz,CZ,district,Kroměříž,,721,cz:region:zlinsky-kraj,2,,
cz:district:kutna-hora,CZ,district,Kutná Hora,,205,cz:region:stredocesky-kraj,2,,
cz:district:liberec,CZ,district,Liberec,,513,cz:region:liberecky-kraj,2,,
cz:district:litomerice,CZ,district,Litoměřice,,423,cz:region:ustecky-kraj,2,,
cz:district:louny,CZ,district,Louny,,424,cz:region:ustecky-kraj,2,,
cz:district:melnik,CZ,district,Mělník,,206,cz:region:stredocesky-kraj,2,,
cz:district:mlada-boleslav,CZ,district,Mladá Boleslav,,207,cz:region:stredocesky-kraj,2,,
cz:district:most,CZ,district,Most,,425,cz:region:ustecky-kraj,2,,
cz:district:nachod,CZ,district,Náchod,,523,cz:region:kralovehradecky-kraj,2,,
cz:district:novy-jicin,CZ,district,Nový Jičín,,804,cz:region:moravskoslezsky-kraj,2,,
cz:district:nymburk,CZ,district,Nymburk,,208,cz:region:stredocesky-kraj,2,,
cz:district:olomouc,CZ,district,Olomouc,,712,cz:region:olomoucky-kraj,2,,
cz:district:opava,CZ,district,Opava,,805,cz:region:moravskoslezsky-kraj,2,,
cz:district:ostrava-mesto,CZ,district,Ostrava-město,,806,cz:region:moravskoslezsky-kraj,2,,
cz:district:pardubice,CZ,district,Pardubice,,532,cz:region:pardubicky-kraj,2,,
cz:district:pelhrimov,CZ,district,Pelhřimov,,633,cz:region:kraj-vysocina,2,,
cz:district:pisek,CZ,district,Písek,,314,cz:region:jihocesky-kraj,2,,
cz:district:plzen-jih,CZ,district,Plzeň-jih,,324,cz:region:plzensky-kraj,2,,
cz:district:plzen-mesto,CZ,district,Plzeň-město,,323,cz:region:plzensky-kraj,2,,
cz:district:plzen-sever,CZ,district,Plzeň-sever,,325,cz:region:plzensky-kraj,2,,
cz:district:prachatice,CZ,district,Prachatice,,315,cz:region:jihocesky-kraj,2,,
cz:district:praha-vychod,CZ,district,Praha-východ,,209,cz:region:stredocesky-kraj,2,,
cz:district:praha-zapad,CZ,district,Praha-západ,,20A,cz:region:stredocesky-kraj,2,,
cz:district:prerov,CZ,district,Přerov,,714,cz:region:olomoucky-kraj,2,,
cz:district:pribram,CZ,district,Příbram,,20B,cz:region:stredocesky-kraj,2,,
cz:district:prostejov,CZ,district,Prostějov,,713,cz:region:olomoucky-kraj,2,,
cz:district:rakovnik,CZ,district,Rakovník,,20C,cz:region:stredocesky-kraj,2,,
cz:district:rokycany,CZ,district,Rokycany,,326,cz:region:plzensky-kraj,2,,
cz:district:rychnov-nad-kneznou,CZ,district,Rychnov nad Kněžnou,,524,cz:region:kralovehradecky-kraj,2,,
cz:district:semily,CZ,district,Semily,,514,cz:region:liberecky-kraj,2,,
cz:district:sokolov,CZ,district,Sokolov,,413,cz:region:karlovarsky-kraj,2,,
cz:district:strakonice,CZ,district,Strakonice,,316,cz:region:jihocesky-kraj,2,,
cz:district:sumperk,CZ,district,Šumperk,,715,cz:region:olomoucky-kraj,2,,
cz:district:svitavy,CZ,district,Svitavy,,533,cz:region:pardubicky-kraj,2,,
cz:district:tabor,CZ,district,Tábor,,317,cz:region:jihocesky-kraj,2,,
cz:district:tachov,CZ,district,Tachov,,327,cz:region:plzensky-kraj,2,,
cz:district:teplice,CZ,district,Teplice,,426,cz:region:ustecky-kraj,2,,
cz:district:trebic,CZ,district,Třebíč,,634,cz:region:kraj-vysocina,2,,
cz:district:trutnov,CZ,district,Trutnov,,525,cz:region:kralovehradecky-kraj,2,,
cz:district:uherske-hradiste,CZ,district,Uherské Hradiště,,722,cz:region:zlinsky-kraj,2,,
cz:district:usti-nad-labem,CZ,district,Ústí nad Labem,,427,cz:region:ustecky-kraj,2,,
cz:district:usti-nad-orlici,CZ,district,Ústí nad Orlicí,,534,cz:region:pardubicky-kraj,2,,
cz:district:vsetin,CZ,district,Vsetín,,723,cz:region:zlinsky-kraj,2,,
cz:district:vyskov,CZ,district,Vyškov,,646,cz:region:jihomoravsky-kraj,2,,
cz:district:zdar-nad-sazavou,CZ,district,Žďár nad Sázavou,,635,cz:region:kraj-vysocina,2,,
cz:district:zlin,CZ,district,Zlín,,724,cz:region:zlinsky-kraj,2,,
cz:district:znojmo,CZ,district,Znojmo,,647,cz:region:jihomoravsky-kraj,2,,
