source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
cd:province:kongo-central,CD,province,Kongo Central,,BC,,1,,
cd:province:bas-uele,CD,province,Bas-Uélé,,BU,,1,,
cd:province:equateur,CD,province,Équateur,,EQ,,1,,
cd:province:haut-katanga,CD,province,Haut-Katanga,,HK,,1,,
cd:province:haut-lomami,CD,province,Haut-Lomami,,HL,,1,,
cd:province:haut-uele,CD,province,Haut-Uélé,,HU,,1,,
cd:province:ituri,CD,province,Ituri,,IT,,1,,
cd:province:kasai-central,CD,province,Kasaï Central,,KC,,1,,
cd:province:kasai-oriental,CD,province,Kasaï Oriental,,KE,,1,,
cd:province:kwango,CD,province,Kwango,,KG,,1,,
cd:province:kwilu,CD,province,Kwilu,,KL,,1,,
cd:province:kinshasa,CD,province,Kinshasa,,KN,,1,,
cd:province:kasai,CD,province,Kasaï,,KS,,1,,
cd:province:lomami,CD,province,Lomami,,LO,,1,,
cd:province:lualaba,CD,province,Lualaba,,LU,,1,,
cd:province:maniema,CD,province,Maniema,,MA,,1,,
cd:province:mai-ndombe,CD,province,Mai-Ndombe,,MN,,1,,
cd:province:mongala,CD,province,Mongala,,MO,,1,,
cd:province:nord-kivu,CD,province,Nord-Kivu,,NK,,1,,
cd:province:nord-ubangi,CD,province,Nord-Ubangi,,NU,,1,,
cd:province:sankuru,CD,province,Sankuru,,SA,,1,,
cd:province:sud-kivu,CD,province,Sud-Kivu,,SK,,1,,
cd:province:sud-ubangi,CD,province,Sud-Ubangi,,SU,,1,,
cd:province:tanganyika,CD,province,Tanganyika,,TA,,1,,
cd:province:tshopo,CD,province,Tshopo,,TO,,1,,
cd:province:tshuapa,CD,province,Tshuapa,,TU,,1,,
