postcode,area_source_id,relationship_type,is_primary
0800,dk:municipality:hoje-taastrup,served_by,true
0900,dk:municipality:copenhagen,served_by,true
0917,dk:municipality:brondby,served_by,true
0960,dk:municipality:copenhagen,served_by,true
0999,dk:municipality:copenhagen,served_by,true
1001,dk:municipality:copenhagen,served_by,true
1002,dk:municipality:copenhagen,served_by,true
1003,dk:municipality:copenhagen,served_by,true
1004,dk:municipality:copenhagen,served_by,true
1005,dk:municipality:copenhagen,served_by,true
1006,dk:municipality:copenhagen,served_by,true
1007,dk:municipality:copenhagen,served_by,true
1008,dk:municipality:copenhagen,served_by,true
1009,dk:municipality:copenhagen,served_by,true
1010,dk:municipality:copenhagen,served_by,true
1011,dk:municipality:copenhagen,served_by,true
1012,dk:municipality:copenhagen,served_by,true
1013,dk:municipality:copenhagen,served_by,true
1014,dk:municipality:copenhagen,served_by,true
1015,dk:municipality:copenhagen,served_by,true
1016,dk:municipality:copenhagen,served_by,true
1017,dk:municipality:copenhagen,served_by,true
1018,dk:municipality:copenhagen,served_by,true
1019,dk:municipality:copenhagen,served_by,true
1020,dk:municipality:copenhagen,served_by,true
1021,dk:municipality:copenhagen,served_by,true
1022,dk:municipality:copenhagen,served_by,true
1023,dk:municipality:copenhagen,served_by,true
1024,dk:municipality:copenhagen,served_by,true
1025,dk:municipality:copenhagen,served_by,true
1026,dk:municipality:copenhagen,served_by,true
1050,dk:municipality:copenhagen,served_by,true
1051,dk:municipality:copenhagen,served_by,true
1052,dk:municipality:copenhagen,served_by,true
1053,dk:municipality:copenhagen,served_by,true
1054,dk:municipality:copenhagen,served_by,true
1055,dk:municipality:copenhagen,served_by,true
1056,dk:municipality:copenhagen,served_by,true
1057,dk:municipality:copenhagen,served_by,true
1058,dk:municipality:copenhagen,served_by,true
1059,dk:municipality:copenhagen,served_by,true
1060,dk:municipality:copenhagen,served_by,true
1061,dk:municipality:copenhagen,served_by,true
1062,dk:municipality:copenhagen,served_by,true
1063,dk:municipality:copenhagen,served_by,true
1064,dk:municipality:copenhagen,served_by,true
1065,dk:municipality:copenhagen,served_by,true
1066,dk:municipality:copenhagen,served_by,true
1067,dk:municipality:copenhagen,served_by,true
1068,dk:municipality:copenhagen,served_by,true
1069,dk:municipality:copenhagen,served_by,true
1070,dk:municipality:copenhagen,served_by,true
1071,dk:municipality:copenhagen,served_by,true
1072,dk:municipality:copenhagen,served_by,true
1073,dk:municipality:copenhagen,served_by,true
1074,dk:municipality:copenhagen,served_by,true
1092,dk:municipality:copenhagen,served_by,true
1093,dk:municipality:copenhagen,served_by,true
1095,dk:municipality:copenhagen,served_by,true
1098,dk:municipality:copenhagen,served_by,true
1100,dk:municipality:copenhagen,served_by,true
1101,dk:municipality:copenhagen,served_by,true
1102,dk:municipality:copenhagen,served_by,true
1103,dk:municipality:copenhagen,served_by,true
1104,dk:municipality:copenhagen,served_by,true
1105,dk:municipality:copenhagen,served_by,true
1106,dk:municipality:copenhagen,served_by,true
1107,dk:municipality:copenhagen,served_by,true
1110,dk:municipality:copenhagen,served_by,true
1111,dk:municipality:copenhagen,served_by,true
1112,dk:municipality:copenhagen,served_by,true
1113,dk:municipality:copenhagen,served_by,true
1114,dk:municipality:copenhagen,served_by,true
1115,dk:municipality:copenhagen,served_by,true
1116,dk:municipality:copenhagen,served_by,true
1117,dk:municipality:copenhagen,served_by,true
1118,dk:municipality:copenhagen,served_by,true
1119,dk:municipality:copenhagen,served_by,true
1120,dk:municipality:copenhagen,served_by,true
1121,dk:municipality:copenhagen,served_by,true
1122,dk:municipality:copenhagen,served_by,true
1123,dk:municipality:copenhagen,served_by,true
1124,dk:municipality:copenhagen,served_by,true
1125,dk:municipality:copenhagen,served_by,true
1126,dk:municipality:copenhagen,served_by,true
1127,dk:municipality:copenhagen,served_by,true
1128,dk:municipality:copenhagen,served_by,true
1129,dk:municipality:copenhagen,served_by,true
1130,dk:municipality:copenhagen,served_by,true
1131,dk:municipality:copenhagen,served_by,true
1140,dk:municipality:copenhagen,served_by,true
1147,dk:municipality:copenhagen,served_by,true
1148,dk:municipality:copenhagen,served_by,true
1150,dk:municipality:copenhagen,served_by,true
1151,dk:municipality:copenhagen,served_by,true
1152,dk:municipality:copenhagen,served_by,true
1153,dk:municipality:copenhagen,served_by,true
1154,dk:municipality:copenhagen,served_by,true
1155,dk:municipality:copenhagen,served_by,true
1156,dk:municipality:copenhagen,served_by,true
1157,dk:municipality:copenhagen,served_by,true
1158,dk:municipality:copenhagen,served_by,true
1159,dk:municipality:copenhagen,served_by,true
1160,dk:municipality:copenhagen,served_by,true
1161,dk:municipality:copenhagen,served_by,true
1162,dk:municipality:copenhagen,served_by,true
1164,dk:municipality:copenhagen,served_by,true
1165,dk:municipality:copenhagen,served_by,true
1166,dk:municipality:copenhagen,served_by,true
1167,dk:municipality:copenhagen,served_by,true
1168,dk:municipality:copenhagen,served_by,true
1169,dk:municipality:copenhagen,served_by,true
1170,dk:municipality:copenhagen,served_by,true
1171,dk:municipality:copenhagen,served_by,true
1172,dk:municipality:copenhagen,served_by,true
1173,dk:municipality:copenhagen,served_by,true
1174,dk:municipality:copenhagen,served_by,true
1175,dk:municipality:copenhagen,served_by,true
1200,dk:municipality:copenhagen,served_by,true
1201,dk:municipality:copenhagen,served_by,true
1202,dk:municipality:copenhagen,served_by,true
1203,dk:municipality:copenhagen,served_by,true
1204,dk:municipality:copenhagen,served_by,true
1205,dk:municipality:copenhagen,served_by,true
1206,dk:municipality:copenhagen,served_by,true
1207,dk:municipality:copenhagen,served_by,true
1208,dk:municipality:copenhagen,served_by,true
1209,dk:municipality:copenhagen,served_by,true
1210,dk:municipality:copenhagen,served_by,true
1211,dk:municipality:copenhagen,served_by,true
1212,dk:municipality:copenhagen,served_by,true
1213,dk:municipality:copenhagen,served_by,true
1214,dk:municipality:copenhagen,served_by,true
1215,dk:municipality:copenhagen,served_by,true
1216,dk:municipality:copenhagen,served_by,true
1217,dk:municipality:copenhagen,served_by,true
1218,dk:municipality:copenhagen,served_by,true
1219,dk:municipality:copenhagen,served_by,true
1220,dk:municipality:copenhagen,served_by,true
1221,dk:municipality:copenhagen,served_by,true
1240,dk:municipality:copenhagen,served_by,true
1250,dk:municipality:copenhagen,served_by,true
1251,dk:municipality:copenhagen,served_by,true
1252,dk:municipality:copenhagen,served_by,true
1253,dk:municipality:copenhagen,served_by,true
1254,dk:municipality:copenhagen,served_by,true
1255,dk:municipality:copenhagen,served_by,true
1256,dk:municipality:copenhagen,served_by,true
1257,dk:municipality:copenhagen,served_by,true
1259,dk:municipality:copenhagen,served_by,true
1260,dk:municipality:copenhagen,served_by,true
1261,dk:municipality:copenhagen,served_by,true
1263,dk:municipality:copenhagen,served_by,true
1264,dk:municipality:copenhagen,served_by,true
1265,dk:municipality:copenhagen,served_by,true
1266,dk:municipality:copenhagen,served_by,true
1267,dk:municipality:copenhagen,served_by,true
1268,dk:municipality:copenhagen,served_by,true
1270,dk:municipality:copenhagen,served_by,true
1271,dk:municipality:copenhagen,served_by,true
1300,dk:municipality:copenhagen,served_by,true
1301,dk:municipality:copenhagen,served_by,true
1302,dk:municipality:copenhagen,served_by,true
1303,dk:municipality:copenhagen,served_by,true
1304,dk:municipality:copenhagen,served_by,true
1306,dk:municipality:copenhagen,served_by,true
1307,dk:municipality:copenhagen,served_by,true
1308,dk:municipality:copenhagen,served_by,true
1309,dk:municipality:copenhagen,served_by,true
1310,dk:municipality:copenhagen,served_by,true
1311,dk:municipality:copenhagen,served_by,true
