source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
dj:region:ali-sabieh,DJ,region,Ali Sabieh,,AS,,1,,
dj:region:arta,DJ,region,Arta,,AR,,1,,
dj:region:dikhil,DJ,region,Dikhil,,DI,,1,,
dj:city:djibouti,DJ,city,Djibouti,,DJ,,1,,
dj:region:obock,DJ,region,Obock,,OB,,1,,
dj:region:tadjourah,DJ,region,Tadjourah,,TA,,1,,
dj:subprefecture:ali-sabieh,DJ,subprefecture,Ali Sabieh,,,dj:region:ali-sabieh,2,,
dj:subprefecture:holhol,DJ,subprefecture,Holhol,,,dj:region:ali-sabieh,2,,
dj:subprefecture:ali-adde,DJ,subprefecture,Ali Adde,,,dj:region:ali-sabieh,2,,
dj:subprefecture:arta,DJ,subprefecture,Arta,,,dj:region:arta,2,,
dj:subprefecture:lac-assal,DJ,subprefecture,Lac Assal,,,dj:region:arta,2,,
dj:subprefecture:dikhil,DJ,subprefecture,Dikhil,,,dj:region:dikhil,2,,
dj:subprefecture:yoboki,DJ,subprefecture,Yoboki,,,dj:region:dikhil,2,,
dj:subprefecture:as-eyla,DJ,subprefecture,As Eyla,,,dj:region:dikhil,2,,
dj:subprefecture:galafi,DJ,subprefecture,Galafi,,,dj:region:dikhil,2,,
dj:subprefecture:djibouti,DJ,subprefecture,Djibouti,,,dj:city:djibouti,2,,
dj:subprefecture:obock,DJ,subprefecture,Obock,,,dj:region:obock,2,,
dj:subprefecture:moulhoule,DJ,subprefecture,Moulhoule,,,dj:region:obock,2,,
dj:subprefecture:dadda-to,DJ,subprefecture,Dadda'to,,,dj:region:obock,2,,
dj:subprefecture:khor-angar,DJ,subprefecture,Khor Angar,,,dj:region:obock,2,,
dj:subprefecture:tadjoura,DJ,subprefecture,Tadjoura,,,dj:region:tadjourah,2,,
dj:subprefecture:balho,DJ,subprefecture,Balho,,,dj:region:tadjourah,2,,
dj:subprefecture:dorra,DJ,subprefecture,Dorra,,,dj:region:tadjourah,2,,
dj:subprefecture:adailou,DJ,subprefecture,Adailou,,,dj:region:tadjourah,2,,
dj:subprefecture:randa,DJ,subprefecture,Randa,,,dj:region:tadjourah,2,,
dj:subprefecture:mousa-ali,DJ,subprefecture,Mousa Ali,,,dj:region:tadjourah,2,,
