source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ec:province:azuay,EC,province,Azuay,,A,,1,,
ec:province:bolivar,EC,province,Bolívar,,B,,1,,
ec:province:canar,EC,province,Cañar,,F,,1,,
ec:province:carchi,EC,province,Carchi,,C,,1,,
ec:province:chimborazo,EC,province,Chimborazo,,H,,1,,
ec:province:cotopaxi,EC,province,Cotopaxi,,X,,1,,
ec:province:el-oro,EC,province,El Oro,,O,,1,,
ec:province:esmeraldas,EC,province,Esmeraldas,,E,,1,,
ec:province:galapagos,EC,province,Galápagos,,W,,1,,
ec:province:guayas,EC,province,Guayas,,G,,1,,
ec:province:imbabura,EC,province,Imbabura,,I,,1,,
ec:province:loja,EC,province,Loja,,L,,1,,
ec:province:los-rios,EC,province,Los Ríos,,R,,1,,
ec:province:manabi,EC,province,Manabí,,M,,1,,
ec:province:morona-santiago,EC,province,Morona-Santiago,,S,,1,,
ec:province:napo,EC,province,Napo,,N,,1,,
ec:province:orellana,EC,province,Orellana,,D,,1,,
ec:province:pastaza,EC,province,Pastaza,,Y,,1,,
ec:province:pichincha,EC,province,Pichincha,,P,,1,,
ec:province:santa-elena,EC,province,Santa Elena,,SE,,1,,
ec:province:santo-domingo-de-los-tsachilas,EC,province,Santo Domingo de los Tsáchilas,,SD,,1,,
ec:province:sucumbios,EC,province,Sucumbíos,,U,,1,,
ec:province:tungurahua,EC,province,Tungurahua,,T,,1,,
ec:province:zamora-chinchipe,EC,province,Zamora Chinchipe,,Z,,1,,
ec:canton:camilo-ponce-enriquez,EC,canton,Camilo Ponce Enríquez,,,ec:province:azuay,2,,
ec:canton:chordeleg,EC,canton,Chordeleg,,,ec:province:azuay,2,,
ec:canton:cuenca,EC,canton,Cuenca,,,ec:province:azuay,2,,
ec:canton:el-pan,EC,canton,El Pan,,,ec:province:azuay,2,,
ec:canton:giron,EC,canton,Girón,,,ec:province:azuay,2,,
ec:canton:guachapala,EC,canton,Guachapala,,,ec:province:azuay,2,,
ec:canton:gualaceo,EC,canton,Gualaceo,,,ec:province:azuay,2,,
ec:canton:nabon,EC,canton,Nabón,,,ec:province:azuay,2,,
ec:canton:ona,EC,canton,Oña,,,ec:province:azuay,2,,
ec:canton:paute,EC,canton,Paute,,,ec:province:azuay,2,,
ec:canton:pucara,EC,canton,Pucará,,,ec:province:azuay,2,,
ec:canton:san-fernando,EC,canton,San Fernando,,,ec:province:azuay,2,,
ec:canton:santa-isabel,EC,canton,Santa Isabel,,,ec:province:azuay,2,,
ec:canton:sevilla-de-oro,EC,canton,Sevilla de Oro,,,ec:province:azuay,2,,
ec:canton:sigsig,EC,canton,Sígsig,,,ec:province:azuay,2,,
ec:canton:caluma,EC,canton,Caluma,,,ec:province:bolivar,2,,
ec:canton:chillanes,EC,canton,Chillanes,,,ec:province:bolivar,2,,
ec:canton:chimbo,EC,canton,Chimbo,,,ec:province:bolivar,2,,
ec:canton:echeandia,EC,canton,Echeandía,,,ec:province:bolivar,2,,
ec:canton:guaranda,EC,canton,Guaranda,,,ec:province:bolivar,2,,
ec:canton:las-naves,EC,canton,Las Naves,,,ec:province:bolivar,2,,
ec:canton:san-miguel,EC,canton,San Miguel,,,ec:province:bolivar,2,,
ec:canton:azogues,EC,canton,Azogues,,,ec:province:canar,2,,
ec:canton:biblian,EC,canton,Biblián,,,ec:province:canar,2,,
ec:canton:canar,EC,canton,Cañar,,,ec:province:canar,2,,
ec:canton:deleg,EC,canton,Déleg,,,ec:province:canar,2,,
ec:canton:el-tambo,EC,canton,El Tambo,,,ec:province:canar,2,,
ec:canton:la-troncal,EC,canton,La Troncal,,,ec:province:canar,2,,
ec:canton:suscal,EC,canton,Suscal,,,ec:province:canar,2,,
ec:canton:bolivar,EC,canton,Bolívar,,,ec:province:carchi,2,,
ec:canton:espejo,EC,canton,Espejo,,,ec:province:carchi,2,,
ec:canton:mira,EC,canton,Mira,,,ec:province:carchi,2,,
ec:canton:montufar,EC,canton,Montúfar,,,ec:province:carchi,2,,
ec:canton:san-pedro-de-huaca,EC,canton,San Pedro de Huaca,,,ec:province:carchi,2,,
ec:canton:tulcan,EC,canton,Tulcán,,,ec:province:carchi,2,,
ec:canton:alausi,EC,canton,Alausí,,,ec:province:chimborazo,2,,
ec:canton:chambo,EC,canton,Chambo,,,ec:province:chimborazo,2,,
ec:canton:chunchi,EC,canton,Chunchi,,,ec:province:chimborazo,2,,
ec:canton:colta,EC,canton,Colta,,,ec:province:chimborazo,2,,
ec:canton:cumanda,EC,canton,Cumandá,,,ec:province:chimborazo,2,,
ec:canton:guamote,EC,canton,Guamote,,,ec:province:chimborazo,2,,
ec:canton:guano,EC,canton,Guano,,,ec:province:chimborazo,2,,
ec:canton:pallatanga,EC,canton,Pallatanga,,,ec:province:chimborazo,2,,
ec:canton:penipe,EC,canton,Penipe,,,ec:province:chimborazo,2,,
ec:canton:riobamba,EC,canton,Riobamba,,,ec:province:chimborazo,2,,
ec:canton:la-mana,EC,canton,La Maná,,,ec:province:cotopaxi,2,,
ec:canton:latacunga,EC,canton,Latacunga,,,ec:province:cotopaxi,2,,
ec:canton:pangua,EC,canton,Pangua,,,ec:province:cotopaxi,2,,
ec:canton:pujili,EC,canton,Pujilí,,,ec:province:cotopaxi,2,,
ec:canton:salcedo,EC,canton,Salcedo,,,ec:province:cotopaxi,2,,
ec:canton:saquisili,EC,canton,Saquisilí,,,ec:province:cotopaxi,2,,
ec:canton:sigchos,EC,canton,Sigchos,,,ec:province:cotopaxi,2,,
ec:canton:arenillas,EC,canton,Arenillas,,,ec:province:el-oro,2,,
ec:canton:atahualpa,EC,canton,Atahualpa,,,ec:province:el-oro,2,,
ec:canton:balsas,EC,canton,Balsas,,,ec:province:el-oro,2,,
ec:canton:chilla,EC,canton,Chilla,,,ec:province:el-oro,2,,
ec:canton:el-guabo,EC,canton,El Guabo,,,ec:province:el-oro,2,,
ec:canton:huaquillas,EC,canton,Huaquillas,,,ec:province:el-oro,2,,
ec:canton:las-lajas,EC,canton,Las Lajas,,,ec:province:el-oro,2,,
ec:canton:machala,EC,canton,Machala,,,ec:province:el-oro,2,,
ec:canton:marcabeli,EC,canton,Marcabelí,,,ec:province:el-oro,2,,
ec:canton:pasaje,EC,canton,Pasaje,,,ec:province:el-oro,2,,
ec:canton:pinas,EC,canton,Piñas,,,ec:province:el-oro,2,,
ec:canton:portovelo,EC,canton,Portovelo,,,ec:province:el-oro,2,,
ec:canton:santa-rosa,EC,canton,Santa Rosa,,,ec:province:el-oro,2,,
ec:canton:zaruma,EC,canton,Zaruma,,,ec:province:el-oro,2,,
ec:canton:atacames,EC,canton,Atacames,,,ec:province:esmeraldas,2,,
ec:canton:eloy-alfaro,EC,canton,Eloy Alfaro,,,ec:province:esmeraldas,2,,
ec:canton:esmeraldas,EC,canton,Esmeraldas,,,ec:province:esmeraldas,2,,
ec:canton:muisne,EC,canton,Muisne,,,ec:province:esmeraldas,2,,
ec:canton:quininde,EC,canton,Quinindé,,,ec:province:esmeraldas,2,,
ec:canton:rio-verde,EC,canton,Río Verde,,,ec:province:esmeraldas,2,,
ec:canton:san-lorenzo,EC,canton,San Lorenzo,,,ec:province:esmeraldas,2,,
ec:canton:isabela,EC,canton,Isabela,,,ec:province:galapagos,2,,
ec:canton:san-cristobal,EC,canton,San Cristóbal,,,ec:province:galapagos,2,,
