source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sv:department:ahuachapan,SV,department,Ahuachapán,,AH,,1,,
sv:department:cabanas,SV,department,Cabañas,,CA,,1,,
sv:department:chalatenango,SV,department,Chalatenango,,CH,,1,,
sv:department:cuscatlan,SV,department,Cuscatlán,,CU,,1,,
sv:department:la-libertad,SV,department,La Libertad,,LI,,1,,
sv:department:la-paz,SV,department,La Paz,,PA,,1,,
sv:department:la-union,SV,department,La Unión,,UN,,1,,
sv:department:morazan,SV,department,Morazán,,MO,,1,,
sv:department:san-miguel,SV,department,San Miguel,,SM,,1,,
sv:department:san-salvador,SV,department,San Salvador,,SS,,1,,
sv:department:san-vicente,SV,department,San Vicente,,SV,,1,,
sv:department:santa-ana,SV,department,Santa Ana,,SA,,1,,
sv:department:sonsonate,SV,department,Sonsonate,,SO,,1,,
sv:department:usulutan,SV,department,Usulután,,US,,1,,
sv:municipality:northern-ahuachapan,SV,municipality,Northern Ahuachapán,,,sv:department:ahuachapan,2,,
sv:municipality:central-ahuachapan,SV,municipality,Central Ahuachapán,,,sv:department:ahuachapan,2,,
sv:municipality:southern-ahuachapan,SV,municipality,Southern Ahuachapán,,,sv:department:ahuachapan,2,,
sv:municipality:western-cabanas,SV,municipality,Western Cabañas,,,sv:department:cabanas,2,,
sv:municipality:eastern-cabanas,SV,municipality,Eastern Cabañas,,,sv:department:cabanas,2,,
sv:municipality:northern-chalatenango,SV,municipality,Northern Chalatenango,,,sv:department:chalatenango,2,,
sv:municipality:central-chalatenango,SV,municipality,Central Chalatenango,,,sv:department:chalatenango,2,,
sv:municipality:southern-chalatenango,SV,municipality,Southern Chalatenango,,,sv:department:chalatenango,2,,
sv:municipality:northern-cuscatlan,SV,municipality,Northern Cuscatlán,,,sv:department:cuscatlan,2,,
sv:municipality:southern-cuscatlan,SV,municipality,Southern Cuscatlán,,,sv:department:cuscatlan,2,,
sv:municipality:northern-la-libertad,SV,municipality,Northern La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:central-la-libertad,SV,municipality,Central La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:western-la-libertad,SV,municipality,Western La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:eastern-la-libertad,SV,municipality,Eastern La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:coastal-la-libertad,SV,municipality,Coastal La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:southern-la-libertad,SV,municipality,Southern La Libertad,,,sv:department:cuscatlan,2,,
sv:municipality:western-la-paz,SV,municipality,Western La Paz,,,sv:department:cuscatlan,2,,
sv:municipality:central-la-paz,SV,municipality,Central La Paz,,,sv:department:cuscatlan,2,,
sv:municipality:eastern-la-paz,SV,municipality,Eastern La Paz,,,sv:department:cuscatlan,2,,
sv:municipality:northern-la-union,SV,municipality,Northern La Unión,,,sv:department:la-union,2,,
sv:municipality:southern-la-union,SV,municipality,Southern La Unión,,,sv:department:la-union,2,,
sv:municipality:northern-morazan,SV,municipality,Northern Morazán,,,sv:department:morazan,2,,
sv:municipality:southern-morazan,SV,municipality,Southern Morazán,,,sv:department:morazan,2,,
sv:municipality:northern-san-miguel,SV,municipality,Northern San Miguel,,,sv:department:morazan,2,,
sv:municipality:central-san-miguel,SV,municipality,Central San Miguel,,,sv:department:morazan,2,,
sv:municipality:western-san-miguel,SV,municipality,Western San Miguel,,,sv:department:morazan,2,,
sv:municipality:northern-san-salvador,SV,municipality,Northern San Salvador,,,sv:department:san-salvador,2,,
sv:municipality:western-san-salvador,SV,municipality,Western San Salvador,,,sv:department:san-salvador,2,,
sv:municipality:eastern-san-salvador,SV,municipality,Eastern San Salvador,,,sv:department:san-salvador,2,,
sv:municipality:central-san-salvador,SV,municipality,Central San Salvador,,,sv:department:san-salvador,2,,
sv:municipality:southern-san-salvador,SV,municipality,Southern San Salvador,,,sv:department:san-salvador,2,,
sv:municipality:northern-san-vicente,SV,municipality,Northern San Vicente,,,sv:department:san-vicente,2,,
sv:municipality:southern-san-vicente,SV,municipality,Southern San Vicente,,,sv:department:san-vicente,2,,
sv:municipality:northern-santa-ana,SV,municipality,Northern Santa Ana,,,sv:department:santa-ana,2,,
sv:municipality:santa-ana-el-salvador-central-santa-ana,SV,municipality,"[[Santa Ana, El Salvador|Central Santa Ana]]",,,sv:department:santa-ana,2,,
sv:municipality:eastern-santa-ana,SV,municipality,Eastern Santa Ana,,,sv:department:santa-ana,2,,
sv:municipality:western-santa-ana,SV,municipality,Western Santa Ana,,,sv:department:santa-ana,2,,
sv:municipality:northern-sonsonate,SV,municipality,Northern Sonsonate,,,sv:department:sonsonate,2,,
sv:municipality:central-sonsonate,SV,municipality,Central Sonsonate,,,sv:department:sonsonate,2,,
sv:municipality:eastern-sonsonate,SV,municipality,Eastern Sonsonate,,,sv:department:sonsonate,2,,
sv:municipality:acajutla-acajutla-western-sonsonate,SV,municipality,[[Acajutla|Acajutla (Western Sonsonate)]],,,sv:department:sonsonate,2,,
sv:municipality:northern-usulutan,SV,municipality,Northern Usulután,,,sv:department:usulutan,2,,
sv:municipality:eastern-usulutan,SV,municipality,Eastern Usulután,,,sv:department:usulutan,2,,
sv:municipality:western-usulutan,SV,municipality,Western Usulután,,,sv:department:usulutan,2,,
