source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ee:county:harju,EE,county,Harju,,37,,1,,
ee:county:hiiu,EE,county,Hiiu,,39,,1,,
ee:county:ida-viru,EE,county,Ida-Viru,,45,,1,,
ee:county:jarva,EE,county,Järva,,52,,1,,
ee:county:jogeva,EE,county,Jõgeva,,50,,1,,
ee:county:laane,EE,county,Lääne,,56,,1,,
ee:county:laane-viru,EE,county,Lääne-Viru,,60,,1,,
ee:county:parnu,EE,county,Pärnu,,68,,1,,
ee:county:polva,EE,county,Põlva,,64,,1,,
ee:county:rapla,EE,county,Rapla,,71,,1,,
ee:county:saare,EE,county,Saare,,74,,1,,
ee:county:tartu,EE,county,Tartu,,79,,1,,
ee:county:valga,EE,county,Valga,,81,,1,,
ee:county:viljandi,EE,county,Viljandi,,84,,1,,
ee:county:voru,EE,county,Võru,,87,,1,,
ee:rural_municipality:alutaguse,EE,rural_municipality,Alutaguse,,130,ee:county:ida-viru,2,,
ee:rural_municipality:anija,EE,rural_municipality,Anija,,141,ee:county:harju,2,,
ee:rural_municipality:antsla,EE,rural_municipality,Antsla,,142,ee:county:voru,2,,
ee:rural_municipality:elva,EE,rural_municipality,Elva,,171,ee:county:tartu,2,,
ee:rural_municipality:haademeeste,EE,rural_municipality,Häädemeeste,,214,ee:county:parnu,2,,
ee:urban_municipality:haapsalu,EE,urban_municipality,Haapsalu,,184,ee:county:laane,2,,
ee:rural_municipality:haljala,EE,rural_municipality,Haljala,,191,ee:county:laane-viru,2,,
ee:rural_municipality:harku,EE,rural_municipality,Harku,,198,ee:county:harju,2,,
ee:rural_municipality:hiiumaa,EE,rural_municipality,Hiiumaa,,205,ee:county:hiiu,2,,
ee:rural_municipality:jarva,EE,rural_municipality,Järva,,255,ee:county:jarva,2,,
ee:rural_municipality:joelahtme,EE,rural_municipality,Jõelähtme,,245,ee:county:harju,2,,
ee:rural_municipality:jogeva,EE,rural_municipality,Jõgeva,,247,ee:county:jogeva,2,,
ee:rural_municipality:johvi,EE,rural_municipality,Jõhvi,,251,ee:county:ida-viru,2,,
ee:rural_municipality:kadrina,EE,rural_municipality,Kadrina,,272,ee:county:laane-viru,2,,
ee:rural_municipality:kambja,EE,rural_municipality,Kambja,,283,ee:county:tartu,2,,
ee:rural_municipality:kanepi,EE,rural_municipality,Kanepi,,284,ee:county:polva,2,,
ee:rural_municipality:kastre,EE,rural_municipality,Kastre,,291,ee:county:tartu,2,,
ee:rural_municipality:kehtna,EE,rural_municipality,Kehtna,,293,ee:county:rapla,2,,
ee:urban_municipality:keila,EE,urban_municipality,Keila,,296,ee:county:harju,2,,
