country_code,code
SZ,H100
SZ,H102
SZ,H103
SZ,H104
SZ,H105
SZ,H106
SZ,H107
SZ,H108
SZ,H109
SZ,H110
SZ,H111
SZ,H112
SZ,H113
SZ,H114
SZ,H115
SZ,H116
SZ,H117
SZ,H118
SZ,H119
SZ,H120
SZ,H121
SZ,H124
SZ,H125
SZ,H126
SZ,L300
SZ,L301
SZ,L302
SZ,L303
SZ,L304
SZ,L305
SZ,L306
SZ,L307
SZ,L308
SZ,L309
SZ,L310
SZ,L311
SZ,L312
SZ,L313
SZ,L314
SZ,L315
SZ,L316
SZ,L317
SZ,M200
SZ,M201
SZ,M202
SZ,M203
SZ,M204
SZ,M205
SZ,M206
SZ,M207
SZ,M208
SZ,M209
SZ,M210
SZ,M211
SZ,M212
SZ,M213
SZ,M214
SZ,M215
SZ,M216
SZ,M217
SZ,M218
SZ,M219
SZ,M220
SZ,M223
SZ,S400
SZ,S401
SZ,S402
SZ,S403
SZ,S404
SZ,S405
SZ,S406
SZ,S407
SZ,S408
SZ,S409
SZ,S410
SZ,S411
SZ,S412
SZ,S413
SZ,S414
SZ,S415
