source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
et:city:addis-ababa,ET,city,Addis Ababa,,AA,,1,,
et:region:afar,ET,region,Afar,,AF,,1,,
et:region:amhara,ET,region,Amhara,,AM,,1,,
et:region:benishangul-gumuz,ET,region,Benishangul-Gumuz,,BE,,1,,
et:region:central-ethiopia,ET,region,Central Ethiopia,,CE,,1,,
et:city:dire-dawa,ET,city,Dire Dawa,,DD,,1,,
et:region:gambela,ET,region,Gambela,,GA,,1,,
et:region:harari,ET,region,Harari,,HA,,1,,
et:region:oromia,ET,region,Oromia,,OR,,1,,
et:region:south-ethiopia,ET,region,South Ethiopia,,SE,,1,,
et:region:sidama,ET,region,Sidama,,SI,,1,,
et:region:somali,ET,region,Somali,,SO,,1,,
et:region:southwest-ethiopia,ET,region,Southwest Ethiopia,,SW,,1,,
et:region:tigray,ET,region,Tigray,,TI,,1,,
