postcode,area_source_id,relationship_type,is_primary
1000,et:zone:oromia:north-shewa,served_by,true
1000,et:city:addis-ababa,served_by,false
1150,et:city:addis-ababa,served_by,true
2040,et:zone:arsi,served_by,true
2040,et:zone:bale,served_by,false
2120,et:zone:west-arsi,served_by,true
2120,et:zone:arsi,served_by,false
2140,et:zone:arsi,served_by,true
3000,et:city:dire-dawa,served_by,true
3020,et:city:dire-dawa,served_by,true
3040,et:zone:shabelle,served_by,true
3060,et:zone:korahe,served_by,true
3080,et:zone:shabelle,served_by,true
3080,et:zone:afder,served_by,false
3120,et:zone:dollo,served_by,true
3200,et:region:harari,served_by,true
3220,et:zone:east-hararghe,served_by,true
3260,et:zone:jarar,served_by,true
3260,et:zone:nogob,served_by,false
3260,et:zone:fafan,served_by,false
3260,et:zone:erer,served_by,false
4400,et:zone:gamo,served_by,true
4400,et:zone:gardula,served_by,false
4400,et:zone:koore,served_by,false
4420,et:zone:south-omo,served_by,true
4420,et:zone:ari,served_by,false
4500,et:zone:arsi,served_by,true
4520,et:zone:bale,served_by,true
4520,et:zone:west-arsi,served_by,false
4540,et:zone:bale,served_by,true
4560,et:zone:west-arsi,served_by,true
4580,et:zone:east-bale,served_by,true
4580,et:zone:afder,served_by,false
4580,et:zone:nogob,served_by,false
4600,et:zone:gamo,served_by,true
4600,et:zone:wolayita,served_by,false
4620,et:zone:gofa,served_by,true
4620,et:zone:dawro,served_by,false
4620,et:zone:konta,served_by,false
4620,et:zone:basketo,served_by,false
5040,et:zone:keffa,served_by,true
5040,et:zone:bench-sheko,served_by,false
5060,et:zone:bench-sheko,served_by,true
5060,et:zone:west-omo,served_by,false
5140,et:zone:bench-sheko,served_by,true
5160,et:zone:sheka,served_by,true
5160,et:zone:keffa,served_by,false
5220,et:zone:asosa,served_by,true
5220,et:zone:kamashi,served_by,false
5440,et:zone:anywaa,served_by,true
5440,et:zone:nuer,served_by,false
6000,et:zone:west-gojjam,served_by,true
6000,et:zone:central-gondar,served_by,false
6040,et:zone:agew-awi,served_by,true
6060,et:zone:metekel,served_by,true
6140,et:zone:west-gojjam,served_by,true
6180,et:zone:west-gojjam,served_by,true
6200,et:zone:central-gondar,served_by,true
6200,et:zone:north-gondar,served_by,false
6200,et:zone:central-tigray,served_by,false
6220,et:zone:west-tigray,served_by,true
6240,et:zone:south-gondar,served_by,true
6260,et:zone:central-gondar,served_by,true
6260,et:zone:west-gondar,served_by,false
6300,et:zone:south-gondar,served_by,true
7000,et:zone:south-east-tigray,served_by,true
7020,et:zone:south-east-tigray,served_by,true
7020,et:zone:south-tigray,served_by,false
7040,et:zone:east-tigray,served_by,true
7060,et:zone:central-tigray,served_by,true
7080,et:zone:central-tigray,served_by,true
7120,et:zone:north-west-tigray,served_by,true
7140,et:zone:south-tigray,served_by,true
7160,et:zone:east-tigray,served_by,true
7220,et:zone:kilbet-rasu,served_by,true
7220,et:zone:fanti-rasu,served_by,false
7220,et:zone:north-wollo,served_by,false
7220,et:zone:wag-hemra,served_by,false
7240,et:zone:awsi-rasu,served_by,true
7240,et:zone:gabi-rasu,served_by,false
7260,et:zone:awsi-rasu,served_by,true
