source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
fj:province:ba,FJ,province,Ba,,01,,1,,
fj:province:bua,FJ,province,Bua,,02,,1,,
fj:province:cakaudrove,FJ,province,Cakaudrove,,03,,1,,
fj:division:central,FJ,division,Central,,C,,1,,
fj:division:eastern,FJ,division,Eastern,,E,,1,,
fj:province:kadavu,FJ,province,Kadavu,,04,,1,,
fj:province:lau,FJ,province,Lau,,05,,1,,
fj:province:lomaiviti,FJ,province,Lomaiviti,,06,,1,,
fj:province:macuata,FJ,province,Macuata,,07,,1,,
fj:province:nadroga-navosa,FJ,province,Nadroga-Navosa,,08,,1,,
fj:province:naitasiri,FJ,province,Naitasiri,,09,,1,,
fj:province:namosi,FJ,province,Namosi,,10,,1,,
fj:division:northern,FJ,division,Northern,,N,,1,,
fj:province:ra,FJ,province,Ra,,11,,1,,
fj:province:rewa,FJ,province,Rewa,,12,,1,,
fj:dependency:rotuma,FJ,dependency,Rotuma,,R,,1,,
fj:province:serua,FJ,province,Serua,,13,,1,,
fj:province:tailevu,FJ,province,Tailevu,,14,,1,,
fj:division:western,FJ,division,Western,,W,,1,,
