source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gf:overseas_region:guyane,GF,overseas_region,Guyane,,01,,1,,
gf:commune:apatou,GF,commune,Apatou,,97317,gf:overseas_region:guyane,2,,
gf:commune:awala-yalimapo,GF,commune,Awala-Yalimapo,,97319,gf:overseas_region:guyane,2,,
gf:commune:camopi,GF,commune,Camopi,,97330,gf:overseas_region:guyane,2,,
gf:commune:cayenne,GF,commune,Cayenne,,97300,gf:overseas_region:guyane,2,,
gf:commune:grand-santi,GF,commune,Grand-Santi,,97340,gf:overseas_region:guyane,2,,
gf:commune:iracoubo,GF,commune,Iracoubo,,97350,gf:overseas_region:guyane,2,,
gf:commune:kourou,GF,commune,Kourou,,97310,gf:overseas_region:guyane,2,,
gf:commune:macouria,GF,commune,Macouria,,97355,gf:overseas_region:guyane,2,,
gf:commune:mana,GF,commune,Mana,,97360,gf:overseas_region:guyane,2,,
gf:commune:maripasoula,GF,commune,Maripasoula,,97370,gf:overseas_region:guyane,2,,
gf:commune:matoury,GF,commune,Matoury,,97351,gf:overseas_region:guyane,2,,
gf:commune:montsinery-tonnegrande,GF,commune,Montsinéry-Tonnegrande,,97356,gf:overseas_region:guyane,2,,
gf:commune:ouanary,GF,commune,Ouanary,,97380,gf:overseas_region:guyane,2,,
gf:commune:papaichton,GF,commune,Papaichton,,97340,gf:overseas_region:guyane,2,,
gf:commune:regina,GF,commune,Régina,,97390,gf:overseas_region:guyane,2,,
gf:commune:remire-montjoly,GF,commune,Remire-Montjoly,,97354,gf:overseas_region:guyane,2,,
gf:commune:roura,GF,commune,Roura,,97311,gf:overseas_region:guyane,2,,
gf:commune:saint-elie,GF,commune,Saint-Élie,,97312,gf:overseas_region:guyane,2,,
gf:commune:saint-georges,GF,commune,Saint-Georges,,97313,gf:overseas_region:guyane,2,,
gf:commune:saint-laurent-du-maroni,GF,commune,Saint-Laurent-du-Maroni,,97320,gf:overseas_region:guyane,2,,
gf:commune:saul,GF,commune,Saül,,97314,gf:overseas_region:guyane,2,,
gf:commune:sinnamary,GF,commune,Sinnamary,,97315,gf:overseas_region:guyane,2,,
