source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pf:division:austral-islands,PF,division,Austral Islands,,01,,1,,
pf:division:leeward-islands,PF,division,Leeward Islands,,02,,1,,
pf:division:marquesas-islands,PF,division,Marquesas Islands,,03,,1,,
pf:division:tuamotu-gambier,PF,division,Tuamotu-Gambier,,04,,1,,
pf:division:windward-islands,PF,division,Windward Islands,,05,,1,,
pf:commune:fatu-hiva,PF,commune,Fatu-Hiva,,98718,pf:division:marquesas-islands,2,,
pf:commune:hiva-oa,PF,commune,Hiva-Oa,,98723,pf:division:marquesas-islands,2,,
pf:commune:nuku-hiva,PF,commune,Nuku-Hiva,,98731,pf:division:marquesas-islands,2,,
pf:commune:tahuata,PF,commune,Tahuata,,98746,pf:division:marquesas-islands,2,,
pf:commune:ua-huka,PF,commune,Ua-Huka,,98756,pf:division:marquesas-islands,2,,
pf:commune:ua-pou,PF,commune,Ua-Pou,,98757,pf:division:marquesas-islands,2,,
pf:commune:anaa,PF,commune,Anaa,,98711,pf:division:tuamotu-gambier,2,,
pf:commune:arutua,PF,commune,Arutua,,98713,pf:division:tuamotu-gambier,2,,
pf:commune:fakarava,PF,commune,Fakarava,,98716,pf:division:tuamotu-gambier,2,,
pf:commune:fangatau,PF,commune,Fangatau,,98717,pf:division:tuamotu-gambier,2,,
pf:commune:gambier,PF,commune,Gambier,,98719,pf:division:tuamotu-gambier,2,,
pf:commune:hao,PF,commune,Hao,,98720,pf:division:tuamotu-gambier,2,,
pf:commune:hikueru,PF,commune,Hikueru,,98721,pf:division:tuamotu-gambier,2,,
pf:commune:makemo,PF,commune,Makemo,,98726,pf:division:tuamotu-gambier,2,,
pf:commune:manihi,PF,commune,Manihi,,98727,pf:division:tuamotu-gambier,2,,
pf:commune:napuka,PF,commune,Napuka,,98730,pf:division:tuamotu-gambier,2,,
pf:commune:nukutavake,PF,commune,Nukutavake,,98732,pf:division:tuamotu-gambier,2,,
pf:commune:puka-puka,PF,commune,Puka-Puka,,98737,pf:division:tuamotu-gambier,2,,
pf:commune:rangiroa,PF,commune,Rangiroa,,98740,pf:division:tuamotu-gambier,2,,
pf:commune:reao,PF,commune,Reao,,98742,pf:division:tuamotu-gambier,2,,
pf:commune:takaroa,PF,commune,Takaroa,,98749,pf:division:tuamotu-gambier,2,,
pf:commune:tatakoto,PF,commune,Tatakoto,,98751,pf:division:tuamotu-gambier,2,,
pf:commune:tureia,PF,commune,Tureia,,98755,pf:division:tuamotu-gambier,2,,
pf:commune:raivavae,PF,commune,Raivavae,,98739,pf:division:austral-islands,2,,
pf:commune:rapa,PF,commune,Rapa,,98741,pf:division:austral-islands,2,,
pf:commune:rimatara,PF,commune,Rimatara,,98743,pf:division:austral-islands,2,,
pf:commune:rurutu,PF,commune,Rurutu,,98744,pf:division:austral-islands,2,,
pf:commune:tubuai,PF,commune,Tubuai,,98753,pf:division:austral-islands,2,,
pf:commune:bora-bora,PF,commune,Bora-Bora,,98714,pf:division:leeward-islands,2,,
pf:commune:huahine,PF,commune,Huahine,,98724,pf:division:leeward-islands,2,,
pf:commune:maupiti,PF,commune,Maupiti,,98728,pf:division:leeward-islands,2,,
pf:commune:tahaa,PF,commune,Tahaa,,98745,pf:division:leeward-islands,2,,
pf:commune:taputapuatea,PF,commune,Taputapuatea,,98750,pf:division:leeward-islands,2,,
pf:commune:tumaraa,PF,commune,Tumaraa,,98754,pf:division:leeward-islands,2,,
pf:commune:uturoa,PF,commune,Uturoa,,98758,pf:division:leeward-islands,2,,
pf:commune:arue,PF,commune,Arue,,98712,pf:division:windward-islands,2,,
pf:commune:faaa,PF,commune,Faʻaʻā,,98715,pf:division:windward-islands,2,,
pf:commune:hitiaa-o-te-ra,PF,commune,Hitiaa O Te Ra,,98722,pf:division:windward-islands,2,,
pf:commune:mahina,PF,commune,Mahina,,98725,pf:division:windward-islands,2,,
pf:commune:moorea-maiao,PF,commune,Moorea-Maiao,,98729,pf:division:windward-islands,2,,
pf:commune:paea,PF,commune,Paea,,98733,pf:division:windward-islands,2,,
pf:commune:papara,PF,commune,Papara,,98734,pf:division:windward-islands,2,,
pf:commune:papeete,PF,commune,Papeete,,98735,pf:division:windward-islands,2,,
pf:commune:pirae,PF,commune,Pīraʻe,,98736,pf:division:windward-islands,2,,
pf:commune:punaauia,PF,commune,Punaʻauia,,98738,pf:division:windward-islands,2,,
pf:commune:taiarapu-est,PF,commune,Taiarapu-Est,,98747,pf:division:windward-islands,2,,
pf:commune:taiarapu-ouest,PF,commune,Taiarapu-Ouest,,98748,pf:division:windward-islands,2,,
pf:commune:teva-i-uta,PF,commune,Teva I Uta,,98752,pf:division:windward-islands,2,,
