postcode,area_source_id,relationship_type,is_primary
98701,pf:commune:arue,served_by,true
98703,pf:commune:punaauia,served_by,true
98704,pf:commune:faaa,served_by,true
98705,pf:commune:hitiaa-o-te-ra,served_by,true
98706,pf:commune:hitiaa-o-te-ra,served_by,true
98707,pf:commune:hitiaa-o-te-ra,served_by,true
98708,pf:commune:hitiaa-o-te-ra,served_by,true
98709,pf:commune:mahina,served_by,true
98710,pf:commune:mahina,served_by,true
98711,pf:commune:paea,served_by,true
98712,pf:commune:papara,served_by,true
98714,pf:commune:papeete,served_by,true
98716,pf:commune:pirae,served_by,true
98718,pf:commune:punaauia,served_by,true
98719,pf:commune:taiarapu-est,served_by,true
98720,pf:commune:taiarapu-est,served_by,true
98721,pf:commune:taiarapu-est,served_by,true
98722,pf:commune:taiarapu-est,served_by,true
98723,pf:commune:taiarapu-ouest,served_by,true
98724,pf:commune:taiarapu-ouest,served_by,true
98725,pf:commune:taiarapu-ouest,served_by,true
98726,pf:commune:teva-i-uta,served_by,true
98727,pf:commune:teva-i-uta,served_by,true
98728,pf:commune:moorea-maiao,served_by,true
98729,pf:commune:moorea-maiao,served_by,true
98730,pf:commune:bora-bora,served_by,true
98731,pf:commune:huahine,served_by,true
98732,pf:commune:huahine,served_by,true
98732,pf:commune:maupiti,served_by,false
98733,pf:commune:tahaa,served_by,true
98734,pf:commune:tahaa,served_by,true
98735,pf:commune:taputapuatea,served_by,false
98735,pf:commune:tumaraa,served_by,false
98735,pf:commune:uturoa,served_by,true
98740,pf:commune:fatu-hiva,served_by,true
98741,pf:commune:hiva-oa,served_by,true
98742,pf:commune:nuku-hiva,served_by,true
98743,pf:commune:tahuata,served_by,true
98744,pf:commune:ua-huka,served_by,true
98745,pf:commune:ua-pou,served_by,true
98746,pf:commune:ua-pou,served_by,true
98747,pf:commune:ua-huka,served_by,true
98748,pf:commune:nuku-hiva,served_by,true
98749,pf:commune:hiva-oa,served_by,true
98750,pf:commune:raivavae,served_by,true
98751,pf:commune:rapa,served_by,true
98752,pf:commune:rimatara,served_by,true
98753,pf:commune:rurutu,served_by,true
98754,pf:commune:tubuai,served_by,true
98755,pf:commune:gambier,served_by,true
98760,pf:commune:anaa,served_by,true
98761,pf:commune:arutua,served_by,true
98762,pf:commune:arutua,served_by,true
98763,pf:commune:fakarava,served_by,true
98764,pf:commune:fakarava,served_by,true
98765,pf:commune:fangatau,served_by,true
98766,pf:commune:fangatau,served_by,true
98767,pf:commune:hao,served_by,true
98768,pf:commune:hikueru,served_by,true
98769,pf:commune:makemo,served_by,true
98770,pf:commune:manihi,served_by,true
98771,pf:commune:manihi,served_by,true
98772,pf:commune:napuka,served_by,true
98773,pf:commune:nukutavake,served_by,true
98774,pf:commune:puka-puka,served_by,true
98775,pf:commune:rangiroa,served_by,true
98776,pf:commune:rangiroa,served_by,true
98777,pf:commune:rangiroa,served_by,true
98778,pf:commune:rangiroa,served_by,true
98779,pf:commune:reao,served_by,true
98780,pf:commune:reao,served_by,true
98781,pf:commune:takaroa,served_by,true
98782,pf:commune:takaroa,served_by,true
98783,pf:commune:tatakoto,served_by,true
98784,pf:commune:tureia,served_by,true
98785,pf:commune:arutua,served_by,true
98786,pf:commune:anaa,served_by,true
98787,pf:commune:fakarava,served_by,true
98788,pf:commune:nukutavake,served_by,true
98789,pf:commune:makemo,served_by,true
98790,pf:commune:anaa,served_by,false
98790,pf:commune:fakarava,served_by,false
98790,pf:commune:hao,served_by,false
98790,pf:commune:hikueru,served_by,false
98790,pf:commune:makemo,served_by,false
98790,pf:commune:rangiroa,served_by,true
98790,pf:commune:takaroa,served_by,false
98792,pf:commune:gambier,served_by,true
98793,pf:commune:gambier,served_by,true
98794,pf:commune:rapa,served_by,true
98795,pf:commune:rimatara,served_by,true
98796,pf:commune:hiva-oa,served_by,false
98796,pf:commune:nuku-hiva,served_by,true
