country_code,code
PF,98701
PF,98703
PF,98704
PF,98705
PF,98706
PF,98707
PF,98708
PF,98709
PF,98710
PF,98711
PF,98712
PF,98714
PF,98716
PF,98718
PF,98719
PF,98720
PF,98721
PF,98722
PF,98723
PF,98724
PF,98725
PF,98726
PF,98727
PF,98728
PF,98729
PF,98730
PF,98731
PF,98732
PF,98733
PF,98734
PF,98735
PF,98740
PF,98741
PF,98742
PF,98743
PF,98744
PF,98745
PF,98746
PF,98747
PF,98748
PF,98749
PF,98750
PF,98751
PF,98752
PF,98753
PF,98754
PF,98755
PF,98760
PF,98761
PF,98762
PF,98763
PF,98764
PF,98765
PF,98766
PF,98767
PF,98768
PF,98769
PF,98770
PF,98771
PF,98772
PF,98773
PF,98774
PF,98775
PF,98776
PF,98777
PF,98778
PF,98779
PF,98780
PF,98781
PF,98782
PF,98783
PF,98784
PF,98785
PF,98786
PF,98787
PF,98788
PF,98789
PF,98790
PF,98792
PF,98793
PF,98794
PF,98795
PF,98796
