source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gm:city:banjul,GM,city,Banjul,,B,,1,,
gm:division:central-river,GM,division,Central River,,M,,1,,
gm:division:lower-river,GM,division,Lower River,,L,,1,,
gm:division:north-bank,GM,division,North Bank,,N,,1,,
gm:division:upper-river,GM,division,Upper River,,U,,1,,
gm:division:west-coast,GM,division,West Coast,,W,,1,,
gm:district:banjul-central,GM,district,Banjul Central,,,gm:city:banjul,2,,
gm:district:banjul-north,GM,district,Banjul North,,,gm:city:banjul,2,,
gm:district:banjul-south,GM,district,Banjul South,,,gm:city:banjul,2,,
gm:district:kanifing,GM,district,Kanifing,,,gm:city:banjul,2,,
gm:district:basse-fulladu-east,GM,district,Basse Fulladu East,,,gm:division:upper-river,2,,
gm:district:jimara,GM,district,Jimara,,,gm:division:upper-river,2,,
gm:district:kantora,GM,district,Kantora,,,gm:division:upper-river,2,,
gm:district:sandu,GM,district,Sandu,,,gm:division:upper-river,2,,
gm:district:tumana,GM,district,Tumana,,,gm:division:upper-river,2,,
gm:district:wuli-east,GM,district,Wuli East,,,gm:division:upper-river,2,,
gm:district:wuli-west,GM,district,Wuli West,,,gm:division:upper-river,2,,
gm:district:foni-bintang-karenai,GM,district,Foni Bintang-Karenai,,,gm:division:west-coast,2,,
gm:district:foni-bondali,GM,district,Foni Bondali,,,gm:division:west-coast,2,,
gm:district:foni-brefet,GM,district,Foni Brefet,,,gm:division:west-coast,2,,
gm:district:foni-jarrol,GM,district,Foni Jarrol,,,gm:division:west-coast,2,,
gm:district:foni-kansala,GM,district,Foni Kansala,,,gm:division:west-coast,2,,
gm:district:kombo-central,GM,district,Kombo Central,,,gm:division:west-coast,2,,
gm:district:kombo-east,GM,district,Kombo East,,,gm:division:west-coast,2,,
gm:district:kombo-north,GM,district,Kombo North,,,gm:division:west-coast,2,,
gm:district:kombo-south,GM,district,Kombo South,,,gm:division:west-coast,2,,
gm:district:fulladu-west,GM,district,Fulladu West,,,gm:division:central-river,2,,
gm:district:janjanbureh,GM,district,Janjanbureh,,,gm:division:central-river,2,,
gm:district:niamina-dankunku,GM,district,Niamina Dankunku,,,gm:division:central-river,2,,
gm:district:niamina-east,GM,district,Niamina East,,,gm:division:central-river,2,,
gm:district:niamina-west,GM,district,Niamina West,,,gm:division:central-river,2,,
gm:district:lower-saloum,GM,district,Lower Saloum,,,gm:division:central-river,2,,
gm:district:niani,GM,district,Niani,,,gm:division:central-river,2,,
gm:district:nianija,GM,district,Nianija,,,gm:division:central-river,2,,
gm:district:sami,GM,district,Sami,,,gm:division:central-river,2,,
gm:district:upper-saloum,GM,district,Upper Saloum,,,gm:division:central-river,2,,
gm:district:central-baddibu,GM,district,Central Baddibu,,,gm:division:north-bank,2,,
gm:district:illiasa,GM,district,Illiasa,,,gm:division:north-bank,2,,
gm:district:jokadu,GM,district,Jokadu,,,gm:division:north-bank,2,,
gm:district:lower-baddibu,GM,district,Lower Baddibu,,,gm:division:north-bank,2,,
gm:district:lower-niumi,GM,district,Lower Niumi,,,gm:division:north-bank,2,,
gm:district:sabach-sanjal,GM,district,Sabach Sanjal,,,gm:division:north-bank,2,,
gm:district:upper-niumi,GM,district,Upper Niumi,,,gm:division:north-bank,2,,
gm:district:jarra-central,GM,district,Jarra Central,,,gm:division:lower-river,2,,
gm:district:jarra-east,GM,district,Jarra East,,,gm:division:lower-river,2,,
gm:district:jarra-west,GM,district,Jarra West,,,gm:division:lower-river,2,,
gm:district:kiang-central,GM,district,Kiang Central,,,gm:division:lower-river,2,,
gm:district:kiang-east,GM,district,Kiang East,,,gm:division:lower-river,2,,
gm:district:kiang-west,GM,district,Kiang West,,,gm:division:lower-river,2,,
