source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gh:region:greater-accra,GH,region,Greater Accra,,AA,,1,,
gh:region:ahafo,GH,region,Ahafo,,AF,,1,,
gh:region:ashanti,GH,region,Ashanti,,AH,,1,,
gh:region:bono-east,GH,region,Bono East,,BE,,1,,
gh:region:bono,GH,region,Bono,,BO,,1,,
gh:region:central,GH,region,Central,,CP,,1,,
gh:region:eastern,GH,region,Eastern,,EP,,1,,
gh:region:north-east,GH,region,North East,,NE,,1,,
gh:region:northern,GH,region,Northern,,NP,,1,,
gh:region:oti,GH,region,Oti,,OT,,1,,
gh:region:savannah,GH,region,Savannah,,SV,,1,,
gh:region:volta,GH,region,Volta,,TV,,1,,
gh:region:upper-east,GH,region,Upper East,,UE,,1,,
gh:region:upper-west,GH,region,Upper West,,UW,,1,,
gh:region:western-north,GH,region,Western North,,WN,,1,,
gh:region:western,GH,region,Western,,WP,,1,,
