source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
gr:administrative_region:attica,GR,administrative_region,Attica,,I,,1,,
gr:administrative_region:central-greece,GR,administrative_region,Central Greece,,H,,1,,
gr:administrative_region:central-macedonia,GR,administrative_region,Central Macedonia,,B,,1,,
gr:administrative_region:crete,GR,administrative_region,Crete,,M,,1,,
gr:administrative_region:east-macedonia-and-thrace,GR,administrative_region,East Macedonia and Thrace,,A,,1,,
gr:administrative_region:epirus,GR,administrative_region,Epirus,,D,,1,,
gr:administrative_region:ionian-islands,GR,administrative_region,Ionian Islands,,F,,1,,
gr:administrative_region:mount-athos,GR,administrative_region,Mount Athos,,69,,1,,
gr:administrative_region:north-aegean,GR,administrative_region,North Aegean,,K,,1,,
gr:administrative_region:peloponnese,GR,administrative_region,Peloponnese,,J,,1,,
gr:administrative_region:south-aegean,GR,administrative_region,South Aegean,,L,,1,,
gr:administrative_region:thessaly,GR,administrative_region,Thessaly,,E,,1,,
gr:administrative_region:west-greece,GR,administrative_region,West Greece,,G,,1,,
gr:administrative_region:west-macedonia,GR,administrative_region,West Macedonia,,C,,1,,
gr:municipality:abdera,GR,municipality,Abdera,,,gr:administrative_region:east-macedonia-and-thrace,2,,
gr:municipality:acharnes,GR,municipality,Acharnes,,,gr:administrative_region:attica,2,,
gr:municipality:aegina,GR,municipality,Aegina,,,gr:administrative_region:attica,2,,
gr:municipality:agathonisi,GR,municipality,Agathonisi,,,gr:administrative_region:south-aegean,2,,
gr:municipality:agia,GR,municipality,Agia,,,gr:administrative_region:thessaly,2,,
gr:municipality:agia-paraskevi,GR,municipality,Agia Paraskevi,,,gr:administrative_region:attica,2,,
gr:municipality:agia-varvara,GR,municipality,Agia Varvara,,,gr:administrative_region:attica,2,,
gr:municipality:agioi-anargyroi-kamatero,GR,municipality,Agioi Anargyroi-Kamatero,,,gr:administrative_region:attica,2,,
gr:municipality:agios-dimitrios,GR,municipality,Agios Dimitrios,,,gr:administrative_region:attica,2,,
gr:municipality:agios-efstratios,GR,municipality,Agios Efstratios,,,gr:administrative_region:north-aegean,2,,
gr:municipality:agios-nikolaos,GR,municipality,Agios Nikolaos,,,gr:administrative_region:crete,2,,
gr:municipality:agios-vasileios,GR,municipality,Agios Vasileios,,,gr:administrative_region:crete,2,,
gr:municipality:agistri,GR,municipality,Agistri,,,gr:administrative_region:attica,2,,
gr:municipality:agrafa,GR,municipality,Agrafa,,,gr:administrative_region:central-greece,2,,
gr:municipality:agrinio,GR,municipality,Agrinio,,,gr:administrative_region:west-greece,2,,
gr:municipality:aigaleo,GR,municipality,Aigaleo,,,gr:administrative_region:attica,2,,
gr:municipality:aigialeia,GR,municipality,Aigialeia,,,gr:administrative_region:west-greece,2,,
gr:municipality:aktio-vonitsa,GR,municipality,Aktio-Vonitsa,,,gr:administrative_region:west-greece,2,,
gr:municipality:alexandreia,GR,municipality,Alexandreia,,,gr:administrative_region:central-macedonia,2,,
gr:municipality:alexandroupoli,GR,municipality,Alexandroupoli,,,gr:administrative_region:east-macedonia-and-thrace,2,,
gr:municipality:aliartos,GR,municipality,Aliartos,,,gr:administrative_region:central-greece,2,,
gr:municipality:alimos,GR,municipality,Alimos,,,gr:administrative_region:attica,2,,
