postcode,area_source_id,relationship_type,is_primary
97100,gp:commune:basse-terre,served_by,true
97110,gp:commune:pointe-a-pitre,served_by,true
97111,gp:commune:morne-a-l-eau,served_by,true
97112,gp:commune:grand-bourg,served_by,true
97113,gp:commune:gourbeyre,served_by,true
97114,gp:commune:trois-rivieres,served_by,true
97115,gp:commune:sainte-rose,served_by,true
97116,gp:commune:pointe-noire,served_by,true
97117,gp:commune:port-louis,served_by,true
97118,gp:commune:saint-francois,served_by,true
97119,gp:commune:vieux-habitants,served_by,true
97120,gp:commune:saint-claude,served_by,true
97121,gp:commune:anse-bertrand,served_by,true
97122,gp:commune:baie-mahault,served_by,true
97123,gp:commune:baillif,served_by,true
97125,gp:commune:bouillante,served_by,true
97126,gp:commune:deshaies,served_by,true
97127,gp:commune:la-desirade,served_by,true
97128,gp:commune:goyave,served_by,true
97129,gp:commune:lamentin,served_by,true
97130,gp:commune:capesterre-belle-eau,served_by,true
97131,gp:commune:petit-canal,served_by,true
97134,gp:commune:saint-louis,served_by,true
97136,gp:commune:terre-de-bas,served_by,true
97137,gp:commune:terre-de-haut,served_by,true
97139,gp:commune:les-abymes,served_by,true
97140,gp:commune:capesterre-de-marie-galante,served_by,true
97141,gp:commune:vieux-fort,served_by,true
97142,gp:commune:les-abymes,served_by,true
97160,gp:commune:le-moule,served_by,true
97170,gp:commune:petit-bourg,served_by,true
97180,gp:commune:sainte-anne,served_by,true
97190,gp:commune:le-gosier,served_by,true
